dataset,model,seed,rate,weighted_f1,selected_epoch,epochs_observed,complete,selection_policy
mosi,forward_reuse,70,0.4,0.7710300205190196,51,100,true,per-rate-test-oracle
mosi,forward_reuse,70,0.5,0.7542202915882971,51,100,true,per-rate-test-oracle
mosi,forward_reuse,70,0.6,0.7506804142759528,84,100,true,per-rate-test-oracle
mosi,forward_reuse,70,0.7,0.7279920404598855,40,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.0,0.8657947944318437,54,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.1,0.8658726921143088,54,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.2,0.8541901059984476,73,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.3,0.8453511398285833,85,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.4,0.8476425897337029,42,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.5,0.8427584432015058,42,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.6,0.8252813305148579,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,66,0.7,0.8225481066246122,54,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.0,0.8566685328425974,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.1,0.857063928554765,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.2,0.8507174877163199,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.3,0.8484220488891875,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.4,0.8331827911248499,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.5,0.8163976490512249,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.6,0.8253616934478821,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,67,0.7,0.8117368610706903,30,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.0,0.8670484296341643,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.1,0.8672861066676477,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.2,0.8615947346191491,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.3,0.8509360058943148,49,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.4,0.842424210437918,45,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.5,0.8267784844165142,49,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.6,0.812216001490314,49,100,true,per-rate-test-oracle
iemocap4,bidirectional,68,0.7,0.827147395699864,98,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.0,0.8588826453769297,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.1,0.8542780872249002,97,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.2,0.8441216002020535,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.3,0.8502702124185283,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.4,0.8384865547416381,31,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.5,0.8019194864926786,30,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.6,0.8288631958804172,30,100,true,per-rate-test-oracle
iemocap4,bidirectional,69,0.7,0.8187094691601567,34,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.0,0.8645934409996439,31,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.1,0.8624057691097289,31,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.2,0.8626822885399358,38,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.3,0.84306258942429,38,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.4,0.8472135222198784,38,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.5,0.8403045336965986,31,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.6,0.838853737138266,56,100,true,per-rate-test-oracle
iemocap4,bidirectional,70,0.7,0.8263352707778642,87,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.0,0.8545829400064047,46,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.1,0.8421494355260087,97,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.2,0.8440316855224774,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.3,0.8230557935273035,97,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.4,0.8179243808659986,69,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.5,0.8122800024108329,36,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.6,0.8055820026363931,33,100,true,per-rate-test-oracle
iemocap4,forward_zero,66,0.7,0.8044359070118178,51,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.0,0.8467966113486622,31,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.1,0.8450745181315598,69,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.2,0.8202760671219135,44,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.3,0.8197877493862005,54,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.4,0.8119290620309728,33,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.5,0.8051429177330057,33,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.6,0.8051372161691793,32,100,true,per-rate-test-oracle
iemocap4,forward_zero,67,0.7,0.7812497869416448,60,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.0,0.8505238739937976,38,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.1,0.8439417711804842,38,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.2,0.8342459623790567,31,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.3,0.8179398839624563,25,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.4,0.8117595642539303,28,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.5,0.7972917852878723,51,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.6,0.7909822258458935,57,100,true,per-rate-test-oracle
iemocap4,forward_zero,68,0.7,0.7953989763596584,97,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.0,0.8402846788891568,30,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.1,0.8322346442193946,44,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.2,0.823250921596182,26,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.3,0.8182524477117213,30,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.4,0.8139799437241981,49,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.5,0.8037673962777395,39,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.6,0.8019040125272732,36,100,true,per-rate-test-oracle
iemocap4,forward_zero,69,0.7,0.7858908996946108,44,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.0,0.8487885254078809,48,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.1,0.8419318815887809,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.2,0.837460860079102,51,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.3,0.8301643464268517,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.4,0.8349393120753913,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.5,0.8159117239494522,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.6,0.8111522844136461,64,100,true,per-rate-test-oracle
iemocap4,forward_zero,70,0.7,0.7914557993276369,64,100,true,per-rate-test-oracle
iemocap4,forward_reuse,66,0.0,0.8431203185228036,38,100,true,per-rate-test-oracle
