variant,seed,rate,pattern,count,weighted_f1
Text-Core,69,0.4,TV,96,0.8634011368486401
Text-Core,69,0.4,A,90,0.5880535142264932
Text-Core,69,0.4,AV,101,0.6724526166902404
Text-Core,69,0.4,AT,91,0.8527472527472527
Text-Core,69,0.4,ATV,151,0.8589610496895265
Text-Core,69,0.5,V,125,0.635638418079096
Text-Core,69,0.5,T,133,0.8439359267734553
Text-Core,69,0.5,TV,88,0.85267588162325
Text-Core,69,0.5,A,123,0.6829726509825484
Text-Core,69,0.5,AV,77,0.6488723552662171
Text-Core,69,0.5,AT,70,0.817277972080232
Text-Core,69,0.5,ATV,70,0.8448305164762534
Text-Core,69,0.6,V,151,0.681457982782486
Text-Core,69,0.6,T,166,0.8424645008605852
Text-Core,69,0.6,TV,56,0.8405380333951762
Text-Core,69,0.6,A,148,0.6568706963051033
Text-Core,69,0.6,AV,51,0.5397884526945107
Text-Core,69,0.6,AT,65,0.8603170414491169
Text-Core,69,0.6,ATV,49,0.8723032069970845
Text-Core,69,0.7,V,173,0.7305450940486556
Text-Core,69,0.7,T,194,0.8447599601649038
Text-Core,69,0.7,TV,53,0.9245283018867925
Text-Core,69,0.7,A,156,0.5576542269611575
Text-Core,69,0.7,AV,48,0.625
Text-Core,69,0.7,AT,47,0.9346014315128933
Text-Core,69,0.7,ATV,15,0.9339366515837104
Text-Core,70,0.0,ATV,686,0.8576946441515482
Text-Core,70,0.1,V,6,0.45714285714285713
Text-Core,70,0.1,T,5,0.888888888888889
Text-Core,70,0.1,TV,64,0.9196306429548564
Text-Core,70,0.1,A,8,0.1
Text-Core,70,0.1,AV,56,0.6802455357142857
Text-Core,70,0.1,AT,55,0.8370452178852039
Text-Core,70,0.1,ATV,492,0.8590403285382723
Text-Core,70,0.2,V,30,0.6178005990586222
Text-Core,70,0.2,T,26,0.8141332351858668
Text-Core,70,0.2,TV,74,0.8485611825417652
Text-Core,70,0.2,A,25,0.6920499108734404
Text-Core,70,0.2,AV,93,0.7096774193548387
Text-Core,70,0.2,AT,85,0.8354310682144254
Text-Core,70,0.2,ATV,353,0.8388189631502697
Text-Core,70,0.3,V,63,0.7240778001341382
Text-Core,70,0.3,T,45,0.8673333333333334
Text-Core,70,0.3,TV,115,0.7832069746030587
Text-Core,70,0.3,A,44,0.7012574071397601
Text-Core,70,0.3,AV,98,0.683212026069169
Text-Core,70,0.3,AT,86,0.8950661972529379
Text-Core,70,0.3,ATV,235,0.8071835095748935
Text-Core,70,0.4,V,70,0.6588235294117647
Text-Core,70,0.4,T,82,0.8011989816867866
Text-Core,70,0.4,TV,95,0.8825659841401349
Text-Core,70,0.4,A,83,0.5862517753668192
Text-Core,70,0.4,AV,107,0.6362146470523389
Text-Core,70,0.4,AT,109,0.861742317496128
Text-Core,70,0.4,ATV,140,0.8846142093200916
Text-Core,70,0.5,V,113,0.5891652923915485
Text-Core,70,0.5,T,118,0.8266043393162037
Text-Core,70,0.5,TV,84,0.9169906183589903
Text-Core,70,0.5,A,128,0.5869236641221375
Text-Core,70,0.5,AV,84,0.6553001923661032
Text-Core,70,0.5,AT,86,0.8470292963701035
Text-Core,70,0.5,ATV,73,0.8865515187611673
Text-Core,70,0.6,V,116,0.6411841249186727
Text-Core,70,0.6,T,164,0.8949076054307342
Text-Core,70,0.6,TV,62,0.7490395671589906
Text-Core,70,0.6,A,150,0.6429714285714285
Text-Core,70,0.6,AV,75,0.6034188034188034
Text-Core,70,0.6,AT,80,0.8223145780051151
Text-Core,70,0.6,ATV,39,0.820035778175313
Text-Core,70,0.7,V,194,0.6308434624410051
Text-Core,70,0.7,T,175,0.8306683760091472
Text-Core,70,0.7,TV,41,0.8586914440572978
Text-Core,70,0.7,A,176,0.6549208279362394
Text-Core,70,0.7,AV,35,0.5198549198549198
Text-Core,70,0.7,AT,54,0.8712092374064205
Text-Core,70,0.7,ATV,11,0.9090909090909091
