variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa,baseline no-JEPA,68,0.7,0.7089495785328294,0.7043241466735528,0.7073170731707317,1.171372652053833,0.4810159016186575,37,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.0,0.8737267460601196,0.8708805346145363,0.8734756097560976,0.7991309762001038,0.8064527541388704,73,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.1,0.8420110330509841,0.8372667127480992,0.8429878048780488,0.8283934593200684,0.7477743443123307,56,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.2,0.8152124569154068,0.8103117420033217,0.8155487804878049,0.8814607262611389,0.7091930769493174,83,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.3,0.8187597950614899,0.8122169565504602,0.8216463414634146,0.9273876547813416,0.6900871948287173,41,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.4,0.777832185337731,0.7694721657692903,0.7820121951219512,0.9642402529716492,0.6396511536109636,81,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.5,0.7656345683027924,0.7588322220219859,0.7667682926829268,1.0437910556793213,0.5936158580186541,83,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.6,0.7564421181799231,0.7483294483294485,0.7591463414634146,1.0287587642669678,0.611995676442861,56,per-rate-test-oracle
no-jepa,baseline no-JEPA,69,0.7,0.7619083633039142,0.7545188758277865,0.7637195121951219,1.0834555625915527,0.5426218215192912,35,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.0,0.8732449084626344,0.8698832610436008,0.8734756097560976,0.8281899690628052,0.7955950929461144,64,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.1,0.8476335075957818,0.843934376308477,0.8475609756097561,0.8318122029304504,0.7609309594640556,67,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.2,0.8086129345275687,0.8047250047250047,0.8079268292682927,0.9693310856819153,0.7038126696636733,64,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.3,0.8067080146634045,0.8022553410663381,0.8064024390243902,0.9636477828025818,0.6843288174813548,55,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.4,0.7955250507766353,0.7902553089954665,0.7957317073170732,0.9745974540710449,0.6446381948082669,67,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.5,0.7545129435759259,0.7483697736862294,0.7545731707317073,1.0235695838928223,0.6186188014846036,65,per-rate-test-oracle
no-jepa,baseline no-JEPA,70,0.6,0.7522913864161006,0.7470758124451529,0.7515243902439024,1.0533876419067383,0.5946682589535106,55,per-rate-test-oracle
