variant,label,seed,rate,pattern,n,weighted_f1
no-jepa,baseline no-JEPA,67,0.5,V,119,0.658242879452666
no-jepa,baseline no-JEPA,67,0.5,AT,77,0.8530138906588504
no-jepa,baseline no-JEPA,67,0.5,AV,80,0.6665991902834008
no-jepa,baseline no-JEPA,67,0.5,TV,78,0.8833474218089603
no-jepa,baseline no-JEPA,67,0.5,ATV,76,0.8923872180451126
no-jepa,baseline no-JEPA,67,0.5,NO_TEXT,320,0.640630028651046
no-jepa,baseline no-JEPA,67,0.5,TEXT_PRESENT,336,0.85988864359745
no-jepa,baseline no-JEPA,67,0.5,ALL,656,0.7533865557120616
no-jepa,baseline no-JEPA,67,0.6,A,139,0.6714784099290033
no-jepa,baseline no-JEPA,67,0.6,T,149,0.8178096557344395
no-jepa,baseline no-JEPA,67,0.6,V,147,0.5986394557823129
no-jepa,baseline no-JEPA,67,0.6,AT,67,0.8935999786398955
no-jepa,baseline no-JEPA,67,0.6,AV,64,0.7327437975927291
no-jepa,baseline no-JEPA,67,0.6,TV,58,0.8953266787658802
no-jepa,baseline no-JEPA,67,0.6,ATV,32,0.8665458937198067
no-jepa,baseline no-JEPA,67,0.6,NO_TEXT,350,0.6691767953308779
no-jepa,baseline no-JEPA,67,0.6,TEXT_PRESENT,306,0.853742512566042
no-jepa,baseline no-JEPA,67,0.6,ALL,656,0.7547981029909067
no-jepa,baseline no-JEPA,67,0.7,A,164,0.7095263343937785
no-jepa,baseline no-JEPA,67,0.7,T,163,0.8528680224039811
no-jepa,baseline no-JEPA,67,0.7,V,177,0.7002017305359792
no-jepa,baseline no-JEPA,67,0.7,AT,44,0.9083139083139083
no-jepa,baseline no-JEPA,67,0.7,AV,52,0.6119248068273556
no-jepa,baseline no-JEPA,67,0.7,TV,38,0.7606542784021364
no-jepa,baseline no-JEPA,67,0.7,ATV,18,0.9442724458204333
no-jepa,baseline no-JEPA,67,0.7,NO_TEXT,393,0.6929021064902935
no-jepa,baseline no-JEPA,67,0.7,TEXT_PRESENT,263,0.8556627231470847
no-jepa,baseline no-JEPA,67,0.7,ALL,656,0.7597623996659827
no-jepa,baseline no-JEPA,68,0.0,ATV,656,0.8747369905986095
no-jepa,baseline no-JEPA,68,0.0,TEXT_PRESENT,656,0.8747369905986095
no-jepa,baseline no-JEPA,68,0.0,ALL,656,0.8747369905986095
no-jepa,baseline no-JEPA,68,0.1,A,4,1.0
no-jepa,baseline no-JEPA,68,0.1,T,8,0.7333333333333334
no-jepa,baseline no-JEPA,68,0.1,V,3,0.3333333333333333
no-jepa,baseline no-JEPA,68,0.1,AT,47,0.8712605983042713
