variant,seed,rate,pattern,total_count,excluded_label_zero,count,weighted_f1
no-JEPA,69,0.5,V,125,3,122,0.6214533193814673
no-JEPA,69,0.5,T,133,7,126,0.88958605664488
no-JEPA,69,0.5,TV,88,5,83,0.8792714718523217
no-JEPA,69,0.5,A,123,3,120,0.6678518518518518
no-JEPA,69,0.5,AV,77,3,74,0.6623472787856349
no-JEPA,69,0.5,AT,70,7,63,0.8258481130024165
no-JEPA,69,0.5,ATV,70,2,68,0.8682369499523949
no-JEPA,69,0.6,V,151,5,146,0.6961642234373874
no-JEPA,69,0.6,T,166,10,156,0.8718793840745059
no-JEPA,69,0.6,TV,56,2,54,0.8379784466740988
no-JEPA,69,0.6,A,148,4,144,0.6443467739584245
no-JEPA,69,0.6,AV,51,5,46,0.4891118543292456
no-JEPA,69,0.6,AT,65,2,63,0.8405349794238683
no-JEPA,69,0.6,ATV,49,2,47,0.8927454761360046
no-JEPA,69,0.7,V,173,7,166,0.7380256319395229
no-JEPA,69,0.7,T,194,7,187,0.8818362296374861
no-JEPA,69,0.7,TV,53,1,52,0.9418398502905545
no-JEPA,69,0.7,A,156,7,149,0.5907548450343111
no-JEPA,69,0.7,AV,48,3,45,0.5401493930905695
no-JEPA,69,0.7,AT,47,4,43,0.878796831694312
no-JEPA,69,0.7,ATV,15,1,14,0.9297173414820473
no-JEPA,70,0.0,ATV,686,30,656,0.8732449084626344
no-JEPA,70,0.1,V,6,0,6,0.6666666666666666
no-JEPA,70,0.1,T,5,0,5,0.888888888888889
no-JEPA,70,0.1,TV,64,1,63,0.9038819875776397
no-JEPA,70,0.1,A,8,1,7,0.5904761904761904
no-JEPA,70,0.1,AV,56,2,54,0.6643772893772892
no-JEPA,70,0.1,AT,55,1,54,0.8129084967320261
no-JEPA,70,0.1,ATV,492,25,467,0.8713389288330675
no-JEPA,70,0.2,V,30,3,27,0.514349847683181
no-JEPA,70,0.2,T,26,2,24,0.8766603415559772
no-JEPA,70,0.2,TV,74,3,71,0.8725580808479094
no-JEPA,70,0.2,A,25,1,24,0.6147912885662432
no-JEPA,70,0.2,AV,93,3,90,0.6247399423486653
no-JEPA,70,0.2,AT,85,5,80,0.849906191369606
no-JEPA,70,0.2,ATV,353,13,340,0.861522677757972
no-JEPA,70,0.3,V,63,3,60,0.6651785714285715
no-JEPA,70,0.3,T,45,5,40,0.9
no-JEPA,70,0.3,TV,115,4,111,0.7571122311724731
no-JEPA,70,0.3,A,44,2,42,0.7282913165266107
no-JEPA,70,0.3,AV,98,5,93,0.7456712383515087
no-JEPA,70,0.3,AT,86,4,82,0.8302992812536821
no-JEPA,70,0.3,ATV,235,7,228,0.8777699475373894
no-JEPA,70,0.4,V,70,2,68,0.6815415821501015
no-JEPA,70,0.4,T,82,5,77,0.8804966750044277
no-JEPA,70,0.4,TV,95,5,90,0.8762774403813296
no-JEPA,70,0.4,A,83,6,77,0.6396464646464646
no-JEPA,70,0.4,AV,107,3,104,0.6631192432163305
no-JEPA,70,0.4,AT,109,5,104,0.8260104302477184
no-JEPA,70,0.4,ATV,140,4,136,0.9119395061568542
no-JEPA,70,0.5,V,113,8,105,0.6622265122265123
no-JEPA,70,0.5,T,118,8,110,0.8720395443799699
no-JEPA,70,0.5,TV,84,3,81,0.8899709643095457
no-JEPA,70,0.5,A,128,5,123,0.5704188118640248
no-JEPA,70,0.5,AV,84,3,81,0.6166916026070955
no-JEPA,70,0.5,AT,86,1,85,0.8467996378045639
no-JEPA,70,0.5,ATV,73,2,71,0.8834966319657072
no-JEPA,70,0.6,V,116,6,110,0.6631522232741435
no-JEPA,70,0.6,T,164,6,158,0.8677234241992394
no-JEPA,70,0.6,TV,62,1,61,0.8034902168164991
no-JEPA,70,0.6,A,150,7,143,0.6733483621641516
no-JEPA,70,0.6,AV,75,2,73,0.60399266598079
no-JEPA,70,0.6,AT,80,5,75,0.8133333333333334
no-JEPA,70,0.6,ATV,39,3,36,0.8888888888888888
no-JEPA,70,0.7,V,194,11,183,0.6616879174256223
no-JEPA,70,0.7,T,175,7,168,0.8540870893812069
no-JEPA,70,0.7,TV,41,0,41,0.811588592076397
no-JEPA,70,0.7,A,176,7,169,0.6679961425356875
no-JEPA,70,0.7,AV,35,3,32,0.5435606060606061
no-JEPA,70,0.7,AT,54,2,52,0.8621097212646508
no-JEPA,70,0.7,ATV,11,0,11,1.0
Uniform,66,0.0,ATV,686,30,656,0.8655714045448489
Uniform,66,0.1,V,8,0,8,0.6309523809523809
Uniform,66,0.1,T,7,1,6,0.5
Uniform,66,0.1,TV,62,2,60,0.9495297805642634
Uniform,66,0.1,A,7,1,6,0.8285714285714286
Uniform,66,0.1,AV,58,3,55,0.724009788815372
Uniform,66,0.1,AT,51,1,50,0.8439999999999999
Uniform,66,0.1,ATV,493,22,471,0.8555564576784056
Uniform,66,0.2,V,32,2,30,0.6222222222222221
Uniform,66,0.2,T,23,0,23,0.6898550724637682
Uniform,66,0.2,TV,87,2,85,0.8605715871254163
Uniform,66,0.2,A,21,0,21,0.804945054945055
Uniform,66,0.2,AV,96,3,93,0.6594645847202889
Uniform,66,0.2,AT,82,5,77,0.8842429648852485
Uniform,66,0.2,ATV,345,18,327,0.8654434250764526
Uniform,66,0.3,V,41,0,41,0.724119241192412
Uniform,66,0.3,T,43,2,41,0.9512195121951219
Uniform,66,0.3,TV,80,3,77,0.8677849927849928
Uniform,66,0.3,A,48,1,47,0.7244358478401033
Uniform,66,0.3,AV,122,8,114,0.672007714847372
Uniform,66,0.3,AT,105,5,100,0.815984555984556
Uniform,66,0.3,ATV,247,11,236,0.8581154840563056
Uniform,66,0.4,V,96,3,93,0.6971791649211004
Uniform,66,0.4,T,71,3,68,0.805414924058992
Uniform,66,0.4,TV,102,2,100,0.88912
Uniform,66,0.4,A,73,4,69,0.7016908212560387
Uniform,66,0.4,AV,94,4,90,0.6492063492063492
Uniform,66,0.4,AT,103,6,97,0.8660364539945846
Uniform,66,0.4,ATV,147,8,139,0.8429964629066964
Uniform,66,0.5,V,122,4,118,0.608508113407115
Uniform,66,0.5,T,129,9,120,0.8901998710509349
Uniform,66,0.5,TV,94,5,89,0.9211080650904582
Uniform,66,0.5,A,102,3,99,0.6516594516594516
Uniform,66,0.5,AV,85,1,84,0.5937500000000001
Uniform,66,0.5,AT,80,4,76,0.8032430721418088
Uniform,66,0.5,ATV,74,4,70,0.8215743440233236
Uniform,66,0.6,V,161,6,155,0.6143103608611589
Uniform,66,0.6,T,144,8,136,0.8518634635733041
Uniform,66,0.6,TV,83,5,78,0.8188057413600892
Uniform,66,0.6,A,136,7,129,0.6734285071564002
Uniform,66,0.6,AV,66,2,64,0.6704545454545454
Uniform,66,0.6,AT,63,2,61,0.9170561562609
Uniform,66,0.6,ATV,33,0,33,0.8157342657342658
Uniform,66,0.7,V,173,3,170,0.6932704448626148
Uniform,66,0.7,T,202,13,189,0.8644948797565729
Uniform,66,0.7,TV,48,2,46,0.8000213652387564
Uniform,66,0.7,A,168,7,161,0.6428234387789493
Uniform,66,0.7,AV,41,4,37,0.574002574002574
Uniform,66,0.7,AT,38,1,37,0.8895495495495493
Uniform,66,0.7,ATV,16,0,16,0.805668016194332
Uniform,67,0.0,ATV,686,30,656,0.8738994669066071
Uniform,67,0.1,V,6,0,6,0.8380952380952381
Uniform,67,0.1,T,7,0,7,0.7142857142857143
Uniform,67,0.1,TV,59,1,58,0.8623973727422002
Uniform,67,0.1,A,5,0,5,0.7809523809523808
Uniform,67,0.1,AV,62,3,59,0.8103702828795842
Uniform,67,0.1,AT,61,6,55,0.8527667984189722
Uniform,67,0.1,ATV,486,20,466,0.8690536011338591
Uniform,67,0.2,V,24,0,24,0.6770833333333334
Uniform,67,0.2,T,16,2,14,0.8571428571428571
Uniform,67,0.2,TV,85,4,81,0.8549019607843138
Uniform,67,0.2,A,19,1,18,0.6625000000000001
Uniform,67,0.2,AV,93,1,92,0.7360793287566743
Uniform,67,0.2,AT,80,5,75,0.933357053904999
Uniform,67,0.2,ATV,369,17,352,0.8741448692152916
Uniform,67,0.3,V,53,3,50,0.651070707070707
Uniform,67,0.3,T,58,2,56,0.8398720682302772
Uniform,67,0.3,TV,93,4,89,0.8656481227733624
Uniform,67,0.3,A,49,4,45,0.5524813350900307
Uniform,67,0.3,AV,103,4,99,0.6663264264570786
Uniform,67,0.3,AT,97,2,95,0.9160765550239235
Uniform,67,0.3,ATV,233,11,222,0.85668802823442
Uniform,67,0.4,V,94,4,90,0.6023809523809524
Uniform,67,0.4,T,90,2,88,0.8978203083466241
Uniform,67,0.4,TV,85,4,81,0.8892495806957745
Uniform,67,0.4,A,79,4,75,0.6334299516908213
Uniform,67,0.4,AV,92,3,89,0.6842003612774225
Uniform,67,0.4,AT,93,7,86,0.7582675485385107
Uniform,67,0.4,ATV,153,6,147,0.8506465877490237
Uniform,67,0.5,V,120,1,119,0.6671609820398747
Uniform,67,0.5,T,110,5,105,0.7998169336384441
Uniform,67,0.5,TV,85,7,78,0.8581939051501352
Uniform,67,0.5,A,125,4,121,0.6276316024930195
Uniform,67,0.5,AV,85,5,80,0.6466540744738263
Uniform,67,0.5,AT,81,4,77,0.8808093017506027
Uniform,67,0.5,ATV,80,4,76,0.8539178728669679
Uniform,67,0.6,V,161,14,147,0.6389551423439082
Uniform,67,0.6,T,153,4,149,0.838355924025091
Uniform,67,0.6,TV,58,0,58,0.8807835518860287
Uniform,67,0.6,A,148,9,139,0.6903888125454692
Uniform,67,0.6,AV,65,1,64,0.6940880503144655
Uniform,67,0.6,AT,68,1,67,0.9257381471220567
Uniform,67,0.6,ATV,33,1,32,0.8665458937198067
Uniform,67,0.7,V,187,10,177,0.7067777840343864
Uniform,67,0.7,T,171,8,163,0.8880227387853886
Uniform,67,0.7,TV,41,3,38,0.7882942650744509
Uniform,67,0.7,A,168,4,164,0.6779130220144705
Uniform,67,0.7,AV,55,3,52,0.5865710560625815
Uniform,67,0.7,AT,46,2,44,0.9319965748537178
Uniform,67,0.7,ATV,18,0,18,0.8875000000000001
Uniform,68,0.0,ATV,686,30,656,0.86918833084963
Uniform,68,0.1,V,3,0,3,0.3333333333333333
Uniform,68,0.1,T,8,0,8,0.873015873015873
Uniform,68,0.1,TV,75,4,71,0.9012499752382084
Uniform,68,0.1,A,4,0,4,1.0
Uniform,68,0.1,AV,57,4,53,0.5400365185636032
Uniform,68,0.1,AT,50,3,47,0.8029467827520478
Uniform,68,0.1,ATV,489,19,470,0.8596532556185131
Uniform,68,0.2,V,29,0,29,0.5981432360742706
Uniform,68,0.2,T,19,0,19,0.8947368421052632
Uniform,68,0.2,TV,97,3,94,0.8077964588602886
Uniform,68,0.2,A,25,2,23,0.4265010351966873
Uniform,68,0.2,AV,91,5,86,0.6865984244539838
Uniform,68,0.2,AT,83,4,79,0.923777612310747
Uniform,68,0.2,ATV,342,16,326,0.8620200297257585
Uniform,68,0.3,V,41,0,41,0.8065518890483021
Uniform,68,0.3,T,63,4,59,0.8481077315997214
Uniform,68,0.3,TV,102,5,97,0.8256836029427236
Uniform,68,0.3,A,49,2,47,0.5920579018346577
Uniform,68,0.3,AV,97,5,92,0.7417807786962832
Uniform,68,0.3,AT,96,3,93,0.8929661228048323
Uniform,68,0.3,ATV,238,11,227,0.8546824164118693
Uniform,68,0.4,V,70,5,65,0.6427522969700332
Uniform,68,0.4,T,68,4,64,0.8740079365079365
Uniform,68,0.4,TV,108,4,104,0.9226114748502808
Uniform,68,0.4,A,87,2,85,0.6739081746920494
Uniform,68,0.4,AV,92,3,89,0.5842696629213485
Uniform,68,0.4,AT,96,4,92,0.8136105860113423
Uniform,68,0.4,ATV,165,8,157,0.8586072470868925
Uniform,68,0.5,V,105,7,98,0.66548553487329
Uniform,68,0.5,T,117,1,116,0.8620689655172413
Uniform,68,0.5,TV,90,4,86,0.8718996243906337
Uniform,68,0.5,A,116,7,109,0.6402081937565108
Uniform,68,0.5,AV,88,5,83,0.6994076523960766
Uniform,68,0.5,AT,92,4,88,0.8636363636363636
Uniform,68,0.5,ATV,78,2,76,0.8294773291895678
Uniform,68,0.6,V,152,2,150,0.6355360826294473
Uniform,68,0.6,T,150,10,140,0.8348139255702279
Uniform,68,0.6,TV,67,3,64,0.9055059523809524
Uniform,68,0.6,A,154,4,150,0.7197023310827462
Uniform,68,0.6,AV,52,8,44,0.7272727272727273
Uniform,68,0.6,AT,73,3,70,0.8417289377289378
Uniform,68,0.6,ATV,38,0,38,0.9190834228428212
Uniform,68,0.7,V,203,8,195,0.6313137042018441
Uniform,68,0.7,T,137,6,131,0.8852193399765994
Uniform,68,0.7,TV,44,2,42,0.8584873949579832
Uniform,68,0.7,A,188,11,177,0.5590666424372203
Uniform,68,0.7,AV,46,1,45,0.5914703850260662
Uniform,68,0.7,AT,46,2,44,0.8856749311294766
Uniform,68,0.7,ATV,22,0,22,0.811965811965812
Uniform,69,0.0,ATV,686,30,656,0.8733805605374345
Uniform,69,0.1,V,7,0,7,0.6233766233766234
Uniform,69,0.1,T,7,1,6,0.6666666666666666
Uniform,69,0.1,TV,52,3,49,0.7976362262076548
Uniform,69,0.1,A,9,1,8,0.6428571428571428
Uniform,69,0.1,AV,58,2,56,0.6755102040816325
Uniform,69,0.1,AT,49,1,48,0.8523954116059379
Uniform,69,0.1,ATV,504,22,482,0.8630705394190872
Uniform,69,0.2,V,24,0,24,0.6230434782608695
Uniform,69,0.2,T,23,0,23,0.8685481820493264
Uniform,69,0.2,TV,80,3,77,0.8438918804772464
Uniform,69,0.2,A,29,0,29,0.5276856763925729
Uniform,69,0.2,AV,87,4,83,0.660457432567148
Uniform,69,0.2,AT,96,6,90,0.8126591854747195
Uniform,69,0.2,ATV,347,17,330,0.862514688601645
Uniform,69,0.3,V,46,1,45,0.5914979757085019
Uniform,69,0.3,T,45,0,45,0.9329080276448697
Uniform,69,0.3,TV,102,6,96,0.8109817813765182
Uniform,69,0.3,A,50,1,49,0.6357452071737786
Uniform,69,0.3,AV,94,3,91,0.7391079508726567
Uniform,69,0.3,AT,105,4,101,0.8519641771724749
Uniform,69,0.3,ATV,244,15,229,0.8723378577744281
Uniform,69,0.4,V,79,5,74,0.5529951869677897
Uniform,69,0.4,T,78,1,77,0.8574917146345719
Uniform,69,0.4,TV,96,4,92,0.9014057411030245
Uniform,69,0.4,A,90,1,89,0.7055876100819922
Uniform,69,0.4,AV,101,5,96,0.6579704704704705
Uniform,69,0.4,AT,91,6,85,0.8682254063775924
Uniform,69,0.4,ATV,151,8,143,0.8458628189810986
Uniform,69,0.5,V,125,3,122,0.6585199971735444
Uniform,69,0.5,T,133,7,126,0.8888888888888888
Uniform,69,0.5,TV,88,5,83,0.8296804238229515
Uniform,69,0.5,A,123,3,120,0.707659266521932
Uniform,69,0.5,AV,77,3,74,0.689359496482784
Uniform,69,0.5,AT,70,7,63,0.8566946778711484
Uniform,69,0.5,ATV,70,2,68,0.8120829600310231
Uniform,69,0.6,V,151,5,146,0.7181601689040897
Uniform,69,0.6,T,166,10,156,0.8653234644768819
Uniform,69,0.6,TV,56,2,54,0.8365689633295267
Uniform,69,0.6,A,148,4,144,0.602642073778664
Uniform,69,0.6,AV,51,5,46,0.5899195309088642
Uniform,69,0.6,AT,65,2,63,0.9047619047619048
Uniform,69,0.6,ATV,49,2,47,0.8927454761360046
Uniform,69,0.7,V,173,7,166,0.7023018544767304
Uniform,69,0.7,T,194,7,187,0.8708771738537862
Uniform,69,0.7,TV,53,1,52,0.9230769230769231
Uniform,69,0.7,A,156,7,149,0.5950516785178805
Uniform,69,0.7,AV,48,3,45,0.5726103461952519
Uniform,69,0.7,AT,47,4,43,0.928759462592921
Uniform,69,0.7,ATV,15,1,14,0.9297173414820473
Uniform,70,0.0,ATV,686,30,656,0.8712862485410514
Uniform,70,0.1,V,6,0,6,0.6666666666666666
Uniform,70,0.1,T,5,0,5,1.0
Uniform,70,0.1,TV,64,1,63,0.873015873015873
Uniform,70,0.1,A,8,1,7,0.7261904761904762
Uniform,70,0.1,AV,56,2,54,0.6680555555555556
Uniform,70,0.1,AT,55,1,54,0.8325445941026575
Uniform,70,0.1,ATV,492,25,467,0.8754324845408535
Uniform,70,0.2,V,30,3,27,0.5579975579975581
Uniform,70,0.2,T,26,2,24,0.8766603415559772
Uniform,70,0.2,TV,74,3,71,0.8725580808479094
Uniform,70,0.2,A,25,1,24,0.7265625
Uniform,70,0.2,AV,93,3,90,0.5663147310206134
Uniform,70,0.2,AT,85,5,80,0.8624785122675419
Uniform,70,0.2,ATV,353,13,340,0.8678560017376495
Uniform,70,0.3,V,63,3,60,0.6333333333333333
Uniform,70,0.3,T,45,5,40,0.8750781738586617
Uniform,70,0.3,TV,115,4,111,0.8112728112728114
Uniform,70,0.3,A,44,2,42,0.6627257799671594
Uniform,70,0.3,AV,98,5,93,0.6902635781935077
