dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
iemocap4,70,0,0.2,0.0,-0.11043301886814527
iemocap4,70,0.1,1.0,0.95,0.0014385382413387715
iemocap4,70,0.1,0.95,0.9,0.0008133733127844156
iemocap4,70,0.1,0.9,0.8,-0.0023868280582677315
iemocap4,70,0.1,0.8,0.6,0.005919609766261935
iemocap4,70,0.1,0.6,0.4,-0.004689430647136339
iemocap4,70,0.1,0.4,0.2,-0.00711582788208609
iemocap4,70,0.1,0.2,0.0,-0.12268072342030001
iemocap4,70,0.3,1.0,0.95,0.0008436975198182761
iemocap4,70,0.3,0.95,0.9,0.0008185943031441267
iemocap4,70,0.3,0.9,0.8,0.003349681851066655
iemocap4,70,0.3,0.8,0.6,0.001645888934195816
iemocap4,70,0.3,0.6,0.4,-0.004611989812740913
iemocap4,70,0.3,0.4,0.2,-0.010334511625551324
iemocap4,70,0.3,0.2,0.0,-0.15551564665749495
iemocap4,70,0.5,1.0,0.95,0.0016327187207203497
iemocap4,70,0.5,0.95,0.9,2.4996963859047483e-05
iemocap4,70,0.5,0.9,0.8,3.360403208807483e-06
iemocap4,70,0.5,0.8,0.6,0.006788835433623297
iemocap4,70,0.5,0.6,0.4,-0.006272406283770571
iemocap4,70,0.5,0.4,0.2,-0.01765012289033141
iemocap4,70,0.5,0.2,0.0,-0.16258339040198233
iemocap4,70,0.7,1.0,0.95,0.004016333048023846
iemocap4,70,0.7,0.95,0.9,0.0008694205911606856
iemocap4,70,0.7,0.9,0.8,0.004248236095388602
iemocap4,70,0.7,0.8,0.6,0.007086653691617539
iemocap4,70,0.7,0.6,0.4,-0.005948439747973988
iemocap4,70,0.7,0.4,0.2,-0.03616299565249359
iemocap4,70,0.7,0.2,0.0,-0.19624497993469436
iemocap4,70,all,1.0,0.95,0.0020842560122235065
iemocap4,70,all,0.95,0.9,0.0008322607813174843
iemocap4,70,all,0.9,0.8,0.0021956873695294643
iemocap4,70,all,0.8,0.6,0.004793995307361354
iemocap4,70,all,0.6,0.4,-0.005421643677280041
iemocap4,70,all,0.4,0.2,-0.01593532230203798
iemocap4,70,all,0.2,0.0,-0.1494915518565234
mosi,66,0,1.0,0.95,0.0
mosi,66,0,0.95,0.9,0.0
mosi,66,0,0.9,0.8,0.00148544889433333
mosi,66,0,0.8,0.6,0.001585576230336616
mosi,66,0,0.6,0.4,0.0
mosi,66,0,0.4,0.2,9.686885262250033e-05
mosi,66,0,0.2,0.0,0.00027367952560275466
mosi,66,0.1,1.0,0.95,0.0
mosi,66,0.1,0.95,0.9,0.001603676805647436
mosi,66,0.1,0.9,0.8,0.0016016008342175647
mosi,66,0.1,0.8,0.6,0.0
mosi,66,0.1,0.6,0.4,-0.00012353924248442727
mosi,66,0.1,0.4,0.2,0.0
mosi,66,0.1,0.2,0.0,-0.006813832088357286
mosi,66,0.3,1.0,0.95,0.0014650655517528532
mosi,66,0.3,0.95,0.9,0.001591001114077395
mosi,66,0.3,0.9,0.8,0.004397287438862696
mosi,66,0.3,0.8,0.6,0.00599137114501036
mosi,66,0.3,0.6,0.4,0.004527763849746291
mosi,66,0.3,0.4,0.2,-0.012113418710191781
mosi,66,0.3,0.2,0.0,-0.0064708662335639655
mosi,66,0.5,1.0,0.95,-0.00015921748667979685
