dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
CMUMOSI,0.3,text,2-3,440,0.34137407758865845,0.3517366820607673,0.36361935032023623,0.010362604472108863,0.011882668259468945,0.9618752215396275,0.9618752185593952,0.9530875796960159,0.7250350130552595,0.7101347774944522,0.707207636941563,0.010593540966510773,0.0024678073823451996
CMUMOSI,0.3,text,4-7,32,0.2511243405751884,0.26339727779850364,0.26892759976908565,0.012272937223315239,0.005530321970582008,0.9819790329784155,0.9819790255278349,0.9795734509825706,0.7998965680599213,0.7834579525515437,0.7872549993917346,0.013110719621181488,0.0028377026319503784
CMUMOSI,0.3,visual,1,1152,0.12971647976276776,0.1396453969500726,0.18082594542324337,0.009928917187304856,0.04118054847155387,0.994607352082514,0.9946073503233492,0.9836364868614409,0.9240963671666881,0.9051059532082744,0.9107570630601711,0.011551406234502792,0.009875532239675522
CMUMOSI,0.3,visual,2-3,320,0.16971867333631963,0.17911904479842633,0.2036788276513107,0.009400371462106705,0.02455978284124285,0.9831815842539072,0.9831815799698234,0.9755619524978101,0.924442313797772,0.9054448703303933,0.911167342402041,0.011257492005825043,0.004503445699810982
CMUMOSI,0.3,visual,4-7,8,0.1585393650457263,0.17230843007564545,0.19330881349742413,0.013769065029919147,0.02100038342177868,0.9940284118056297,0.9940284341573715,0.9873096868395805,0.8777764961123466,0.8597374185919762,0.8863076940178871,0.013852506875991821,0.0036872103810310364
CMUMOSI,0.5,audio,1,1384,0.11946034805063223,0.13162643381130662,0.2006976370271726,0.01216608576067438,0.06907120325624125,0.9962959191788828,0.9962959201263555,0.9757196139221247,0.9155457155897438,0.8967309952471297,0.8967074581524196,0.013048188760876656,0.020913586020469666
CMUMOSI,0.5,audio,2-3,936,0.21359348969741,0.22267321246859229,0.25411563420779687,0.009079722771182274,0.03144242172726454,0.9718363116789832,0.9718363164868365,0.9594587404599302,0.8928426266289674,0.8744948239853749,0.8735475291171645,0.01059170812368393,0.009598631411790848
CMUMOSI,0.5,audio,4-7,224,0.24887699327830756,0.2580607789901218,0.28927527660770075,0.00918378571181425,0.03121449751779437,0.9624962902494839,0.9624962923782212,0.9473695007285902,0.878615806943604,0.8605607146663325,0.8648253795025604,0.010464247316122055,0.005458138883113861
CMUMOSI,0.5,audio,8+,8,0.3147617671638727,0.32447564974427223,0.318658908829093,0.009713882580399513,-0.005816740915179253,0.9540602490305901,0.9540602266788483,0.9571881368756294,0.7922377064824104,0.7759564891457558,0.7782295942306519,0.009887486696243286,-0.0027764886617660522
CMUMOSI,0.5,text,1,1352,0.3209556681310659,0.3311970017178083,0.35363018646086813,0.010241333586742452,0.022433184729282848,0.9609101638197899,0.9609101660020606,0.9496432865732873,0.7548709265535047,0.7393578216213094,0.7271905679079379,0.011257648468017578,0.0047729238867759705
CMUMOSI,0.5,text,2-3,896,0.34373166441634695,0.3540884528358999,0.3693146444233467,0.010356788419552945,0.01522619158744679,0.9544897345892552,0.9544897340238094,0.9455150745010802,0.729787919005113,0.7147897595672735,0.7084187970031053,0.010883703827857971,0.0030343346297740936
CMUMOSI,0.5,text,4-7,104,0.3747269246154107,0.3850279807184751,0.3915717617536967,0.010301056103064464,0.00654378103522154,0.9565736571183572,0.9565736490946549,0.9497268698536433,0.6983203329145908,0.6839690999342845,0.6851265155352079,0.010887280106544495,0.00036534667015075684
CMUMOSI,0.5,visual,1,1240,0.1448267654560867,0.15563824144041827,0.19686089355438466,0.01081147598433158,0.04122265221611146,0.9935776413448395,0.9935776450941639,0.9823494622784276,0.9044556625908421,0.8858690673305142,0.8885347622296502,0.012017011642456055,0.009384453296661377
CMUMOSI,0.5,visual,2-3,744,0.20151364951524683,0.21154557500955878,0.23516594911975566,0.010031925494311958,0.02362037414023953,0.9808419611985966,0.9808419567122254,0.9721781270959045,0.885495428076034,0.8672993560872411,0.8708791467611507,0.011590719223022461,0.0060908496379852295
