variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
no-JEPA-regression,68,0.3,TV,102,5,97,0.8360064366677866
no-JEPA-regression,68,0.3,A,49,2,47,0.6672316213189673
no-JEPA-regression,68,0.3,AV,97,5,92,0.686683979122207
no-JEPA-regression,68,0.3,AT,96,3,93,0.9041482341275178
no-JEPA-regression,68,0.3,ATV,238,11,227,0.8593162885805645
no-JEPA-regression,68,0.4,V,70,5,65,0.5715244755244755
no-JEPA-regression,68,0.4,T,68,4,64,0.9217790469172193
no-JEPA-regression,68,0.4,TV,108,4,104,0.9126448893572181
no-JEPA-regression,68,0.4,A,87,2,85,0.7141509433962264
no-JEPA-regression,68,0.4,AV,92,3,89,0.5735728067188742
no-JEPA-regression,68,0.4,AT,96,4,92,0.835538752362949
no-JEPA-regression,68,0.4,ATV,165,8,157,0.8777030029585208
no-JEPA-regression,68,0.5,V,105,7,98,0.6434150042397466
no-JEPA-regression,68,0.5,T,117,1,116,0.8628856624319419
no-JEPA-regression,68,0.5,TV,90,4,86,0.8377401415571284
no-JEPA-regression,68,0.5,A,116,7,109,0.7098378757701159
no-JEPA-regression,68,0.5,AV,88,5,83,0.6615540174883932
no-JEPA-regression,68,0.5,AT,92,4,88,0.8629227914942201
no-JEPA-regression,68,0.5,ATV,78,2,76,0.8819458432850853
no-JEPA-regression,68,0.6,V,152,2,150,0.6026196308998858
no-JEPA-regression,68,0.6,T,150,10,140,0.8360440239087761
no-JEPA-regression,68,0.6,TV,67,3,64,0.8904906656841072
no-JEPA-regression,68,0.6,A,154,4,150,0.7101612903225807
no-JEPA-regression,68,0.6,AV,52,8,44,0.6671185956900243
no-JEPA-regression,68,0.6,AT,73,3,70,0.8564408564408564
no-JEPA-regression,68,0.6,ATV,38,0,38,0.9735104452253157
no-JEPA-regression,68,0.7,V,203,8,195,0.6251048227653623
no-JEPA-regression,68,0.7,T,137,6,131,0.8994098681858813
no-JEPA-regression,68,0.7,TV,44,2,42,0.7868601986249045
no-JEPA-regression,68,0.7,A,188,11,177,0.6023410154436764
no-JEPA-regression,68,0.7,AV,46,1,45,0.6011857707509881
no-JEPA-regression,68,0.7,AT,46,2,44,0.8856749311294766
no-JEPA-regression,68,0.7,ATV,22,0,22,0.7722567287784678
no-JEPA-regression,69,0.0,ATV,686,30,656,0.8737267460601196
no-JEPA-regression,69,0.1,V,7,0,7,0.7142857142857143
no-JEPA-regression,69,0.1,T,7,1,6,1.0
no-JEPA-regression,69,0.1,TV,52,3,49,0.8576318845895226
no-JEPA-regression,69,0.1,A,9,1,8,0.5769230769230769
no-JEPA-regression,69,0.1,AV,58,2,56,0.6138040042149632
no-JEPA-regression,69,0.1,AT,49,1,48,0.8741071428571429
no-JEPA-regression,69,0.1,ATV,504,22,482,0.8665442453135577
no-JEPA-regression,69,0.2,V,24,0,24,0.662004662004662
no-JEPA-regression,69,0.2,T,23,0,23,0.8685481820493264
no-JEPA-regression,69,0.2,TV,80,3,77,0.8571910789632309
no-JEPA-regression,69,0.2,A,29,0,29,0.5795241913926759
no-JEPA-regression,69,0.2,AV,87,4,83,0.6872033588901058
no-JEPA-regression,69,0.2,AT,96,6,90,0.8222222222222222
no-JEPA-regression,69,0.2,ATV,347,17,330,0.8595787595516079
no-JEPA-regression,69,0.3,V,46,1,45,0.7093855428350201
no-JEPA-regression,69,0.3,T,45,0,45,0.8894660894660894
no-JEPA-regression,69,0.3,TV,102,6,96,0.8327380952380953
no-JEPA-regression,69,0.3,A,50,1,49,0.5258763792598379
no-JEPA-regression,69,0.3,AV,94,3,91,0.7193218350059286
no-JEPA-regression,69,0.3,AT,105,4,101,0.8509672804482149
no-JEPA-regression,69,0.3,ATV,244,15,229,0.8854414194758873
no-JEPA-regression,69,0.4,V,79,5,74,0.6196150696150695
no-JEPA-regression,69,0.4,T,78,1,77,0.8693469650916459
no-JEPA-regression,69,0.4,TV,96,4,92,0.9007561436672968
no-JEPA-regression,69,0.4,A,90,1,89,0.5748148811990994
no-JEPA-regression,69,0.4,AV,101,5,96,0.6957478632478632
no-JEPA-regression,69,0.4,AT,91,6,85,0.8265597147950088
no-JEPA-regression,69,0.4,ATV,151,8,143,0.8732538545791559
no-JEPA-regression,69,0.5,V,125,3,122,0.6214533193814673
no-JEPA-regression,69,0.5,T,133,7,126,0.88958605664488
no-JEPA-regression,69,0.5,TV,88,5,83,0.8792714718523217
no-JEPA-regression,69,0.5,A,123,3,120,0.6678518518518518
no-JEPA-regression,69,0.5,AV,77,3,74,0.6623472787856349
no-JEPA-regression,69,0.5,AT,70,7,63,0.8258481130024165
no-JEPA-regression,69,0.5,ATV,70,2,68,0.8682369499523949
no-JEPA-regression,69,0.6,V,151,5,146,0.6961642234373874
no-JEPA-regression,69,0.6,T,166,10,156,0.8718793840745059
no-JEPA-regression,69,0.6,TV,56,2,54,0.8379784466740988
no-JEPA-regression,69,0.6,A,148,4,144,0.6443467739584245
no-JEPA-regression,69,0.6,AV,51,5,46,0.4891118543292456
no-JEPA-regression,69,0.6,AT,65,2,63,0.8405349794238683
no-JEPA-regression,69,0.6,ATV,49,2,47,0.8927454761360046
no-JEPA-regression,69,0.7,V,173,7,166,0.7380256319395229
no-JEPA-regression,69,0.7,T,194,7,187,0.8818362296374861
no-JEPA-regression,69,0.7,TV,53,1,52,0.9418398502905545
no-JEPA-regression,69,0.7,A,156,7,149,0.5907548450343111
no-JEPA-regression,69,0.7,AV,48,3,45,0.5401493930905695
no-JEPA-regression,69,0.7,AT,47,4,43,0.878796831694312
no-JEPA-regression,69,0.7,ATV,15,1,14,0.9297173414820473
