audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1742 validation_wf1=0.0444 cls=1.8302 jepa=3.9857
epoch=025 train_wf1=0.4537 validation_wf1=0.4964 cls=1.1363 jepa=3.0114
epoch=026 train_wf1=0.4933 validation_wf1=0.5130 cls=1.1011 jepa=2.9873
epoch=027 train_wf1=0.5134 validation_wf1=0.4779 cls=1.0629 jepa=2.9733
epoch=028 train_wf1=0.5164 validation_wf1=0.4876 cls=1.1119 jepa=2.9978
epoch=029 train_wf1=0.5078 validation_wf1=0.5046 cls=1.0828 jepa=2.9948
epoch=030 train_wf1=0.5155 validation_wf1=0.5428 cls=1.0803 jepa=2.9767
epoch=031 train_wf1=0.5170 validation_wf1=0.5409 cls=1.0781 jepa=3.0075
epoch=032 train_wf1=0.5359 validation_wf1=0.5029 cls=1.0245 jepa=2.9770
epoch=033 train_wf1=0.5399 validation_wf1=0.4407 cls=1.0392 jepa=2.9631
epoch=034 train_wf1=0.5508 validation_wf1=0.5400 cls=1.0295 jepa=2.9959
epoch=035 train_wf1=0.5439 validation_wf1=0.4637 cls=1.0357 jepa=2.9680
epoch=036 train_wf1=0.5439 validation_wf1=0.5113 cls=1.0546 jepa=2.9764
epoch=037 train_wf1=0.5623 validation_wf1=0.5134 cls=1.0035 jepa=2.9712
epoch=038 train_wf1=0.5461 validation_wf1=0.5303 cls=1.0132 jepa=2.9892
epoch=039 train_wf1=0.5528 validation_wf1=0.5487 cls=0.9942 jepa=2.9716
epoch=040 train_wf1=0.5809 validation_wf1=0.4910 cls=0.9690 jepa=2.9285
epoch=041 train_wf1=0.5552 validation_wf1=0.5487 cls=0.9608 jepa=2.9221
epoch=042 train_wf1=0.5804 validation_wf1=0.5630 cls=0.9617 jepa=2.9529
epoch=043 train_wf1=0.5957 validation_wf1=0.5333 cls=0.9390 jepa=2.9243
epoch=044 train_wf1=0.5682 validation_wf1=0.5715 cls=0.9350 jepa=2.9397
epoch=045 train_wf1=0.5988 validation_wf1=0.5547 cls=0.9009 jepa=2.8972
epoch=046 train_wf1=0.6106 validation_wf1=0.6068 cls=0.9179 jepa=2.9297
epoch=047 train_wf1=0.6138 validation_wf1=0.5792 cls=0.8794 jepa=2.9025
epoch=048 train_wf1=0.6256 validation_wf1=0.5744 cls=0.8904 jepa=2.8913
epoch=049 train_wf1=0.6181 validation_wf1=0.5893 cls=0.8815 jepa=2.8881
epoch=050 train_wf1=0.6391 validation_wf1=0.5618 cls=0.8315 jepa=2.8836
epoch=051 train_wf1=0.6524 validation_wf1=0.5856 cls=0.8172 jepa=2.8696
epoch=052 train_wf1=0.6516 validation_wf1=0.5730 cls=0.8109 jepa=2.8596
epoch=053 train_wf1=0.6703 validation_wf1=0.6044 cls=0.8096 jepa=2.8803
epoch=054 train_wf1=0.6554 validation_wf1=0.6134 cls=0.8111 jepa=2.8759
epoch=055 train_wf1=0.6813 validation_wf1=0.5843 cls=0.7613 jepa=2.8848
epoch=056 train_wf1=0.6776 validation_wf1=0.5657 cls=0.7641 jepa=2.8319
epoch=057 train_wf1=0.6776 validation_wf1=0.5978 cls=0.7594 jepa=2.8288
epoch=058 train_wf1=0.6756 validation_wf1=0.5273 cls=0.7561 jepa=2.8354
epoch=059 train_wf1=0.6723 validation_wf1=0.6135 cls=0.7612 jepa=2.8499
epoch=060 train_wf1=0.7012 validation_wf1=0.5390 cls=0.7287 jepa=2.8211
epoch=061 train_wf1=0.6986 validation_wf1=0.5739 cls=0.7347 jepa=2.8253
epoch=062 train_wf1=0.7104 validation_wf1=0.6028 cls=0.7004 jepa=2.8150
epoch=063 train_wf1=0.7334 validation_wf1=0.5388 cls=0.6531 jepa=2.8032
epoch=064 train_wf1=0.6981 validation_wf1=0.5501 cls=0.7173 jepa=2.8009
epoch=065 train_wf1=0.7151 validation_wf1=0.6213 cls=0.6965 jepa=2.7865
epoch=066 train_wf1=0.7261 validation_wf1=0.5903 cls=0.6753 jepa=2.7858
epoch=067 train_wf1=0.7307 validation_wf1=0.5990 cls=0.6443 jepa=2.7918
epoch=068 train_wf1=0.7523 validation_wf1=0.6097 cls=0.6225 jepa=2.7725
epoch=069 train_wf1=0.7350 validation_wf1=0.5407 cls=0.6432 jepa=2.7884
epoch=070 train_wf1=0.7370 validation_wf1=0.6316 cls=0.6318 jepa=2.7575
epoch=071 train_wf1=0.7503 validation_wf1=0.6054 cls=0.6042 jepa=2.7466
epoch=072 train_wf1=0.7382 validation_wf1=0.6297 cls=0.6473 jepa=2.7537
epoch=073 train_wf1=0.7439 validation_wf1=0.5893 cls=0.6312 jepa=2.7600
epoch=074 train_wf1=0.7586 validation_wf1=0.5973 cls=0.5921 jepa=2.7128
epoch=075 train_wf1=0.7750 validation_wf1=0.5661 cls=0.5594 jepa=2.6987
epoch=076 train_wf1=0.7583 validation_wf1=0.6140 cls=0.5788 jepa=2.7146
epoch=077 train_wf1=0.7718 validation_wf1=0.6147 cls=0.5622 jepa=2.6833
epoch=078 train_wf1=0.7815 validation_wf1=0.6178 cls=0.5516 jepa=2.7077
epoch=079 train_wf1=0.7497 validation_wf1=0.5579 cls=0.6060 jepa=2.7393
epoch=080 train_wf1=0.7606 validation_wf1=0.6117 cls=0.5891 jepa=2.7041
epoch=081 train_wf1=0.7832 validation_wf1=0.6147 cls=0.5477 jepa=2.7055
epoch=082 train_wf1=0.7943 validation_wf1=0.6111 cls=0.5172 jepa=2.6671
epoch=083 train_wf1=0.7885 validation_wf1=0.6318 cls=0.5125 jepa=2.6844
epoch=084 train_wf1=0.8100 validation_wf1=0.6258 cls=0.4764 jepa=2.6768
epoch=085 train_wf1=0.8005 validation_wf1=0.5777 cls=0.5017 jepa=2.7192
epoch=086 train_wf1=0.7876 validation_wf1=0.5982 cls=0.5152 jepa=2.6691
epoch=087 train_wf1=0.7955 validation_wf1=0.5980 cls=0.5054 jepa=2.6809
epoch=088 train_wf1=0.8056 validation_wf1=0.6248 cls=0.4722 jepa=2.6474
epoch=089 train_wf1=0.8182 validation_wf1=0.5986 cls=0.4426 jepa=2.6270
epoch=090 train_wf1=0.8139 validation_wf1=0.5603 cls=0.4543 jepa=2.6379
epoch=091 train_wf1=0.8157 validation_wf1=0.5831 cls=0.4605 jepa=2.6632
epoch=092 train_wf1=0.8239 validation_wf1=0.6235 cls=0.4400 jepa=2.5979
epoch=093 train_wf1=0.8161 validation_wf1=0.6129 cls=0.4494 jepa=2.5955
epoch=094 train_wf1=0.8315 validation_wf1=0.6080 cls=0.4236 jepa=2.6127
epoch=095 train_wf1=0.8360 validation_wf1=0.6221 cls=0.4243 jepa=2.5984
epoch=096 train_wf1=0.8401 validation_wf1=0.5940 cls=0.4029 jepa=2.6070
epoch=097 train_wf1=0.8389 validation_wf1=0.6346 cls=0.4062 jepa=2.6018
epoch=098 train_wf1=0.8476 validation_wf1=0.6148 cls=0.3851 jepa=2.6025
epoch=099 train_wf1=0.8489 validation_wf1=0.6091 cls=0.3678 jepa=2.5907
epoch=100 train_wf1=0.8574 validation_wf1=0.6341 cls=0.3541 jepa=2.5871
