group,seed,rate,mode,weighted_f1,prior_write_coverage,t_missing_count,normal_minus_zero_abs
PAM-T,67,0.3,Oracle-Fusion,0.8239048508012253,0.9414634146341463,205,
PAM-T,67,0.4,Normal,0.767704466676547,0.9283018867924528,265,
PAM-T,67,0.4,Zero,0.7679300418409176,0.9283018867924528,265,0.0002255751643706061
PAM-T,67,0.4,Shuffle,0.7737775525150686,0.9283018867924528,265,
PAM-T,67,0.4,Oracle-Fusion,0.7769310272059948,0.9283018867924528,265,
PAM-T,67,0.5,Normal,0.747688943126369,0.8636363636363636,330,
PAM-T,67,0.5,Zero,0.7362355555453766,0.8636363636363636,330,0.011453387580992458
PAM-T,67,0.5,Shuffle,0.7365843503829845,0.8636363636363636,330,
PAM-T,67,0.5,Oracle-Fusion,0.8021003224849879,0.8636363636363636,330,
PAM-T,67,0.6,Normal,0.7544397865853658,0.8021390374331551,374,
PAM-T,67,0.6,Zero,0.7547771076255219,0.8021390374331551,374,0.0003373210401560467
PAM-T,67,0.6,Shuffle,0.7436075793933038,0.8021390374331551,374,
PAM-T,67,0.6,Oracle-Fusion,0.7868058718787527,0.8021390374331551,374,
PAM-T,67,0.7,Normal,0.7651238382486086,0.7341463414634146,410,
PAM-T,67,0.7,Zero,0.7316142087616049,0.7341463414634146,410,0.033509629487003756
PAM-T,67,0.7,Shuffle,0.7317571823494419,0.7341463414634146,410,
PAM-T,67,0.7,Oracle-Fusion,0.804486860827043,0.7341463414634146,410,
PAM-T,68,0.0,Normal,0.870576125910715,None,0,
PAM-T,68,0.0,Zero,0.870576125910715,None,0,0.0
PAM-T,68,0.0,Shuffle,0.870576125910715,None,0,
PAM-T,68,0.0,Oracle-Fusion,0.870576125910715,None,0,
PAM-T,68,0.1,Normal,0.8474067543109218,0.9375,64,
PAM-T,68,0.1,Zero,0.8427872698306726,0.9375,64,0.004619484480249181
PAM-T,68,0.1,Shuffle,0.8442715387189413,0.9375,64,
PAM-T,68,0.1,Oracle-Fusion,0.8549979673195524,0.9375,64,
PAM-T,68,0.2,Normal,0.8277853126187372,0.9448275862068966,145,
PAM-T,68,0.2,Zero,0.8205820453201643,0.9448275862068966,145,0.007203267298572902
PAM-T,68,0.2,Shuffle,0.820032766832245,0.9448275862068966,145,
PAM-T,68,0.2,Oracle-Fusion,0.8370781820287825,0.9448275862068966,145,
PAM-T,68,0.3,Normal,0.8179473823748501,0.9518716577540107,187,
PAM-T,68,0.3,Zero,0.8118279666563576,0.9518716577540107,187,0.006119415718492505
PAM-T,68,0.3,Shuffle,0.8028837000539425,0.9518716577540107,187,
PAM-T,68,0.3,Oracle-Fusion,0.8350194510323148,0.9518716577540107,187,
PAM-T,68,0.4,Normal,0.7847716619058082,0.9076305220883534,249,
PAM-T,68,0.4,Zero,0.7787921937895997,0.9076305220883534,249,0.0059794681162084196
PAM-T,68,0.4,Shuffle,0.7742398921651341,0.9076305220883534,249,
PAM-T,68,0.4,Oracle-Fusion,0.7924127970841833,0.9076305220883534,249,
PAM-T,68,0.5,Normal,0.7892063371220951,0.8446601941747572,309,
PAM-T,68,0.5,Zero,0.7772283186159452,0.8446601941747572,309,0.011978018506149879
PAM-T,68,0.5,Shuffle,0.7739972302895212,0.8446601941747572,309,
PAM-T,68,0.5,Oracle-Fusion,0.8028360818099374,0.8446601941747572,309,
PAM-T,68,0.6,Normal,0.7696147366879074,0.8268156424581006,358,
PAM-T,68,0.6,Zero,0.7605686522586422,0.8268156424581006,358,0.009046084429265133
PAM-T,68,0.6,Shuffle,0.7559246559238869,0.8268156424581006,358,
PAM-T,68,0.6,Oracle-Fusion,0.7769830615377997,0.8268156424581006,358,
PAM-T,68,0.7,Normal,0.6825889590697762,0.7848970251716247,437,
PAM-T,68,0.7,Zero,0.6770421295148745,0.7848970251716247,437,0.005546829554901711
PAM-T,68,0.7,Shuffle,0.6857178078565047,0.7848970251716247,437,
PAM-T,68,0.7,Oracle-Fusion,0.6991527080471543,0.7848970251716247,437,
PAM-T,69,0.0,Normal,0.8709093852676124,None,0,
PAM-T,69,0.0,Zero,0.8709093852676124,None,0,0.0
PAM-T,69,0.0,Shuffle,0.8709093852676124,None,0,
PAM-T,69,0.0,Oracle-Fusion,0.8709093852676124,None,0,
PAM-T,69,0.1,Normal,0.8371476973935772,0.9324324324324325,74,
PAM-T,69,0.1,Zero,0.8282756237117752,0.9324324324324325,74,0.008872073681801984
PAM-T,69,0.1,Shuffle,0.834171268922326,0.9324324324324325,74,
PAM-T,69,0.1,Oracle-Fusion,0.8432356339396115,0.9324324324324325,74,
PAM-T,69,0.2,Normal,0.821418549225133,0.95,140,
PAM-T,69,0.2,Zero,0.7974897028955892,0.95,140,0.02392884632954384
PAM-T,69,0.2,Shuffle,0.805461373689246,0.95,140,
PAM-T,69,0.2,Oracle-Fusion,0.8473250379597463,0.95,140,
PAM-T,69,0.3,Normal,0.820032766832245,0.9578947368421052,190,
PAM-T,69,0.3,Zero,0.7963272191502015,0.9578947368421052,190,0.02370554768204347
PAM-T,69,0.3,Shuffle,0.7908918055029335,0.9578947368421052,190,
PAM-T,69,0.3,Oracle-Fusion,0.8429492744616173,0.9578947368421052,190,
PAM-T,69,0.4,Normal,0.7763594177209348,0.9444444444444444,270,
PAM-T,69,0.4,Zero,0.7511635575654797,0.9444444444444444,270,0.025195860155455052
PAM-T,69,0.4,Shuffle,0.7735113573070099,0.9444444444444444,270,
PAM-T,69,0.4,Oracle-Fusion,0.8292682926829268,0.9444444444444444,270,
PAM-T,69,0.5,Normal,0.7718401119470292,0.8707692307692307,325,
PAM-T,69,0.5,Zero,0.7363157296278077,0.8707692307692307,325,0.035524382319221504
PAM-T,69,0.5,Shuffle,0.7597623996659827,0.8707692307692307,325,
PAM-T,69,0.5,Oracle-Fusion,0.8201219512195121,0.8707692307692307,325,
PAM-T,69,0.6,Normal,0.7506338094714334,0.8228571428571428,350,
PAM-T,69,0.6,Zero,0.7173858772564176,0.8228571428571428,350,0.033247932215015874
PAM-T,69,0.6,Shuffle,0.7116738065250015,0.8228571428571428,350,
PAM-T,69,0.6,Oracle-Fusion,0.8097329392900638,0.8228571428571428,350,
PAM-T,69,0.7,Normal,0.7585246147947101,0.713527851458886,377,
PAM-T,69,0.7,Zero,0.731786576580669,0.713527851458886,377,0.026738038214041082
PAM-T,69,0.7,Shuffle,0.7315792925943226,0.713527851458886,377,
PAM-T,69,0.7,Oracle-Fusion,0.820032766832245,0.713527851458886,377,
PAM-T,70,0.0,Normal,0.872001525460662,None,0,
PAM-T,70,0.0,Zero,0.872001525460662,None,0,0.0
PAM-T,70,0.0,Shuffle,0.872001525460662,None,0,
PAM-T,70,0.0,Oracle-Fusion,0.872001525460662,None,0,
PAM-T,70,0.1,Normal,0.8542250927735757,0.9571428571428572,70,
PAM-T,70,0.1,Zero,0.8497698754652618,0.9571428571428572,70,0.004455217308313886
PAM-T,70,0.1,Shuffle,0.8481055035933086,0.9571428571428572,70,
PAM-T,70,0.1,Oracle-Fusion,0.8632512309305246,0.9571428571428572,70,
PAM-T,70,0.2,Normal,0.8114490280460571,0.9594594594594594,148,
PAM-T,70,0.2,Zero,0.7999287275053941,0.9594594594594594,148,0.011520300540662998
PAM-T,70,0.2,Shuffle,0.7985260346051574,0.9594594594594594,148,
PAM-T,70,0.2,Oracle-Fusion,0.8473271207301871,0.9594594594594594,148,
PAM-T,70,0.3,Normal,0.805187740237625,0.9317073170731708,205,
PAM-T,70,0.3,Zero,0.8085090845898438,0.9317073170731708,205,0.003321344352218869
PAM-T,70,0.3,Shuffle,0.7951553515097307,0.9317073170731708,205,
PAM-T,70,0.3,Oracle-Fusion,0.8251615244343053,0.9317073170731708,205,
PAM-T,70,0.4,Normal,0.7830980129624265,0.9076923076923077,260,
PAM-T,70,0.4,Zero,0.7696609819197064,0.9076923076923077,260,0.013437031042720093
PAM-T,70,0.4,Shuffle,0.7711162415541444,0.9076923076923077,260,
PAM-T,70,0.4,Oracle-Fusion,0.8133504513356284,0.9076923076923077,260,
PAM-T,70,0.5,Normal,0.7555813107865786,0.9230769230769231,325,
PAM-T,70,0.5,Zero,0.7470845548404245,0.9230769230769231,325,0.008496755946154178
PAM-T,70,0.5,Shuffle,0.7461629307253319,0.9230769230769231,325,
PAM-T,70,0.5,Oracle-Fusion,0.8025253450499448,0.9230769230769231,325,
PAM-T,70,0.6,Normal,0.7530463720505676,0.7947214076246334,341,
PAM-T,70,0.6,Zero,0.7436433472423486,0.7947214076246334,341,0.009403024808218974
PAM-T,70,0.6,Shuffle,0.7485317196691796,0.7947214076246334,341,
PAM-T,70,0.6,Oracle-Fusion,0.8102392453112786,0.7947214076246334,341,
PAM-T,70,0.7,Normal,0.7398466695937405,0.8049382716049382,405,
PAM-T,70,0.7,Zero,0.720968128412388,0.8049382716049382,405,0.01887854118135246
PAM-T,70,0.7,Shuffle,0.7263115945561828,0.8049382716049382,405,
PAM-T,70,0.7,Oracle-Fusion,0.7979485043739027,0.8049382716049382,405,
