group,seed,rate,pattern,count,weighted_f1
PAM-T,69,0.4,A,89,56.870780824880754
PAM-T,69,0.4,T,77,85.74917146345719
PAM-T,69,0.4,V,74,60.714813173829576
PAM-T,69,0.4,AT,85,86.91026647421776
PAM-T,69,0.4,AV,96,66.33073751717818
PAM-T,69,0.4,TV,92,89.13043478260869
PAM-T,69,0.4,ATV,143,88.82778613791271
PAM-T,69,0.5,A,120,69.82258518727119
PAM-T,69,0.5,T,126,89.44570820217061
PAM-T,69,0.5,V,122,64.05076679005816
PAM-T,69,0.5,AT,63,82.1634839410223
PAM-T,69,0.5,AV,74,67.49602543720191
PAM-T,69,0.5,TV,83,84.32363629331276
PAM-T,69,0.5,ATV,68,87.05568836461967
PAM-T,69,0.6,A,144,66.82146542827658
PAM-T,69,0.6,T,156,83.04029304029305
PAM-T,69,0.6,V,146,72.4646915153446
PAM-T,69,0.6,AT,63,83.80116959064327
PAM-T,69,0.6,AV,46,47.33201581027668
PAM-T,69,0.6,TV,54,86.9270482603816
PAM-T,69,0.6,ATV,47,81.11448834853091
PAM-T,69,0.7,A,149,65.12582381038757
PAM-T,69,0.7,T,187,85.3199303144311
PAM-T,69,0.7,V,166,69.86460772077761
PAM-T,69,0.7,AT,43,85.27322717378853
PAM-T,69,0.7,AV,45,58.2995951417004
PAM-T,69,0.7,TV,52,92.17414529914531
PAM-T,69,0.7,ATV,14,92.97173414820473
PAM-T,70,0.0,A,0,
PAM-T,70,0.0,T,0,
PAM-T,70,0.0,V,0,
PAM-T,70,0.0,AT,0,
PAM-T,70,0.0,AV,0,
PAM-T,70,0.0,TV,0,
PAM-T,70,0.0,ATV,656,87.2001525460662
PAM-T,70,0.1,A,7,57.14285714285715
PAM-T,70,0.1,T,5,88.8888888888889
PAM-T,70,0.1,V,6,53.333333333333336
PAM-T,70,0.1,AT,54,85.0326797385621
PAM-T,70,0.1,AV,54,67.81070243539978
PAM-T,70,0.1,TV,63,92.0292921908866
PAM-T,70,0.1,ATV,467,87.17546366795892
PAM-T,70,0.2,A,24,56.547619047619044
PAM-T,70,0.2,T,24,91.66666666666666
PAM-T,70,0.2,V,27,61.88034188034188
PAM-T,70,0.2,AT,80,83.4368530020704
PAM-T,70,0.2,AV,90,68.91963109354414
PAM-T,70,0.2,TV,71,82.07125103562551
PAM-T,70,0.2,ATV,340,85.76851335499876
PAM-T,70,0.3,A,42,75.04578754578753
PAM-T,70,0.3,T,40,92.48585795097422
PAM-T,70,0.3,V,60,61.22209165687428
PAM-T,70,0.3,AT,82,87.46091307066916
PAM-T,70,0.3,AV,93,69.23355417979074
PAM-T,70,0.3,TV,111,83.6463125359402
PAM-T,70,0.3,ATV,228,84.82514062117876
PAM-T,70,0.4,A,77,64.0495867768595
PAM-T,70,0.4,T,77,84.15007215007215
PAM-T,70,0.4,V,68,60.864659726139806
PAM-T,70,0.4,AT,104,85.474786284436
PAM-T,70,0.4,AV,104,62.08553914739482
