seed,write_step,rate,epoch,pattern,target,branch,count,raw_cosine,centered_cosine,real_minus_shuffle_cosine,shuffle_minus_real_smooth_l1,shuffle_minus_real_nce,retrieval_top1,chance,effective_rank,target_effective_rank,channel_std,target_channel_std,std_ratio,retrieval_over_chance
66,1.0,0.5,54,A,text,regression,102,0.9234011769294739,0.045897919684648514,0.00045800209045410156,0.0004166439175605774,0.015267372131347656,0.019607843831181526,0.00980392156862745,10.170796394348145,65.3705825805664,0.025105053558945656,0.3705764412879944,0.06774595133918727,2.0000000707805157
66,1.0,0.5,54,A,text,contrastive,102,0.06347169727087021,0.05818694084882736,0.003491535782814026,0.001985311508178711,0.11638450622558594,0.029411764815449715,0.00980392156862745,5.313356876373291,65.3705825805664,0.21781830489635468,0.3705764412879944,0.5877823861098517,3.000000011175871
66,1.0,0.5,54,A,visual,regression,102,0.9020258784294128,0.2585284411907196,0.03498560190200806,0.02378339320421219,1.1661925315856934,0.029411764815449715,0.00980392156862745,8.090747833251953,43.359745025634766,0.1724473536014557,0.41571879386901855,0.4148173143593529,3.000000011175871
66,1.0,0.5,54,A,visual,contrastive,102,0.18038134276866913,0.1937241405248642,0.027323216199874878,0.017895102500915527,0.9107747077941895,0.06862745434045792,0.00980392156862745,10.126111030578613,43.359745025634766,0.31129053235054016,0.41571879386901855,0.7488007204423363,7.0000003427267075
66,1.0,0.5,54,V,audio,regression,122,0.9504762291908264,0.10410421341657639,0.0020408034324645996,0.001725524663925171,0.06802654266357422,0.0,0.00819672131147541,17.094541549682617,59.04579544067383,0.06735201179981232,0.28805601596832275,0.2338156749596195,0.0
66,1.0,0.5,54,V,audio,contrastive,122,0.14650698006153107,0.1054588258266449,0.005860760807991028,0.0036326050758361816,0.1953582763671875,0.04098360612988472,0.00819672131147541,14.8771390914917,59.04579544067383,0.19827388226985931,0.28805601596832275,0.6883171025029496,4.999999947845936
66,1.0,0.5,54,V,text,regression,122,0.9090338349342346,0.038461919873952866,0.00034242868423461914,0.00035728514194488525,0.011415481567382812,0.032786883413791656,0.00819672131147541,12.415721893310547,72.4596939086914,0.028475580736994743,0.3918151259422302,0.07267606289705422,3.999999776482582
66,1.0,0.5,54,V,text,contrastive,122,0.058899618685245514,0.03192046284675598,0.0013155266642570496,0.0010813474655151367,0.04385089874267578,0.008196720853447914,0.00819672131147541,8.154807090759277,72.4596939086914,0.17339053750038147,0.3918151259422302,0.44253150534557567,0.9999999441206455
66,1.0,0.5,54,AV,text,regression,85,0.9109665751457214,0.031234340742230415,0.00035876035690307617,0.0004938319325447083,0.011958122253417969,0.0235294122248888,0.011764705882352941,9.60007095336914,57.84160232543945,0.02758740819990635,0.38913795351982117,0.0708936456862493,2.000000039115548
66,1.0,0.5,54,AV,text,contrastive,85,0.06036975607275963,0.017416292801499367,0.0018523186445236206,0.0009943246841430664,0.06174421310424805,0.03529411926865578,0.011764705882352941,6.66823673248291,57.84160232543945,0.1693195402622223,0.38913795351982117,0.4351144336621429,3.000000137835741
67,0.6,0.5,41,A,text,regression,125,0.9269652366638184,0.03184731677174568,0.0005285143852233887,0.000643998384475708,0.017617225646972656,0.00800000037997961,0.008,10.161823272705078,79.71163940429688,0.048984650522470474,0.35919854044914246,0.13637207562486192,1.0000000474974513
67,0.6,0.5,41,A,text,contrastive,125,0.02998211234807968,0.03848373144865036,0.0025669988244771957,0.0015235543251037598,0.08556652069091797,0.00800000037997961,0.008,6.3691606521606445,79.71163940429688,0.16495363414287567,0.35919854044914246,0.4592269053672027,1.0000000474974513
67,0.6,0.5,41,A,visual,regression,125,0.8795067071914673,0.22511975467205048,0.02449333667755127,0.020134568214416504,0.8164448738098145,0.01600000075995922,0.008,4.522092819213867,50.65147018432617,0.15135666728019714,0.41608694195747375,0.3637621180038536,2.0000000949949026
67,0.6,0.5,41,A,visual,contrastive,125,0.0681266337633133,0.06721046566963196,0.009703461080789566,0.008692264556884766,0.32344913482666016,0.00800000037997961,0.008,3.844167709350586,50.65147018432617,0.5725389719009399,0.41608694195747375,1.376008026609632,1.0000000474974513
