seed,rate,pattern,n,base_zero_fraction,gap_zero_fraction,base_norm_valid_count,base_norm_mean,base_norm_median,base_norm_p90,gap_norm_valid_count,gap_norm_mean,gap_norm_median,gap_norm_p90,difference_norm_valid_count,difference_norm_mean,difference_norm_median,difference_norm_p90,sum_norm_valid_count,sum_norm_mean,sum_norm_median,sum_norm_p90,cosine_valid_count,cosine_mean,cosine_median,cosine_p90,relative_difference_valid_count,relative_difference_mean,relative_difference_median,relative_difference_p90,gap_base_norm_ratio_valid_count,gap_base_norm_ratio_mean,gap_base_norm_ratio_median,gap_base_norm_ratio_p90,centered_base_norm_valid_count,centered_base_norm_mean,centered_base_norm_median,centered_base_norm_p90,centered_gap_norm_valid_count,centered_gap_norm_mean,centered_gap_norm_median,centered_gap_norm_p90,centered_cosine_valid_count,centered_cosine_mean,centered_cosine_median,centered_cosine_p90
67,0.2,AT,75,0.02666666666666667,0.02666666666666667,75,11.062911317351265,10.27587967378344,15.884927935173371,75,7.1644625897851,7.139294703273953,9.036440692745057,75,9.122900272183013,9.29676691460749,13.399976161054292,75,16.280881223421616,16.330429410591243,20.873166042832693,73,0.5832655176339363,0.5750571782439153,0.8227293158061287,73,0.48717576217165115,0.5107424839396324,0.6091930748649591,73,0.6881468890436647,0.6626020891365347,0.9372867687913394,75,7.348796046429144,7.1384226155669745,11.793026504561608,75,3.6249040926648814,3.168973611175832,5.88969270209745,75,0.3388649171563471,0.46055103585973306,0.8687689037424088
67,0.2,AV,92,0.03260869565217391,0.03260869565217391,92,11.101149920136121,11.123626844212744,15.749882014719713,92,8.633833615623578,8.546966804674714,12.987943076582791,92,6.134680141721883,6.302969266963089,7.906487774855556,92,18.887006958194426,17.918275841900666,28.121792073843416,89,0.7901571518961192,0.8555217614063587,0.9034296030228819,89,0.34202877958076827,0.3023545809218009,0.46999457479343276,89,0.7583191960292497,0.7628232038921317,0.9134671733799412,92,7.965570058676894,7.862389068581366,13.187687757614645,92,7.014901278831245,6.626136645970295,11.876968518704814,92,0.8702957944876384,0.9132422689478799,0.9806176675349164
67,0.2,TV,81,0.08641975308641975,0.08641975308641975,81,10.687119291157357,10.785342378641014,15.925359057769226,81,2.1081372725542535,2.0335465957232532,3.6767340116905696,81,10.65392318268841,10.995583470617023,15.667684793607656,81,11.178163255878017,11.773844343829582,16.05421124743825,74,0.10873050767092049,0.02958715632570623,0.5749095300691093,74,0.8234569372855226,0.8505972692283675,0.9209698640367586,74,0.21558987639011493,0.1972158469457834,0.34298702196065217,81,8.050415903077567,7.766995969107924,12.424268252122555,81,1.617160736084239,1.4739297282610908,2.884377697841841,81,-0.07413003800574983,-0.15813723674516336,0.6746704286266025
67,0.3,AT,95,0.042105263157894736,0.042105263157894736,95,11.101421034437214,10.668571274009368,16.417180250461524,95,6.897519197834304,7.011427475824516,9.004435076115872,95,8.760311219189967,8.942170079312206,13.499173039692913,95,16.277024242011542,16.406130398008823,22.54186555126153,91,0.6191381694219414,0.6214854176414366,0.7897686620219623,91,0.4734017586145141,0.4986440399036683,0.5890244896758684,91,0.6607704778921728,0.6396696727880286,0.8718363513926046,95,7.573649226803148,6.993432111959592,12.273393064342512,95,3.7220264138932335,3.3271170562382344,6.008927092095178,95,0.46289383893433494,0.5654366580087349,0.82425155525455
67,0.3,AV,99,0.030303030303030304,0.030303030303030304,99,11.156672931408792,10.455388517286217,16.54308983819854,99,8.608868900090206,8.343113532383699,12.846390924627833,99,6.0610172155717095,6.196413269084682,8.057175865073326,99,18.94414730270613,17.066578521875464,28.62236697328553,96,0.810019923081212,0.8517830755224423,0.9068176867129008,96,0.32463648716591464,0.30224580146595925,0.4461277851986727,96,0.7694435546830553,0.7631388774269023,0.8893590914275,99,7.771819367081674,8.04908610971758,12.123393647428164,99,6.674719206689976,6.611406983296587,11.462622057843001,99,0.8557326076188752,0.9118187355550169,0.9830781494685908
67,0.3,TV,89,0.07865168539325842,0.07865168539325842,89,10.568536595928256,11.154020464837359,15.886057006400058,89,2.316802449159433,2.234674081325496,4.079203108174301,89,10.261251688672425,11.167450462067068,15.36276071960478,89,11.391145415026243,11.625037074913198,16.963660938052595,82,0.21203659580249115,0.14704285194954989,0.7053461169478632,82,0.787395110265709,0.8255498806545232,0.9174485092237202,82,0.24665038720682075,0.2173615402849668,0.44537674422112583,89,7.924455366390377,7.657969051133975,12.435101019034528,89,1.8329432109258312,1.5658711676798163,3.1136283715411914,89,0.010839682197553857,-0.17214566313176607,0.797424221410246
67,0.4,AT,86,0.011627906976744186,0.011627906976744186,86,10.767622875363562,10.464975911601893,15.245077785505213,86,6.627431061745355,7.093051212394101,8.35910280721942,86,8.61538701515197,8.4752053428159,12.818028570105241,86,15.684354259355558,15.991400251370337,20.775208371101762,85,0.5739861745469446,0.6200897705485467,0.8203568758660199,85,0.500450526093469,0.5048256890671634,0.6275837740968316,85,0.6378890398884789,0.5876559736890412,0.9394918867300343,86,6.180761325896058,5.609547978542201,10.076606851447695,86,3.594303468750228,3.1945171737307367,5.7321319772258255,86,0.5800270892390788,0.6508303483414765,0.8891517758137149
67,0.4,AV,89,0.033707865168539325,0.033707865168539325,89,10.462012733130468,9.84652341593606,16.05740669275031,89,7.8471604165827955,7.247499089569571,12.134123404890005,89,5.902625830122912,6.128573502232475,7.25075295086652,89,17.478402401138254,16.14239451471035,27.047667254709566,86,0.7801621972253772,0.8219770035359248,0.9069579593603575,86,0.34768589684214574,0.3259611082344542,0.4725122807586686,86,0.7382285610755853,0.7347244854841222,0.8594294140325989,89,6.715245271523593,6.132335737403503,12.049459559233204,89,5.639333505579248,5.514294081366512,9.610762518842765,89,0.8499036852281135,0.8935051427185126,0.9794679185031393
67,0.4,TV,81,0.04938271604938271,0.04938271604938271,81,10.67815322953912,10.469831144503365,15.746710574118062,81,1.9083635423193266,1.852935198419028,2.7990530711563437,81,10.489191967651418,10.478961763933539,15.72871227261856,81,11.226196167991885,11.291612338672886,15.83454822596425,77,0.1792760910568162,0.09684123403907134,0.5642454663555381,77,0.8266223891268301,0.8489901621790403,0.9231544109551368,77,0.19272131306456483,0.1756640018387642,0.3115924958491544,81,7.223149945310589,6.976778459457979,11.386029712003223,81,1.3436850451860132,1.106727543235771,2.2009169533181248,81,0.04540282229136314,0.07042586035229703,0.6973416613459174
67,0.5,AT,77,0.05194805194805195,0.05194805194805195,77,9.949552466534966,9.582381742967026,15.173753478417789,77,6.034190270059005,6.6827932761311475,8.344131183261469,77,7.75679074922753,7.859844146553348,12.67797976704705,77,14.575601287073988,15.267658221765968,20.141138003449957,73,0.5875347651307292,0.6326694789474661,0.8411778612010802,73,0.4957813246629173,0.4921272660403692,0.6395743036415437,73,0.6249737548427697,0.6293189013657757,0.8983195667464804,77,7.188632613679778,7.006768011101907,11.049634372766196,77,4.030552458547933,3.6541976256853976,5.528913972992437,77,0.5834546573709215,0.6483396000168494,0.858014471626406
