branch,pattern,target,metric,mean_delta,std_delta,positive_seeds,negative_seeds
contrastive,V,text,shuffle_minus_real_smooth_l1,-0.00027956962585449217,0.0011562496477146463,3,2
contrastive,V,text,shuffle_minus_real_nce,-0.005361747741699219,0.06275410703482137,3,2
contrastive,V,text,retrieval_top1,0.006406221725046635,0.01630242389923533,4,1
contrastive,V,text,chance,0.0,0.0,0,0
contrastive,V,text,effective_rank,1.9125909328460693,1.7900785981830816,4,1
contrastive,V,text,target_effective_rank,2.598797607421875,5.184981497222645,4,1
contrastive,V,text,channel_std,-0.07976982444524765,0.06801170548621631,1,4
contrastive,V,text,target_channel_std,-0.007402890920639038,0.013941692429504104,1,4
contrastive,V,text,std_ratio,-0.20023469141992972,0.1797205934987105,1,4
contrastive,V,text,retrieval_over_chance,0.8000000108033419,1.7888543714051104,4,1
contrastive,AV,text,count,0.0,0.0,0,0
contrastive,AV,text,raw_cosine,0.00960751436650753,0.028134306220236775,2,3
contrastive,AV,text,centered_cosine,0.012078264635056258,0.021256639298238664,3,2
contrastive,AV,text,real_minus_shuffle_cosine,-0.0005814671516418457,0.0016775633878819568,2,3
contrastive,AV,text,shuffle_minus_real_smooth_l1,-0.0005439996719360351,0.0010884553261569934,2,3
contrastive,AV,text,shuffle_minus_real_nce,-0.019382381439208986,0.0559181789308805,2,3
contrastive,AV,text,retrieval_top1,0.00024446118623018266,0.008757454417216235,1,1
contrastive,AV,text,chance,0.0,0.0,0,0
contrastive,AV,text,effective_rank,1.1893016338348388,1.5984100349140533,4,1
contrastive,AV,text,target_effective_rank,1.5288551330566407,3.77411130891675,4,1
contrastive,AV,text,channel_std,-0.0831029698252678,0.08454267974108066,0,5
contrastive,AV,text,target_channel_std,-0.004806262254714966,0.012835092437079667,1,4
contrastive,AV,text,std_ratio,-0.21769303757367908,0.21982397650869054,0,5
contrastive,AV,text,retrieval_over_chance,-1.99303031189757e-08,0.7071068157601347,1,1
contrastive,A,visual,count,0.0,0.0,0,0
contrastive,A,visual,raw_cosine,-0.017470447719097136,0.07185659368475317,1,4
contrastive,A,visual,centered_cosine,-0.04643286913633347,0.08502327367815217,2,3
contrastive,A,visual,real_minus_shuffle_cosine,-0.007396821677684784,0.014428646130737174,2,3
contrastive,A,visual,shuffle_minus_real_smooth_l1,-0.003765261173248291,0.009727914582363899,2,3
contrastive,A,visual,shuffle_minus_real_nce,-0.24656057357788086,0.48095482356427105,2,3
contrastive,A,visual,retrieval_top1,-0.018549779988825323,0.016445246348780976,1,4
contrastive,A,visual,chance,0.0,0.0,0,0
contrastive,A,visual,effective_rank,-0.22313785552978516,2.8870050903030062,2,3
contrastive,A,visual,target_effective_rank,1.6205032348632813,3.9854088491436896,3,2
contrastive,A,visual,channel_std,0.005693674087524414,0.17101920480944807,2,3
contrastive,A,visual,target_channel_std,0.01464827060699463,0.05793151952540027,4,1
contrastive,A,visual,std_ratio,0.005327448255948742,0.437020260350068,3,2
contrastive,A,visual,retrieval_over_chance,-2.1999999852851033,1.9235384361615664,1,4
contrastive,V,audio,count,0.0,0.0,0,0
contrastive,V,audio,raw_cosine,-0.016930031403899194,0.07324029755342266,2,3
contrastive,V,audio,centered_cosine,-0.03216261630877852,0.06694862536607396,1,4
contrastive,V,audio,real_minus_shuffle_cosine,-0.0029677484184503556,0.008398378571638495,1,4
contrastive,V,audio,shuffle_minus_real_smooth_l1,-0.0016486167907714844,0.003696671123312752,1,4
contrastive,V,audio,shuffle_minus_real_nce,-0.09892473220825196,0.279946034044784,1,4
contrastive,V,audio,retrieval_top1,-0.007199195958673954,0.019253875067361082,2,3
contrastive,V,audio,chance,0.0,0.0,0,0
contrastive,V,audio,effective_rank,-1.0311153411865235,4.84545324230694,2,3
contrastive,V,audio,target_effective_rank,1.334783172607422,2.4832142554022143,3,2
contrastive,V,audio,channel_std,0.013508796691894531,0.09930631573364067,2,3
contrastive,V,audio,target_channel_std,0.02219611406326294,0.06612641153143743,3,2
contrastive,V,audio,std_ratio,-0.008117645168357213,0.43975106483730375,2,3
contrastive,V,audio,retrieval_over_chance,-0.8000000093132258,2.2803508698020507,2,3
