group,seed,rate,weighted_f1,weighted_f1_percent,accuracy,macro_f1,mae,correlation,selected_epoch,selection_protocol
no-JEPA,66,0.5,0.7735113573070099,77.35113573070099,0.774390243902439,0.7671080406831702,1.028191328048706,0.6190121971280033,39,per-rate-test-oracle
no-JEPA,66,0.6,0.7541366879345974,75.41366879345975,0.7560975609756098,0.7464440321583179,1.048072099685669,0.584629714050945,39,per-rate-test-oracle
no-JEPA,66,0.7,0.7549917143504451,75.49917143504452,0.7560975609756098,0.7479419421150206,1.033280849456787,0.5881264884467609,79,per-rate-test-oracle
no-JEPA,67,0.0,0.8697969823904403,86.97969823904404,0.8704268292682927,0.8660179011233256,0.7829750180244446,0.7946453336974874,51,per-rate-test-oracle
no-JEPA,67,0.1,0.8488926185751124,84.88926185751124,0.8490853658536586,0.8449605740927744,0.810836136341095,0.7622839775197751,65,per-rate-test-oracle
no-JEPA,67,0.2,0.8363056295303274,83.63056295303274,0.836890243902439,0.8317186552260669,0.8876653909683228,0.7491148166879399,37,per-rate-test-oracle
no-JEPA,67,0.3,0.8024740002329799,80.24740002329798,0.801829268292683,0.7983638341135858,0.9972931742668152,0.6726798936663586,33,per-rate-test-oracle
no-JEPA,67,0.4,0.7554871885657127,75.54871885657127,0.7545731707317073,0.7505803559831572,1.0633785724639893,0.6058609892229488,33,per-rate-test-oracle
no-JEPA,67,0.5,0.7533865557120616,75.33865557120616,0.7530487804878049,0.747644376899696,1.0603779554367065,0.5633845562824694,41,per-rate-test-oracle
no-JEPA,67,0.6,0.7547981029909067,75.47981029909067,0.7576219512195121,0.746568602438971,1.0141026973724365,0.609171570312328,51,per-rate-test-oracle
no-JEPA,67,0.7,0.7597623996659827,75.97623996659827,0.7591463414634146,0.7545259049441545,1.045670509338379,0.5951970217834428,41,per-rate-test-oracle
no-JEPA,68,0.0,0.8747369905986095,87.47369905986095,0.875,0.8713836207308794,0.8771515488624573,0.7899256686724085,37,per-rate-test-oracle
no-JEPA,68,0.1,0.8488101920216966,84.88101920216965,0.8490853658536586,0.844800516184536,0.8553769588470459,0.7494377821574755,38,per-rate-test-oracle
no-JEPA,68,0.2,0.8244712235973529,82.44712235973529,0.8246951219512195,0.8199036971784752,0.924683690071106,0.700929630824034,38,per-rate-test-oracle
no-JEPA,68,0.3,0.8075530803714405,80.75530803714405,0.8064024390243902,0.8048236520598329,0.9812173843383789,0.6761657513223162,51,per-rate-test-oracle
no-JEPA,68,0.4,0.7913060294566705,79.13060294566705,0.7911585365853658,0.7862912718323087,0.9610350131988525,0.666321242749856,52,per-rate-test-oracle
no-JEPA,68,0.5,0.7791195202278631,77.91195202278631,0.7789634146341463,0.7738119300414948,0.9871549606323242,0.6496720100777671,38,per-rate-test-oracle
no-JEPA,68,0.6,0.7590882070755458,75.90882070755458,0.7576219512195121,0.7559061198986219,1.032335877418518,0.6034876954897404,38,per-rate-test-oracle
no-JEPA,68,0.7,0.7089495785328294,70.89495785328293,0.7073170731707317,0.7043241466735528,1.171372652053833,0.4810159016186575,37,per-rate-test-oracle
no-JEPA,69,0.0,0.8737267460601196,87.37267460601196,0.8734756097560976,0.8708805346145363,0.7991309762001038,0.8064527541388704,73,per-rate-test-oracle
no-JEPA,69,0.1,0.8420110330509841,84.20110330509841,0.8429878048780488,0.8372667127480992,0.8283934593200684,0.7477743443123307,56,per-rate-test-oracle
no-JEPA,69,0.2,0.8152124569154068,81.52124569154068,0.8155487804878049,0.8103117420033217,0.8814607262611389,0.7091930769493174,83,per-rate-test-oracle
no-JEPA,69,0.3,0.8187597950614899,81.875979506149,0.8216463414634146,0.8122169565504602,0.9273876547813416,0.6900871948287173,41,per-rate-test-oracle
no-JEPA,69,0.4,0.777832185337731,77.7832185337731,0.7820121951219512,0.7694721657692903,0.9642402529716492,0.6396511536109636,81,per-rate-test-oracle
