seed,rate,pattern,sample_index,D_norm,abs_score,first_shuffle_donor_index,real,shuffle,random,symmetric,real_fd_0.001,real_fd_0.0005,shuffle_fd_0.001,shuffle_fd_0.0005,random_fd_0.001,random_fd_0.0005,symmetric_fd_0.001,symmetric_fd_0.0005,shuffle_draw_sd,random_draw_sd,symmetric_draw_sd
66,0.1,AT,524,3.8422789573669434,0.7891181301564074,311,0.0006662311458737019,0.0006251773787431393,0.0009737665238176516,0.0013182015578597531,0.0006662311460292614,0.0006662311458072168,0.0005299136295877638,0.0005299136290881634,0.0011447344707149476,0.0011447344709925034,0.0005519825950761614,0.0005519825955202506,0.0001750501104233271,0.0007643853811690488,0.0013064521635561496
66,0.1,AT,529,3.187605619430542,0.6593603509262743,495,0.0010163842535898862,0.0007171463862564279,0.0006341140578361379,0.0009627019016368979,0.001016384253094138,0.001016384253427205,0.0003125478986731878,0.00031254789845114317,0.00132021320897735,0.0013202132095324615,0.00015908055256419473,0.00015908055239766128,0.00035177647503620665,0.0004638989896288707,0.001074394257892549
66,0.1,AT,537,3.2444441318511963,0.46629807814171553,516,0.0016048355084844026,0.001433808292582708,0.0007601673109442189,0.0011953792131729312,0.001604835507235114,0.001604835508151048,0.0004594048938488804,0.00045940489434848075,0.0009565960157886799,0.0009565960161217468,0.0010066241528383646,0.0010066241534212317,0.000652962733212229,0.0005378287383692047,0.0008108828314114937
66,0.1,AT,539,5.181257247924805,0.050246346651273574,287,0.0002808815411483375,0.00036073650553541416,0.0006154572872455133,0.001413293585046386,0.0002808815409913179,0.00028088154105376795,0.00032442510709829175,0.00032442510744523645,0.0008931269039752499,0.0008931269039336165,0.0005112968778434035,0.0005112968771286974,0.0003576726815069158,0.0003523096537615294,0.001198623069260329
66,0.1,AT,551,3.5075161457061768,0.9859476490610862,418,0.0009011952117886382,0.0002828429269562932,0.0006597513824947602,0.0007090383580376752,0.000901195211622241,0.0009011952118997968,0.0001035024925766237,0.00010350249191048988,0.001820523374829186,0.0018205233753842975,0.000947708478027387,0.0009477084781384093,0.0002266837834161868,0.0007171821955060683,0.0006107511293941673
66,0.1,AT,556,4.948044300079346,0.855975083897619,565,0.00020536740356926216,0.0001814383618444934,0.0005501737380593772,0.0015644048726407146,0.00020536740474863535,0.00020536740374943463,4.2648811537926434e-05,4.2648811149348376e-05,0.001380084999336173,0.0013800849998357734,0.0005342238530992027,0.0005342238531547139,0.00014633955333966334,0.0004541647019222874,0.0011798578848099632
66,0.1,AT,565,4.478399753570557,0.6124145443945959,342,0.0006485105775356133,0.0006140433489161877,0.0005519222387351669,0.001633550412607354,0.0006485105780162925,0.0006485105777942479,0.0004957245759995565,0.0004957245762771123,0.00017410170888298993,0.00017410170904952338,0.00010449227194619937,0.00010449227139108785,0.00016444640239813104,0.0004062716709504859,0.0014598559835792143
66,0.1,AT,570,4.208651065826416,1.2306830998519294,529,0.001117901538662925,0.00039402171294768867,0.0012817107907532844,0.0018503860702541164,0.001117901539560151,0.0011179015388940172,0.00014000378634193567,0.00014000378634193567,0.0008555050108327578,0.0008555050103886686,0.00025548056470370284,0.00025548056492574744,0.00035021076161522276,0.0006207519255792763,0.0014722003672909731
66,0.1,AT,598,3.370643377304077,0.5189238503465423,192,0.0006929000138276253,0.0006070863067013119,0.0007869115610851158,0.001974398327910429,0.0006929000133659713,0.0006929000136990382,0.0003580625735355447,0.00035806257336901126,0.0006727366551051439,0.0006727366551606551,0.004367855467424242,0.00436785546875651,0.0002782610844556562,0.0005306350423830563,0.0014322892790947642
66,0.1,AT,624,4.179196357727051,1.6249774655526181,310,0.0010576742478586156,0.0008948366629704281,0.0003757046221349761,0.0012405427197245645,0.0010576742479617707,0.0010576742479617707,0.0011788373984744638,0.0011788373996957091,0.0008511820789314228,0.0008511820788204005,0.00046936625264226706,0.0004693662534194232,0.00018708125321624807,0.00035386298766653155,0.0007730830898086371
66,0.1,AT,638,5.483763217926025,0.9145665454561431,646,0.00035375358198782306,0.0003234126985672997,0.0007809441736055838,0.0027836353391482377,0.00035375358092837317,0.00035375358198308504,0.0004375156990032991,0.00043751569989147754,0.0004439202972439382,0.0004439202979655832,0.0011071415919050587,0.001107141592404659,0.0002047002767312639,0.00040232980187108244,0.001845996076622728
66,0.1,AT,646,4.555525302886963,0.3381253615620493,397,0.0009591290161206792,0.0007900528424430258,0.0007785562659842763,0.002436016889314219,0.0009591290164034927,0.0009591290162092037,0.0009503284530143485,0.0009503284537082379,0.0010313884521440109,0.0010313884531987227,0.003390357915022957,0.0033903579162997133,0.00030762946744103376,0.000538777796718749,0.0017256714414720555
66,0.1,AT,659,4.189854621887207,1.215622503778919,638,0.0009862823405290511,0.0009396204040199408,0.0007711616303972279,0.0025017445433033244,0.0009862823389106268,0.0009862823397988052,0.0008885874248631964,0.0008885874256403525,0.0010270020129876656,0.0010270020136537994,0.0008001687403780267,0.0008001687408221159,0.0004281017422697914,0.000584035535374618,0.0021069174714423936
66,0.1,AV,46,2.372802972793579,0.3533767208218229,170,0.001089798832360321,0.0006730044197373296,0.0011010427215351415,0.002134077970006277,0.0010897988308999906,0.0010897988321767471,0.0011300125301316744,0.0011300125319357868,0.0011523327404228123,0.0011523327406171013,0.0006148259358851327,0.0006148259353855323,0.000457291737911524,0.0004616705658827104,0.001226207612201554
66,0.1,AV,77,3.3697874546051025,0.5353343216059072,100,0.001244143673211025,0.0009601787295411099,0.0009411921874132684,0.002402456674784674,0.001244143671808029,0.0012441436728627409,0.0009027522798188414,0.0009027522807070198,0.0004915148135720138,0.0004915148142936587,0.0010223766961359182,0.0010223766963024516,0.00021379965039692523,0.0008135074557456733,0.001727029977222594
66,0.1,AV,78,3.3173439502716064,0.12459420034081331,128,0.0014802068047879997,0.0009960241478573992,0.0006320194970841893,0.002014338982554854,0.0014802068032115923,0.0014802068044328376,0.0012879057156439666,0.0012879057168235786,0.0004226454392575185,0.0004226454396460966,0.0009713095163038643,0.0009713095157903862,0.00028657322785928486,0.0006584006114382743,0.0016805936817228093
66,0.1,AV,100,3.6540379524230957,0.47472969026642164,395,0.0007729485594401191,0.0006627277786759886,0.0006558084418260048,0.0034428614893405552,0.0007729485580476592,0.0007729485591578822,0.000582963087247812,0.0005829630882470127,0.0006213605470151151,0.0006213605471261374,0.004755889626784082,0.0047558896283383945,0.00019030300353977225,0.0004885525219412541,0.001554499180776215
66,0.1,AV,116,3.618379592895508,0.28089858459230677,46,0.0007387163686792889,0.0010454300932225818,0.0009463849423852676,0.0028763905246443483,0.0007387163676320085,0.0007387163683536535,0.001433158616170882,0.001433158617281105,0.002044308666404593,0.0020443086669041932,0.0056751556198331166,0.0056751556212764065,0.0004133912489914228,0.0008610862118760246,0.0016761210568675652
66,0.1,AV,123,3.484372615814209,0.30031720648654564,672,0.0016663337153108126,0.001097258671378258,0.00028147104089487233,0.0028526206868485994,0.0016663337138456136,0.001666333715066859,0.001047318039459899,0.0010473180407366556,0.000452169887810161,0.0004521698882542502,0.004050530447580192,0.004050530448829193,0.0002575228345134828,0.0002684049436424219,0.0015689622429356754
66,0.1,AV,124,3.8584036827087402,0.28430301557083615,195,0.00026220771417193636,0.0002515787976530264,0.0007930381596151269,0.003018490560054496,0.00026220771265350606,0.0002622077136527068,0.000520777135998296,0.0005207771371362746,0.0014046510427301317,0.0014046510435350434,0.0007174684868715975,0.00071746848723242,0.00021027378808093,0.0006699418699744194,0.002947012947019207
66,0.1,AV,127,3.8737988471984863,0.2381130462532694,502,0.0005315780811288993,0.00033653238941145703,0.0008607810110466673,0.0025390971961666473,0.0005315780795406289,0.0005315780808590187,0.0002922037710823,0.0002922037722341564,0.0002944378688779503,0.00029443786930816174,0.00012599109867894587,0.0001259910978601564,0.00020022750318547805,0.0004504360441796746,0.0029424003473216657
66,0.1,AV,128,3.9270079135894775,0.3871161696429033,260,0.0022154112533446864,0.0021574421702320015,0.0007866453272082717,0.0015510379390497135,0.002215411252254329,0.0022154112530592407,0.0020782514396078255,0.0020782514396078255,0.00033516220646068184,0.00033516220621088166,0.0019916341291170703,0.0019916341291725814,0.00014659616254156775,0.0004186584219021623,0.0006347361630688406
66,0.1,AV,163,3.7874865531921387,0.2853235454864351,194,0.0011821543179018018,0.0008195528783142061,0.00045450337035290447,0.00203318852055832,0.0011821543163259562,0.0011821543175472016,0.0008192781805194116,0.0008192781815186123,9.28151955292833e-05,9.28151956403056e-05,0.0021323382453364292,0.0021323382462523632,0.0003236155943021267,0.00030324806452663517,0.0007954074933313742
66,0.1,AV,170,4.622974872589111,0.5649949315088605,259,0.0022875999422970385,0.0016760325828704921,0.0005499022816715983,0.0009904684171594146,0.0022875999417526494,0.0022875999422522497,0.0019106174145577803,0.0019106174149463584,0.00019939940676394485,0.00019939940643087795,0.0019440814701399134,0.0019440814699178688,0.0002318796403742603,0.0004085747339277792,0.0006758625226635734
66,0.1,AV,179,4.653815269470215,0.05171782713896087,452,0.0029503796013962275,0.0021835381075244274,0.00039801763982158094,0.001267298285902948,0.0029503795997837257,0.0029503796009217043,0.002547576172511057,0.0025475761731910684,4.536350746431328e-05,4.53635073255354e-05,0.0011624390181506905,0.0011624390184317157,0.0005148363383765713,0.0003013524292769364,0.0005047570358739763
66,0.1,AV,181,3.9061825275421143,0.09966295216580216,381,0.0005292955896314928,0.0003691741122097208,0.0012116407797428995,0.001692556071449349,0.0005292955903152263,0.0005292955897323592,0.0001948609482452235,0.00019486094726683945,0.0010109427940954707,0.0010109427942411875,0.001314660580599425,0.0013146605811337198,0.00018608299545704049,0.0005872363960937499,0.0012655770731975202
66,0.1,AV,194,3.85099196434021,0.24952284503869473,445,0.0006877035453164706,0.0006355646580785368,0.0007649851754158199,0.0036319281151708637,0.0006877035440278068,0.0006877035449714963,0.00024358857506068254,0.00024358857597661654,0.001992591178903713,0.001992591179694747,0.00018744768313927462,0.00018744768376377507,0.0003964733448219542,0.0007234489225166572,0.003239590110052133
