seed,rate,pattern,n,zero_D,total_eligible,replay_fp64_max_abs_error,fd_max_abs_error,fd_mean_abs_error,real_mean,real_median,real_p90,shuffle_mean,shuffle_median,shuffle_p90,real_less_shuffle,random_mean,random_median,random_p90,real_less_random,symmetric_mean,symmetric_median,symmetric_p90,real_less_symmetric
68,0.2,TV,92,2,94,3.358886797588667e-07,6.434412464645378e-12,7.537367255698828e-13,0.0030760881207338407,0.0029717209349839997,0.005679978235653251,0.003478426954350477,0.0033997578942431645,0.005080481500507109,0.5978260869565217,0.0008169181270965317,0.0007411417092653618,0.0011967909727872014,0.09782608695652174,0.00182045159531294,0.0017324029267017384,0.002588497098244566,0.2717391304347826
68,0.3,AT,90,3,93,5.178550679385552e-07,1.1296295496232567e-11,9.569489925380959e-13,0.005917068263364453,0.005559228125178575,0.01175117062641713,0.00602854252558716,0.0062780438849436085,0.010212194567683491,0.4888888888888889,0.0010925903469461982,0.0010394285877674903,0.0015710713488204435,0.13333333333333333,0.0021143293725243723,0.0019767305993443184,0.003236638218438753,0.24444444444444444
68,0.3,AV,88,4,92,2.1135477251688073e-07,6.191477885941765e-12,9.196323352110143e-13,0.003094749368975613,0.002871696518838396,0.005433543441402073,0.00310852136270578,0.0027422204164381262,0.0045096943289012125,0.5454545454545454,0.0009021561472723015,0.0008764745820081481,0.0012063802253910049,0.10227272727272728,0.0025531505373585935,0.0024171134152696575,0.0037335513611547787,0.38636363636363635
68,0.3,TV,90,7,97,4.94235084858019e-07,7.151739270239155e-12,7.289784580390865e-13,0.0035898639564530847,0.003150183769875506,0.006357940177866867,0.003820894910312323,0.003679436792971694,0.005860403444092271,0.5555555555555556,0.0008133632919509333,0.0007974684180109633,0.001219148889261974,0.03333333333333333,0.001781276142571306,0.0016598425681030701,0.002973213006916609,0.12222222222222222
68,0.4,AT,90,2,92,3.2192726306945474e-07,1.6019824355950618e-11,8.795231817305275e-13,0.005254811198664941,0.004399062734668835,0.010993255216038904,0.005891359130520395,0.005922945278104028,0.010349883918820425,0.43333333333333335,0.0011159630903570107,0.0010585029949213027,0.0015813998768031258,0.1,0.002081060250133906,0.0020293946830739953,0.0029111499514429145,0.2222222222222222
68,0.4,AV,87,2,89,2.0534355893442324e-07,7.200797250139779e-12,8.323287636489025e-13,0.0024926054970855036,0.002317773685482924,0.004657853358431738,0.0024743036680989782,0.0022346221464781,0.00325816574831139,0.5172413793103449,0.0008448831288433113,0.0008245495201910367,0.0011752156592070187,0.13793103448275862,0.0022362132991352425,0.0020661547063259874,0.0034280979799216705,0.45977011494252873
68,0.4,TV,100,4,104,3.5951530752420524e-07,1.1397299770621316e-11,7.900898038164803e-13,0.0033172493297258625,0.003164166823825216,0.00637574141537154,0.003706326606727175,0.003588622683906275,0.005617537620902607,0.59,0.0008131366850388187,0.0007810797870508352,0.0011576978104301694,0.1,0.0016799185012393498,0.001641406054892324,0.0023564014037568775,0.23
68,0.5,AT,85,3,88,2.8159703258090474e-07,1.6517665707427298e-11,7.955163491921852e-13,0.004997715355941823,0.004600653852168734,0.009916915733098296,0.005294694133585372,0.005243745495054518,0.008729767915428932,0.4588235294117647,0.0010332339332554967,0.0010150436153957192,0.0014259898910421712,0.12941176470588237,0.001894834958110282,0.0017724111499958998,0.002945600782958166,0.2
68,0.5,AV,77,6,83,2.479192188209467e-07,6.7943107737167274e-12,7.963693532596997e-13,0.002403765677347824,0.0020728071365607235,0.004538772792126369,0.002344768659015204,0.0022949289361385403,0.0033377591355971646,0.4805194805194805,0.0008846173301395601,0.0008651061826387336,0.0012065484870538397,0.1038961038961039,0.0023405095879653875,0.0023143116142084505,0.0035124380272928625,0.5194805194805194
68,0.5,TV,80,6,86,3.5807936349385727e-07,7.61521748438021e-12,7.585953117774757e-13,0.003402311765312098,0.0030121622626191383,0.0069350401296041,0.00364898849924023,0.003764303790754631,0.005315329107892387,0.6,0.0008055508926680107,0.0008136433081473175,0.0011245484632082074,0.1,0.001704844401084636,0.0015491650403368505,0.002653907090798687,0.2125
