group,seed,rate,pattern,count,weighted_f1
PAM-A,69,0.6,AV,51,57.8881626724764
PAM-A,69,0.6,AT,65,86.03170414491169
PAM-A,69,0.6,ATV,49,89.70748626846022
PAM-A,69,0.7,V,173,68.64677762152664
PAM-A,69,0.7,T,194,87.13575850528534
PAM-A,69,0.7,TV,53,94.38062336281843
PAM-A,69,0.7,A,156,57.768813465016
PAM-A,69,0.7,AV,48,54.54545454545454
PAM-A,69,0.7,AT,47,91.48936170212765
PAM-A,69,0.7,ATV,15,93.39366515837104
PAM-A,70,0.0,V,0,None
PAM-A,70,0.0,T,0,None
PAM-A,70,0.0,TV,0,None
PAM-A,70,0.0,A,0,None
PAM-A,70,0.0,AV,0,None
PAM-A,70,0.0,AT,0,None
PAM-A,70,0.0,ATV,686,87.11365071058948
PAM-A,70,0.1,V,6,53.333333333333336
PAM-A,70,0.1,T,5,100.0
PAM-A,70,0.1,TV,64,87.5
PAM-A,70,0.1,A,8,50.0
PAM-A,70,0.1,AV,56,71.57453019521985
PAM-A,70,0.1,AT,55,83.35270363439378
PAM-A,70,0.1,ATV,492,85.39962996183277
PAM-A,70,0.2,V,30,53.98148148148149
PAM-A,70,0.2,T,26,88.6360698125404
PAM-A,70,0.2,TV,74,87.42031067612463
PAM-A,70,0.2,A,25,75.53246753246754
PAM-A,70,0.2,AV,93,65.77767002060855
PAM-A,70,0.2,AT,85,82.2937972843096
PAM-A,70,0.2,ATV,353,85.50351963393594
PAM-A,70,0.3,V,63,65.09696620583718
PAM-A,70,0.3,T,45,88.92240656946541
PAM-A,70,0.3,TV,115,82.6086956521739
PAM-A,70,0.3,A,44,72.55502392344498
PAM-A,70,0.3,AV,98,65.90746072140941
PAM-A,70,0.3,AT,86,89.26440737344284
PAM-A,70,0.3,ATV,235,83.65941142903725
PAM-A,70,0.4,V,70,61.31047152480099
PAM-A,70,0.4,T,82,82.78003613369465
PAM-A,70,0.4,TV,95,86.21004566210046
PAM-A,70,0.4,A,83,64.27622253720764
PAM-A,70,0.4,AV,107,60.173245527557604
PAM-A,70,0.4,AT,109,86.87069240951209
PAM-A,70,0.4,ATV,140,90.72548446781575
PAM-A,70,0.5,V,113,64.84296486019306
PAM-A,70,0.5,T,118,81.94847817290832
PAM-A,70,0.5,TV,84,90.60371561893167
PAM-A,70,0.5,A,128,57.11420932009168
PAM-A,70,0.5,AV,84,62.36210391550196
PAM-A,70,0.5,AT,86,84.7888621158218
PAM-A,70,0.5,ATV,73,90.14305102909007
PAM-A,70,0.6,V,116,67.12448860315605
PAM-A,70,0.6,T,164,84.88469709038134
PAM-A,70,0.6,TV,62,73.9238884956349
PAM-A,70,0.6,A,150,69.87145863687874
PAM-A,70,0.6,AV,75,54.13390313390314
PAM-A,70,0.6,AT,80,82.33333333333334
PAM-A,70,0.6,ATV,39,84.51254627725217
PAM-A,70,0.7,V,194,62.56050575993698
PAM-A,70,0.7,T,175,83.19119583682141
PAM-A,70,0.7,TV,41,90.44492093272581
PAM-A,70,0.7,A,176,67.70713606950541
PAM-A,70,0.7,AV,35,61.62019294304216
PAM-A,70,0.7,AT,54,92.5925925925926
PAM-A,70,0.7,ATV,11,100.0
