variant,seed,rate,pattern,count,excluded_original_neutral,weighted_f1
no-JEPA,69,0.5,AT,63,7,0.8258481130024165
no-JEPA,69,0.5,ATV,68,2,0.8682369499523949
no-JEPA,69,0.6,V,146,5,0.6961642234373874
no-JEPA,69,0.6,T,156,10,0.8718793840745059
no-JEPA,69,0.6,TV,54,2,0.8379784466740988
no-JEPA,69,0.6,A,144,4,0.6443467739584245
no-JEPA,69,0.6,AV,46,5,0.4891118543292456
no-JEPA,69,0.6,AT,63,2,0.8405349794238683
no-JEPA,69,0.6,ATV,47,2,0.8927454761360046
no-JEPA,69,0.7,V,166,7,0.7380256319395229
no-JEPA,69,0.7,T,187,7,0.8818362296374861
no-JEPA,69,0.7,TV,52,1,0.9418398502905545
no-JEPA,69,0.7,A,149,7,0.5907548450343111
no-JEPA,69,0.7,AV,45,3,0.5401493930905695
no-JEPA,69,0.7,AT,43,4,0.878796831694312
no-JEPA,69,0.7,ATV,14,1,0.9297173414820473
no-JEPA,70,0.0,ATV,656,30,0.8732449084626344
no-JEPA,70,0.1,V,6,0,0.6666666666666666
no-JEPA,70,0.1,T,5,0,0.888888888888889
no-JEPA,70,0.1,TV,63,1,0.9038819875776397
no-JEPA,70,0.1,A,7,1,0.5904761904761904
no-JEPA,70,0.1,AV,54,2,0.6643772893772892
no-JEPA,70,0.1,AT,54,1,0.8129084967320261
no-JEPA,70,0.1,ATV,467,25,0.8713389288330675
no-JEPA,70,0.2,V,27,3,0.514349847683181
no-JEPA,70,0.2,T,24,2,0.8766603415559772
no-JEPA,70,0.2,TV,71,3,0.8725580808479094
no-JEPA,70,0.2,A,24,1,0.6147912885662432
no-JEPA,70,0.2,AV,90,3,0.6247399423486653
no-JEPA,70,0.2,AT,80,5,0.849906191369606
no-JEPA,70,0.2,ATV,340,13,0.861522677757972
no-JEPA,70,0.3,V,60,3,0.6651785714285715
no-JEPA,70,0.3,T,40,5,0.9
no-JEPA,70,0.3,TV,111,4,0.7571122311724731
no-JEPA,70,0.3,A,42,2,0.7282913165266107
no-JEPA,70,0.3,AV,93,5,0.7456712383515087
no-JEPA,70,0.3,AT,82,4,0.8302992812536821
no-JEPA,70,0.3,ATV,228,7,0.8777699475373894
no-JEPA,70,0.4,V,68,2,0.6815415821501015
no-JEPA,70,0.4,T,77,5,0.8804966750044277
no-JEPA,70,0.4,TV,90,5,0.8762774403813296
no-JEPA,70,0.4,A,77,6,0.6396464646464646
no-JEPA,70,0.4,AV,104,3,0.6631192432163305
no-JEPA,70,0.4,AT,104,5,0.8260104302477184
no-JEPA,70,0.4,ATV,136,4,0.9119395061568542
no-JEPA,70,0.5,V,105,8,0.6622265122265123
no-JEPA,70,0.5,T,110,8,0.8720395443799699
no-JEPA,70,0.5,TV,81,3,0.8899709643095457
no-JEPA,70,0.5,A,123,5,0.5704188118640248
no-JEPA,70,0.5,AV,81,3,0.6166916026070955
no-JEPA,70,0.5,AT,85,1,0.8467996378045639
no-JEPA,70,0.5,ATV,71,2,0.8834966319657072
no-JEPA,70,0.6,V,110,6,0.6631522232741435
no-JEPA,70,0.6,T,158,6,0.8677234241992394
no-JEPA,70,0.6,TV,61,1,0.8034902168164991
no-JEPA,70,0.6,A,143,7,0.6733483621641516
no-JEPA,70,0.6,AV,73,2,0.60399266598079
no-JEPA,70,0.6,AT,75,5,0.8133333333333334
no-JEPA,70,0.6,ATV,36,3,0.8888888888888888
no-JEPA,70,0.7,V,183,11,0.6616879174256223
no-JEPA,70,0.7,T,168,7,0.8540870893812069
no-JEPA,70,0.7,TV,41,0,0.811588592076397
no-JEPA,70,0.7,A,169,7,0.6679961425356875
no-JEPA,70,0.7,AV,32,3,0.5435606060606061
no-JEPA,70,0.7,AT,52,2,0.8621097212646508
no-JEPA,70,0.7,ATV,11,0,1.0
modality-tracks,66,0.0,ATV,656,30,0.8656460334045767
modality-tracks,66,0.1,V,8,0,0.6309523809523809
modality-tracks,66,0.1,T,6,1,0.8000000000000002
modality-tracks,66,0.1,TV,60,2,0.9173669467787113
modality-tracks,66,0.1,A,6,1,0.6666666666666666
modality-tracks,66,0.1,AV,55,3,0.8002658690594882
modality-tracks,66,0.1,AT,50,1,0.8211868131868131
modality-tracks,66,0.1,ATV,471,22,0.8593863796144665
modality-tracks,66,0.2,V,30,2,0.6772486772486773
modality-tracks,66,0.2,T,23,0,0.6790405966607339
modality-tracks,66,0.2,TV,85,2,0.9065289198116522
modality-tracks,66,0.2,A,21,0,0.7629944426283097
modality-tracks,66,0.2,AV,93,3,0.675768722882475
modality-tracks,66,0.2,AT,77,5,0.8203739522888458
modality-tracks,66,0.2,ATV,327,18,0.8717262192177692
modality-tracks,66,0.3,V,41,0,0.7022841656987999
modality-tracks,66,0.3,T,41,2,0.951514080358195
modality-tracks,66,0.3,TV,77,3,0.8954643168049461
modality-tracks,66,0.3,A,47,1,0.6989891579033178
modality-tracks,66,0.3,AV,114,8,0.6493114506696851
modality-tracks,66,0.3,AT,100,5,0.8302976006590463
modality-tracks,66,0.3,ATV,236,11,0.8430825738425907
modality-tracks,66,0.4,V,93,3,0.7005415141789705
modality-tracks,66,0.4,T,68,3,0.7875
modality-tracks,66,0.4,TV,100,2,0.8167071588630734
modality-tracks,66,0.4,A,69,4,0.6849486971285155
modality-tracks,66,0.4,AV,90,4,0.7816666666666666
modality-tracks,66,0.4,AT,97,6,0.8202281998763112
modality-tracks,66,0.4,ATV,139,8,0.8439500685905114
modality-tracks,66,0.5,V,118,4,0.6265540727215944
modality-tracks,66,0.5,T,120,9,0.8988571428571428
modality-tracks,66,0.5,TV,89,5,0.9099524984013885
modality-tracks,66,0.5,A,99,3,0.7111060138814553
modality-tracks,66,0.5,AV,84,1,0.6016949152542372
modality-tracks,66,0.5,AT,76,4,0.7789088826936255
modality-tracks,66,0.5,ATV,70,4,0.8133084942968265
modality-tracks,66,0.6,V,155,6,0.6651028346693603
modality-tracks,66,0.6,T,136,8,0.8751026216408516
modality-tracks,66,0.6,TV,78,5,0.8455322455322456
modality-tracks,66,0.6,A,129,7,0.6137391257991248
modality-tracks,66,0.6,AV,64,2,0.5821507218008319
modality-tracks,66,0.6,AT,61,2,0.9344262295081968
modality-tracks,66,0.6,ATV,33,0,0.8794612794612795
modality-tracks,66,0.7,V,170,3,0.6889168297875381
modality-tracks,66,0.7,T,189,13,0.854209620167067
modality-tracks,66,0.7,TV,46,2,0.8233748622764641
modality-tracks,66,0.7,A,161,7,0.612315882874889
modality-tracks,66,0.7,AV,37,4,0.6256347256347257
modality-tracks,66,0.7,AT,37,1,0.9160157600055299
modality-tracks,66,0.7,ATV,16,0,0.873015873015873
modality-tracks,67,0.0,ATV,656,30,0.8656460334045767
modality-tracks,67,0.1,V,6,0,0.6666666666666666
modality-tracks,67,0.1,T,7,0,0.8571428571428571
modality-tracks,67,0.1,TV,58,1,0.8279967159277505
modality-tracks,67,0.1,A,5,0,0.7809523809523808
modality-tracks,67,0.1,AV,59,3,0.8305084745762712
modality-tracks,67,0.1,AT,55,6,0.8173264907135875
modality-tracks,67,0.1,ATV,466,20,0.8605617104415078
modality-tracks,67,0.2,V,24,0,0.6018518518518519
modality-tracks,67,0.2,T,14,2,0.8571428571428571
modality-tracks,67,0.2,TV,81,4,0.8902255639097745
modality-tracks,67,0.2,A,18,1,0.6625000000000001
modality-tracks,67,0.2,AV,92,1,0.663405235232795
modality-tracks,67,0.2,AT,75,5,0.8927977044476328
modality-tracks,67,0.2,ATV,352,17,0.8601150122030979
modality-tracks,67,0.3,V,50,3,0.5811764705882354
modality-tracks,67,0.3,T,56,2,0.8344874303778413
modality-tracks,67,0.3,TV,89,4,0.8757325188174977
modality-tracks,67,0.3,A,45,4,0.6497354497354497
modality-tracks,67,0.3,AV,99,4,0.6562143530228638
modality-tracks,67,0.3,AT,95,2,0.8930270591733571
modality-tracks,67,0.3,ATV,222,11,0.8547312577163323
modality-tracks,67,0.4,V,90,4,0.5290123456790123
modality-tracks,67,0.4,T,88,2,0.8978203083466241
modality-tracks,67,0.4,TV,81,4,0.8507220748600058
modality-tracks,67,0.4,A,75,4,0.6509758153407248
modality-tracks,67,0.4,AV,89,3,0.6396239394634258
modality-tracks,67,0.4,AT,86,7,0.8015250400270684
modality-tracks,67,0.4,ATV,147,6,0.8233437404812671
modality-tracks,67,0.5,V,119,1,0.6338770802438621
modality-tracks,67,0.5,T,105,5,0.8383604383604385
modality-tracks,67,0.5,TV,78,7,0.9230769230769231
modality-tracks,67,0.5,A,121,4,0.63767023468516
modality-tracks,67,0.5,AV,80,5,0.6272218564845293
modality-tracks,67,0.5,AT,77,4,0.8951659451659452
modality-tracks,67,0.5,ATV,76,4,0.8561077760714785
modality-tracks,67,0.6,V,147,14,0.6262313303011553
modality-tracks,67,0.6,T,149,4,0.8657234415623677
modality-tracks,67,0.6,TV,58,0,0.8604355716878402
modality-tracks,67,0.6,A,139,9,0.661097244653257
modality-tracks,67,0.6,AV,64,1,0.6871945259042034
modality-tracks,67,0.6,AT,67,1,0.9249631989863418
modality-tracks,67,0.6,ATV,32,1,0.8418466223698782
modality-tracks,67,0.7,V,177,10,0.6404787601510414
modality-tracks,67,0.7,T,163,8,0.8703234837062772
modality-tracks,67,0.7,TV,38,3,0.8159171317066054
modality-tracks,67,0.7,A,164,4,0.6650074186406804
modality-tracks,67,0.7,AV,52,3,0.6153846153846154
modality-tracks,67,0.7,AT,44,2,0.9547348484848487
modality-tracks,67,0.7,ATV,18,0,0.9442724458204333
modality-tracks,68,0.0,ATV,656,30,0.871887732321259
modality-tracks,68,0.1,V,3,0,0.3333333333333333
modality-tracks,68,0.1,T,8,0,0.7333333333333334
modality-tracks,68,0.1,TV,71,4,0.9156614327110991
modality-tracks,68,0.1,A,4,0,1.0
modality-tracks,68,0.1,AV,53,4,0.6691351906262168
modality-tracks,68,0.1,AT,47,3,0.8514750663363719
modality-tracks,68,0.1,ATV,470,19,0.8529068052477318
modality-tracks,68,0.2,V,29,0,0.7134646962233169
modality-tracks,68,0.2,T,19,0,0.8947368421052632
modality-tracks,68,0.2,TV,94,3,0.8194202023326436
modality-tracks,68,0.2,A,23,2,0.6969309462915602
modality-tracks,68,0.2,AV,86,5,0.718089024518573
modality-tracks,68,0.2,AT,79,4,0.8729626871845786
modality-tracks,68,0.2,ATV,326,16,0.8614878669035639
modality-tracks,68,0.3,V,41,0,0.6614658058345291
modality-tracks,68,0.3,T,59,4,0.8793265436506444
modality-tracks,68,0.3,TV,97,5,0.8436443281804106
modality-tracks,68,0.3,A,47,2,0.6288548331101522
modality-tracks,68,0.3,AV,92,5,0.6548089591567852
modality-tracks,68,0.3,AT,93,3,0.9240598889967755
modality-tracks,68,0.3,ATV,227,11,0.8438262882614973
modality-tracks,68,0.4,V,65,5,0.5914230019493177
modality-tracks,68,0.4,T,64,4,0.8746305418719211
modality-tracks,68,0.4,TV,104,4,0.910411119525124
modality-tracks,68,0.4,A,85,2,0.772823023290313
modality-tracks,68,0.4,AV,89,3,0.5960163432073544
modality-tracks,68,0.4,AT,92,4,0.825128037485017
modality-tracks,68,0.4,ATV,157,8,0.8655752764746084
modality-tracks,68,0.5,V,98,7,0.6196056435259093
modality-tracks,68,0.5,T,116,1,0.8702671077532035
modality-tracks,68,0.5,TV,86,4,0.8593798449612403
modality-tracks,68,0.5,A,109,7,0.6996432212028542
modality-tracks,68,0.5,AV,83,5,0.6138981011152624
modality-tracks,68,0.5,AT,88,4,0.8517522214181487
modality-tracks,68,0.5,ATV,76,2,0.8947368421052632
modality-tracks,68,0.6,V,150,2,0.629090909090909
modality-tracks,68,0.6,T,140,10,0.8786654377880184
modality-tracks,68,0.6,TV,64,3,0.8893991282689913
modality-tracks,68,0.6,A,150,4,0.7109140271493213
modality-tracks,68,0.6,AV,44,8,0.6652892561983471
modality-tracks,68,0.6,AT,70,3,0.8857142857142857
modality-tracks,68,0.6,ATV,38,0,0.9735104452253157
modality-tracks,68,0.7,V,195,8,0.6033564350764649
modality-tracks,68,0.7,T,131,6,0.8783990925534199
modality-tracks,68,0.7,TV,42,2,0.7868601986249045
modality-tracks,68,0.7,A,177,11,0.5446003151644423
modality-tracks,68,0.7,AV,45,1,0.6488062693639512
modality-tracks,68,0.7,AT,44,2,0.9098679098679099
modality-tracks,68,0.7,ATV,22,0,0.8166666666666665
modality-tracks,69,0.0,ATV,656,30,0.8823414333655316
modality-tracks,69,0.1,V,7,0,0.7142857142857143
modality-tracks,69,0.1,T,6,1,1.0
modality-tracks,69,0.1,TV,49,3,0.8782798833819243
modality-tracks,69,0.1,A,8,1,0.6454545454545454
modality-tracks,69,0.1,AV,56,2,0.6818681318681319
modality-tracks,69,0.1,AT,48,1,0.7878856624319419
modality-tracks,69,0.1,ATV,482,22,0.881552585059773
modality-tracks,69,0.2,V,24,0,0.75
modality-tracks,69,0.2,T,23,0,0.8685481820493264
modality-tracks,69,0.2,TV,77,3,0.8695114409400123
modality-tracks,69,0.2,A,29,0,0.6854669831076364
modality-tracks,69,0.2,AV,83,4,0.6385542168674698
modality-tracks,69,0.2,AT,90,6,0.8558699270259891
modality-tracks,69,0.2,ATV,330,17,0.853939604304061
modality-tracks,69,0.3,V,45,1,0.7330698287220028
modality-tracks,69,0.3,T,45,0,0.8247413405308142
modality-tracks,69,0.3,TV,96,6,0.8541666666666666
modality-tracks,69,0.3,A,49,1,0.673469387755102
modality-tracks,69,0.3,AV,91,3,0.7064742486429235
modality-tracks,69,0.3,AT,101,4,0.8629666176077067
modality-tracks,69,0.3,ATV,229,15,0.8819462987238439
modality-tracks,69,0.4,V,74,5,0.5925201517306781
modality-tracks,69,0.4,T,77,1,0.8326170312788944
modality-tracks,69,0.4,TV,92,4,0.9019445294013488
modality-tracks,69,0.4,A,89,1,0.585742205544777
modality-tracks,69,0.4,AV,96,5,0.6695804195804196
modality-tracks,69,0.4,AT,85,6,0.8942662538699692
modality-tracks,69,0.4,ATV,143,8,0.8601398601398601
modality-tracks,69,0.5,V,122,3,0.6675892413597332
modality-tracks,69,0.5,T,126,7,0.88116458704694
modality-tracks,69,0.5,TV,83,5,0.8792714718523217
modality-tracks,69,0.5,A,120,3,0.6870764774319158
modality-tracks,69,0.5,AV,74,3,0.689359496482784
modality-tracks,69,0.5,AT,63,7,0.8234531908001296
modality-tracks,69,0.5,ATV,68,2,0.8550958845076492
modality-tracks,69,0.6,V,146,5,0.6812277236226221
modality-tracks,69,0.6,T,156,10,0.8581286279936955
modality-tracks,69,0.6,TV,54,2,0.8192703982177666
modality-tracks,69,0.6,A,144,4,0.6888826761316673
modality-tracks,69,0.6,AV,46,5,0.5685300207039338
modality-tracks,69,0.6,AT,63,2,0.8560351512018609
modality-tracks,69,0.6,ATV,47,2,0.852099650146389
modality-tracks,69,0.7,V,166,7,0.7198363648563912
modality-tracks,69,0.7,T,187,7,0.8929682217714673
modality-tracks,69,0.7,TV,52,1,0.9427138079311993
