seed,rate,pattern,n,content_mean,content_mean_abs,content_median_abs,content_p90_abs,content_positive_fraction,slot_mean,slot_mean_abs,slot_median_abs,slot_p90_abs,slot_positive_fraction,interaction_mean,interaction_mean_abs,interaction_median_abs,interaction_p90_abs,interaction_positive_fraction,interaction_factor_energy_fraction,additive_margin_mae,additive_sign_disagreement_fraction
67,0.3,AV,99,0.018038282528369115,0.068403702154003,0.05233144760131836,0.1454380512237549,0.5353535353535354,0.01860369292247777,0.041844122469274686,0.04044687747955322,0.07677913904190063,0.6464646464646465,0.00414632772556459,0.013688004603891663,0.012933492660522461,0.025709259510040286,0.6464646464646465,0.007146759728979968,0.0034220011509729156,0.0
67,0.3,TV,89,0.07689358695839228,0.17767363368125444,0.1850109100341797,0.29124635457992554,0.6179775280898876,-0.007589966247088454,0.051747914633891556,0.05999314785003662,0.0986504077911377,0.43820224719101125,-0.043413561465365166,0.10396056538552381,0.12962770462036133,0.18802703619003297,0.2696629213483146,0.07842054036384317,0.025990141346380953,0.0028089887640449437
67,0.4,ALL,256,0.06788392392627429,0.15778403643344063,0.1357092261314392,0.341814786195755,0.6171875,-0.0001818321761675179,0.0496284089749679,0.049325138330459595,0.09568243473768234,0.47265625,-0.01788564292655792,0.049861045539728366,0.020699739456176758,0.16755199432373047,0.40625,0.03488298216418037,0.012465261384932091,0.0009765625
67,0.4,AT,86,0.11429582362951235,0.23492349718892297,0.2430756837129593,0.39756089448928833,0.6744186046511628,-0.0030954658638599306,0.05632806569337845,0.05757880210876465,0.10872489213943481,0.45348837209302323,-0.006020328853019449,0.022235050624193148,0.020566284656524658,0.04725217819213867,0.313953488372093,0.002477814404106742,0.005558762656048287,0.0
67,0.4,AV,89,0.017503654479645612,0.05578624252020643,0.04324924945831299,0.12165213823318484,0.5393258426966292,0.016388161882255853,0.03725411458296722,0.03216058015823364,0.07584329843521118,0.6067415730337079,0.00213588686304146,0.011619636558749702,0.01016952097415924,0.023332294821739197,0.5842696629213483,0.007058168667165507,0.0029049091396874255,0.0
67,0.4,TV,81,0.07396319067036664,0.1879545306717908,0.2092789113521576,0.3199479579925537,0.6419753086419753,-0.015294881238613599,0.056111640124409286,0.06606698036193848,0.09576092660427094,0.345679012345679,-0.05248234862530673,0.12121068704643367,0.15159428119659424,0.19166308641433716,0.30864197530864196,0.08565390513704647,0.03030267176160842,0.0030864197530864196
67,0.5,ALL,235,0.04514098162663744,0.14998069337390837,0.1246798038482666,0.31802046298980713,0.6085106382978723,0.0029936850942829823,0.048189149598808996,0.04280269145965576,0.0912069708108902,0.5106382978723404,-0.012007476436965009,0.04519155407522587,0.02192211151123047,0.14511332511901853,0.425531914893617,0.029230953878527564,0.011297888518806467,0.0010638297872340426
67,0.5,AT,77,0.044039919198333444,0.20974745127287778,0.22953295707702637,0.37382249832153325,0.5454545454545454,0.007582654523385035,0.057570793702230824,0.04280269145965576,0.11853747367858887,0.5454545454545454,0.0025204495563135518,0.025113163830397967,0.01915740966796875,0.05511724799871446,0.4025974025974026,0.004099924584595775,0.006278290957599492,0.0
67,0.5,AV,80,0.027122684614732863,0.0733889986295253,0.05999874509871006,0.14964626431465153,0.6,0.009583174693398177,0.039048754679970446,0.0370235126465559,0.08014532551169397,0.55,0.0014888238627463579,0.013684124080464244,0.01171664334833622,0.025210142135620128,0.6,0.006856040480785948,0.003421031020116061,0.0
67,0.5,TV,78,0.06470823249755761,0.16953576031403664,0.16790533065795898,0.31302621960639954,0.6794871794871795,-0.008294902264307707,0.04830254700321417,0.056506454944610596,0.08271157741546631,0.4358974358974359,-0.04019150625054653,0.09732784187564483,0.10777449607849121,0.16679397821426392,0.2692307692307692,0.07097566069735448,0.024331960468911208,0.003205128205128205
67,0.6,ALL,189,0.05612835008158255,0.1417772702123753,0.11449146270751953,0.2954457104206085,0.6296296296296297,-0.0004451650160330313,0.04370104732415663,0.0358891487121582,0.08046584129333503,0.4973544973544973,-0.0173460086265569,0.04580479138900363,0.0214235782623291,0.1538579821586609,0.35978835978835977,0.03517502957946473,0.011451197847250908,0.0026455026455026454
67,0.6,AT,67,0.08407993636914153,0.19005642275312054,0.19967710971832275,0.34212915897369384,0.6716417910447762,0.0037811087138617215,0.04591700167798284,0.03116130828857422,0.11646726131439208,0.5671641791044776,-0.004293866622359005,0.026530393524401223,0.02253401279449463,0.05324546098709106,0.26865671641791045,0.005483328888785801,0.006632598381100306,0.0
67,0.6,AV,64,0.0026878680801019073,0.059050563955679536,0.038726381957530975,0.14158406257629397,0.5,0.011028061038814485,0.035984450893010944,0.029772192239761353,0.07300326228141785,0.578125,0.0024583644117228687,0.012757553544361144,0.01065564900636673,0.026256375014781952,0.578125,0.007597786476128581,0.003189388386090286,0.00390625
67,0.6,TV,58,0.08280825640620856,0.17729116642269596,0.17901062965393066,0.28486100733280184,0.7241379310344828,-0.017987351350743194,0.04965610301186298,0.05921769142150879,0.0811127066612244,0.3275862068965517,-0.05427658429433559,0.10453596171633951,0.13026875257492065,0.18005385398864746,0.22413793103448276,0.08020308888197657,0.026133990429084878,0.004310344827586207
67,0.7,ALL,134,0.045158354204092456,0.13894487283567883,0.11801537871360779,0.30782331228256227,0.5597014925373134,0.006575912237167358,0.04541730669452183,0.043224453926086426,0.0839293897151947,0.5671641791044776,-0.005526909604668617,0.03783565022940956,0.01886831969022751,0.12129529714584351,0.48507462686567165,0.026095039454697325,0.00945891255735239,0.0
67,0.7,AT,44,0.0987331128933213,0.230379773134535,0.23428714275360107,0.3942210674285889,0.6818181818181818,0.008379828523505817,0.05800039185719057,0.059607863426208496,0.10698071718215943,0.6136363636363636,-0.0008370456370440396,0.022470261562954296,0.01921778917312622,0.04308302402496339,0.3409090909090909,0.0028270824734104305,0.005617565390738574,0.0
67,0.7,AV,52,0.006142654384558017,0.06252094071645004,0.040336497128009796,0.1452330648899078,0.4423076923076923,0.015456162393093109,0.03840764296742586,0.036988694220781326,0.07062759399414062,0.6538461538461539,0.005398505224058261,0.013008357598804511,0.011338666081428528,0.030190247297286983,0.7115384615384616,0.007465986178332878,0.0032520893997011278,0.0
67,0.7,TV,38,0.036514328106453546,0.13765300065279007,0.14016151428222656,0.2560582578182222,0.5789473684210527,-0.007664754202491359,0.04043959002745779,0.047360002994537354,0.07830157577991488,0.39473684210526316,-0.025907846069649645,0.08960134281139624,0.08919746056199074,0.17502045035362246,0.34210526315789475,0.09507954782859453,0.02240033570284906,0.0
68,0.0,ALL,0,,,,,,,,,,,,,,,,,,
68,0.0,AT,0,,,,,,,,,,,,,,,,,,
68,0.0,AV,0,,,,,,,,,,,,,,,,,,
68,0.0,TV,0,,,,,,,,,,,,,,,,,,
68,0.1,ALL,171,0.012638185020775823,0.07978826647962046,0.06107330322265625,0.16998204588890076,0.5906432748538012,0.004435481340215917,0.048474659653086415,0.032604217529296875,0.1183004379272461,0.5087719298245614,-0.015754328485120806,0.050432960366645053,0.04301092028617859,0.10013830661773682,0.3742690058479532,0.05844562728148493,0.012608240091661263,0.0043859649122807015
68,0.1,AT,47,0.015178818651970396,0.03537683474256637,0.026984333992004395,0.07124601602554322,0.723404255319149,0.00908378226325867,0.10614078872381373,0.09776556491851807,0.22011108398437498,0.5319148936170213,-0.0419551210200533,0.07430071716612958,0.07928788661956787,0.14089250564575195,0.2765957446808511,0.1007762511241391,0.018575179291532396,0.0
68,0.1,AV,53,0.013432591450664232,0.10284023563254555,0.07997468113899231,0.2371825158596039,0.5094339622641509,0.011979783691887586,0.025149736553430557,0.022870667278766632,0.05122785270214081,0.6226415094339622,0.003619659902914515,0.030228392976634908,0.02886676788330078,0.05498782396316529,0.4528301886792453,0.017172252987137572,0.007557098244158727,0.009433962264150943
68,0.1,TV,71,0.010363349507392292,0.09197957530407838,0.09169793128967285,0.16526854038238525,0.5633802816901409,-0.004273225251637714,0.02771286892009453,0.028901979327201843,0.05348318815231323,0.4084507042253521,-0.012872414899543978,0.04971546039614879,0.05545499920845032,0.08859920501708984,0.38028169014084506,0.059112700432880985,0.012428865099037198,0.0035211267605633804
68,0.2,ALL,259,0.026793926105651157,0.08706209876189822,0.06177201867103577,0.2021586060523988,0.6293436293436293,-0.00028099553681133337,0.050699408072618676,0.03336602449417114,0.13679505586624147,0.4749034749034749,-0.01674276071827154,0.047040153560893874,0.036709874868392944,0.10307040214538582,0.40540540540540543,0.04847608370114988,0.011760038390223469,0.0009652509652509653
68,0.2,AT,79,0.015244302540263044,0.03600757338012321,0.03115791082382202,0.080686953663826,0.6708860759493671,-0.002009863434713098,0.10288364421340483,0.09889602661132812,0.20745520591735844,0.4050632911392405,-0.034799149896525126,0.06786292451846448,0.05863308906555176,0.14101927280426027,0.3037974683544304,0.09437063501658374,0.01696573112961612,0.0
68,0.2,AV,86,0.03401034819178803,0.12254495840779571,0.12560558319091797,0.24358577281236649,0.6046511627906976,0.011048685423596653,0.02894903033928469,0.029945045709609985,0.049471206963062286,0.627906976744186,0.004365647428257521,0.026094710324392763,0.02406969666481018,0.05022331327199936,0.5348837209302325,0.010466358295040841,0.006523677581098191,0.0029069767441860465
68,0.2,TV,94,0.02989826612967126,0.09750658360884544,0.09600561857223511,0.18769921064376832,0.6170212765957447,-0.009193463607671414,0.026741725412455012,0.027640581130981445,0.04614900350570679,0.39361702127659576,-0.02087965811741479,0.048703017525691936,0.04808364808559418,0.08674003928899766,0.3723404255319149,0.051612461695393325,0.012175754381422984,0.0
68,0.3,ALL,282,0.03356559857633625,0.08305647451073882,0.06058812141418457,0.1879576712846756,0.624113475177305,0.005774795583033181,0.050689882522858415,0.03319190442562103,0.126276034116745,0.5070921985815603,-0.020338249789114964,0.055248234361568664,0.0507221519947052,0.10916260480880738,0.39361702127659576,0.06241348750948174,0.013812058590392166,0.0026595744680851063
