method,mode,seed,rate,weighted_f1
U2,Soft,69,0.3,75.95760495327374
U2,Soft,69,0.4,70.81703438570051
U2,Soft,69,0.5,67.25711899216431
U2,Soft,69,0.6,64.84299197721833
U2,Soft,69,0.7,67.52251986439268
U2,Soft,70,0.0,87.466490502451
U2,Soft,70,0.1,83.67677105723553
U2,Soft,70,0.2,77.97682652151197
U2,Soft,70,0.3,74.15165059697281
U2,Soft,70,0.4,74.57565822160984
U2,Soft,70,0.5,70.71719595914495
U2,Soft,70,0.6,70.60004648550176
U2,Soft,70,0.7,65.09372995755169
U3,Soft,66,0.0,86.72044163908976
U3,Soft,66,0.1,84.60735980043582
U3,Soft,66,0.2,78.88333993080639
U3,Soft,66,0.3,76.4092458841163
U3,Soft,66,0.4,74.33374836497234
U3,Soft,66,0.5,71.29632213597496
U3,Soft,66,0.6,68.67531667523893
U3,Soft,66,0.7,65.57828658348006
U3,Soft,67,0.0,87.38661660891802
U3,Soft,67,0.1,81.33504513356284
U3,Soft,67,0.2,79.50621356862918
U3,Soft,67,0.3,75.87775971735385
U3,Soft,67,0.4,71.8137780507009
U3,Soft,67,0.5,66.7011834674997
U3,Soft,67,0.6,64.68893982340109
U3,Soft,67,0.7,64.53279499011207
U3,Soft,68,0.0,87.74958571752225
U3,Soft,68,0.1,82.5110897579815
U3,Soft,68,0.2,79.34382521272764
U3,Soft,68,0.3,78.0025934709753
U3,Soft,68,0.4,74.83564680933102
U3,Soft,68,0.5,70.81456334132017
U3,Soft,68,0.6,69.53995783013843
U3,Soft,68,0.7,62.98883345976317
U3,Soft,69,0.0,87.20121463804566
U3,Soft,69,0.1,83.59881658662148
U3,Soft,69,0.2,76.6343024033531
U3,Soft,69,0.3,75.95760495327374
U3,Soft,69,0.4,71.55048375089441
U3,Soft,69,0.5,67.68079444317905
U3,Soft,69,0.6,64.84552708431443
U3,Soft,69,0.7,67.52251986439268
U3,Soft,70,0.0,87.466490502451
U3,Soft,70,0.1,83.52842272701903
U3,Soft,70,0.2,78.60132524808702
U3,Soft,70,0.3,74.0043248706696
U3,Soft,70,0.4,74.59624809535723
U3,Soft,70,0.5,70.2953837547816
U3,Soft,70,0.6,70.62570616538353
U3,Soft,70,0.7,65.24102615641513
U1,Top1,66,0.0,86.72044163908976
U1,Top1,66,0.1,84.91919482935064
U1,Top1,66,0.2,78.73477050306319
U1,Top1,66,0.3,76.38863836918536
U1,Top1,66,0.4,74.64486662417211
U1,Top1,66,0.5,71.28741904260724
U1,Top1,66,0.6,68.63799444272627
U1,Top1,66,0.7,65.57828658348006
U1,Top1,67,0.0,87.38661660891802
U1,Top1,67,0.1,81.33504513356284
U1,Top1,67,0.2,79.6652576040521
U1,Top1,67,0.3,75.73367160737692
U1,Top1,67,0.4,71.79039324357566
U1,Top1,67,0.5,66.802135793943
U1,Top1,67,0.6,64.97901915878154
U1,Top1,67,0.7,65.14289977246021
U1,Top1,68,0.0,87.74958571752225
U1,Top1,68,0.1,82.6598485079742
U1,Top1,68,0.2,79.34382521272764
U1,Top1,68,0.3,78.02657262077274
U1,Top1,68,0.4,75.68364534296329
U1,Top1,68,0.5,71.35533612589686
U1,Top1,68,0.6,69.56718391933282
U1,Top1,68,0.7,63.152835207342505
U1,Top1,69,0.0,87.20121463804566
U1,Top1,69,0.1,83.59881658662148
U1,Top1,69,0.2,77.09875569396195
U1,Top1,69,0.3,75.81030436573374
U1,Top1,69,0.4,71.20937194694214
U1,Top1,69,0.5,67.57317144428893
U1,Top1,69,0.6,65.15209326847146
U1,Top1,69,0.7,67.6829268292683
U1,Top1,70,0.0,87.466490502451
U1,Top1,70,0.1,83.67677105723553
U1,Top1,70,0.2,77.97682652151197
U1,Top1,70,0.3,74.15165059697281
U1,Top1,70,0.4,74.49168137321448
U1,Top1,70,0.5,70.33339214665459
U1,Top1,70,0.6,69.83143450396476
U1,Top1,70,0.7,65.56870555417538
U2,Top1,66,0.0,86.72044163908976
U2,Top1,66,0.1,84.76335075957819
U2,Top1,66,0.2,78.88333993080639
U2,Top1,66,0.3,75.95760495327374
U2,Top1,66,0.4,74.33374836497234
U2,Top1,66,0.5,71.60006475887471
U2,Top1,66,0.6,68.53148788208968
U2,Top1,66,0.7,65.57828658348006
U2,Top1,67,0.0,87.38661660891802
U2,Top1,67,0.1,81.0359746205612
U2,Top1,67,0.2,79.5184113088833
U2,Top1,67,0.3,75.88292591680126
U2,Top1,67,0.4,71.93925342520902
U2,Top1,67,0.5,67.42265662022444
U2,Top1,67,0.6,65.1418326907183
U2,Top1,67,0.7,64.99302149679139
U2,Top1,68,0.0,87.74958571752225
U2,Top1,68,0.1,82.66640098855824
U2,Top1,68,0.2,79.34382521272764
U2,Top1,68,0.3,78.57539866417662
U2,Top1,68,0.4,75.2506861865655
U2,Top1,68,0.5,71.26463676171689
U2,Top1,68,0.6,69.2582213195291
U2,Top1,68,0.7,63.861277866690656
U2,Top1,69,0.0,87.20121463804566
U2,Top1,69,0.1,83.59881658662148
U2,Top1,69,0.2,76.78051533047393
U2,Top1,69,0.3,75.81030436573374
U2,Top1,69,0.4,70.36614745468688
U2,Top1,69,0.5,67.56456388425667
U2,Top1,69,0.6,65.14858288531174
U2,Top1,69,0.7,67.3780487804878
U2,Top1,70,0.0,87.466490502451
U2,Top1,70,0.1,83.82511595695769
U2,Top1,70,0.2,77.81711802046493
U2,Top1,70,0.3,73.87414661804907
U2,Top1,70,0.4,74.53283038450618
U2,Top1,70,0.5,70.14978888130629
U2,Top1,70,0.6,69.99072102406141
U2,Top1,70,0.7,64.95448109879712
U3,Top1,66,0.0,86.72044163908976
U3,Top1,66,0.1,84.60735980043582
U3,Top1,66,0.2,78.88333993080639
U3,Top1,66,0.3,76.24166870144786
U3,Top1,66,0.4,74.64486662417211
U3,Top1,66,0.5,71.45241400149193
U3,Top1,66,0.6,68.63799444272627
U3,Top1,66,0.7,65.55674622964153
U3,Top1,67,0.0,87.38661660891802
U3,Top1,67,0.1,81.18096745537568
U3,Top1,67,0.2,79.50621356862918
U3,Top1,67,0.3,76.3301920611066
U3,Top1,67,0.4,71.81121459859826
U3,Top1,67,0.5,66.73559000972922
U3,Top1,67,0.6,64.99203905238478
U3,Top1,67,0.7,64.98533231722342
U3,Top1,68,0.0,87.74958571752225
U3,Top1,68,0.1,82.5110897579815
U3,Top1,68,0.2,79.34382521272764
U3,Top1,68,0.3,78.73503037823879
U3,Top1,68,0.4,74.98018234973036
U3,Top1,68,0.5,71.08576073012325
U3,Top1,68,0.6,69.02852910632473
U3,Top1,68,0.7,63.38997504860614
U3,Top1,69,0.0,87.20121463804566
U3,Top1,69,0.1,83.59881658662148
U3,Top1,69,0.2,76.65930814726202
U3,Top1,69,0.3,75.95760495327374
U3,Top1,69,0.4,70.84501855471517
U3,Top1,69,0.5,67.14003116603091
U3,Top1,69,0.6,64.84861523080629
U3,Top1,69,0.7,67.55341917829989
U3,Top1,70,0.0,87.466490502451
U3,Top1,70,0.1,83.82511595695769
U3,Top1,70,0.2,78.77234009193518
U3,Top1,70,0.3,74.16091586233901
U3,Top1,70,0.4,74.47233110548387
U3,Top1,70,0.5,70.62570616538353
U3,Top1,70,0.6,70.07207170049537
U3,Top1,70,0.7,65.56132991093916
U1,Top2,66,0.0,86.72044163908976
U1,Top2,66,0.1,84.91919482935064
U1,Top2,66,0.2,78.73477050306319
U1,Top2,66,0.3,76.38863836918536
U1,Top2,66,0.4,74.64486662417211
U1,Top2,66,0.5,71.43470157215404
U1,Top2,66,0.6,68.63799444272627
U1,Top2,66,0.7,65.57828658348006
