method,seed,rate,candidate_count_mean,bank_nonempty_coverage,ndcg@1,ndcg@3,top1_utility,top1_oracle_hit,candidate0_prob_mean,candidate0_select_rate
U2,67,0.7,5.621951219512195,0.9146341463414634,0.06661780053114201,0.2667472794944108,0.00044468327541835606,0.32439024390243903,0.30605852603912354,0.724390243902439
U2,68,0.1,10.34375,0.9375,0.20012514939474751,0.3120441698425641,0.016969256103038788,0.1875,0.20154014229774475,0.0625
U2,68,0.2,10.606896551724137,0.9448275862068966,0.4029115502226521,0.49140242667761613,0.021958474069833755,0.1793103448275862,0.18688958883285522,0.06206896551724138
U2,68,0.3,10.775401069518717,0.9518716577540107,0.6542093560879334,0.7036943747128543,0.0719008669257164,0.32085561497326204,0.18642358481884003,0.10695187165775401
U2,68,0.4,8.072289156626505,0.927710843373494,0.3285777670758952,0.3958915252624656,0.025296203792095184,0.22088353413654618,0.2352016568183899,0.12449799196787148
U2,68,0.5,7.919093851132686,0.9158576051779935,0.3908718699818379,0.4535252703649225,0.09652086347341537,0.37540453074433655,0.24164193868637085,0.2783171521035599
U2,68,0.6,6.430167597765363,0.8938547486033519,0.06576218084176712,0.15820789570778465,0.00462404964491725,0.2849162011173184,0.30937206745147705,0.4273743016759777
U2,68,0.7,5.556064073226545,0.8878718535469108,0.2501036310645976,0.3606585736124096,0.03233225643634796,0.36613272311212813,0.3108445107936859,0.2700228832951945
U2,69,0.1,11.337837837837839,0.9324324324324325,0.0010058229187626798,0.04288428277548784,0.00016901703202165663,0.36486486486486486,0.17473456263542175,0.08108108108108109
U2,69,0.2,10.82857142857143,0.95,0.24388469272890245,0.3204339574077241,0.001339590991847217,0.16428571428571428,0.15573935210704803,0.05
U2,69,0.3,8.278947368421052,0.9631578947368421,0.15664659063762193,0.24166864785589515,0.005171964876353741,0.32105263157894737,0.2077288031578064,0.03684210526315789
U2,69,0.4,8.125925925925927,0.9481481481481482,0.08578343186048132,0.16010063714396044,0.0008288714452646673,0.3,0.20702321827411652,0.1925925925925926
U2,69,0.5,7.326153846153846,0.9230769230769231,0.2683223914725919,0.37898466521582214,0.017116738483309746,0.27076923076923076,0.24620187282562256,0.2676923076923077
U2,69,0.6,7.46,0.9285714285714286,0.14934635161816742,0.30361541232570316,0.002961426740512252,0.2542857142857143,0.25599411129951477,0.48
U2,69,0.7,6.440318302387268,0.9257294429708223,0.314731254110982,0.42242364350956274,0.020739225670695305,0.27320954907161804,0.274188369512558,0.1830238726790451
U2,70,0.1,12.685714285714285,0.9571428571428572,0.29296346592226963,0.4238950746169487,0.013260471634566784,0.15714285714285714,0.17833636701107025,0.24285714285714285
U2,70,0.2,10.41891891891892,0.9594594594594594,0.16208593959594794,0.25258863323474773,0.013808398507535458,0.24324324324324326,0.19090531766414642,0.18243243243243243
U2,70,0.3,9.93170731707317,0.9414634146341463,0.17376884273521898,0.24226206127908234,0.004330294672399759,0.2926829268292683,0.20260344445705414,0.17073170731707318
U2,70,0.4,8.3,0.9346153846153846,0.019391438148021543,0.16589340843363462,0.0012169958790764213,0.18461538461538463,0.2327582985162735,0.8423076923076923
U2,70,0.5,7.796923076923077,0.9569230769230769,0.09456023247135277,0.1451468129474258,0.002598345512524247,0.31076923076923074,0.20818790793418884,0.16615384615384615
U2,70,0.6,6.912023460410557,0.8973607038123167,0.3102910742971003,0.37604561417540183,0.020657505840063095,0.3460410557184751,0.2691471576690674,0.2287390029325513
U2,70,0.7,6.385185185185185,0.9407407407407408,0.0490129653896584,0.21998125442292227,0.0028801981825381517,0.29876543209876544,0.26127177476882935,0.6641975308641975
U3,66,0.1,11.520547945205479,0.9726027397260274,0.37447644129467106,0.40023405831015,0.007863108068704605,0.1917808219178082,0.16275769472122192,0.1780821917808219
U3,66,0.2,10.080536912751677,0.9530201342281879,0.2660876193429448,0.3464752280822181,0.005578073672950268,0.2348993288590604,0.19726140797138214,0.1610738255033557
U3,66,0.3,9.914691943127963,0.9241706161137441,0.5692031302216339,0.6245689218849166,0.06621991097927094,0.36018957345971564,0.21952904760837555,0.14691943127962084
U3,66,0.4,8.47148288973384,0.9163498098859315,0.2481086484050714,0.33247160827331457,0.006374949123710394,0.2737642585551331,0.22306883335113525,0.12927756653992395
U3,66,0.5,7.611650485436893,0.9514563106796117,0.11168177468869825,0.2235733765908531,0.0023703952319920063,0.2588996763754045,0.2306670844554901,0.23948220064724918
U3,66,0.6,6.429752066115703,0.9173553719008265,0.5140803464317619,0.5992384903911695,0.009549839422106743,0.32231404958677684,0.27441146969795227,0.13774104683195593
U3,66,0.7,6.361256544502618,0.8664921465968587,0.4241596543236897,0.5033808501476147,0.007420375011861324,0.3612565445026178,0.30984729528427124,0.23036649214659685
U3,67,0.1,13.438356164383562,0.9452054794520548,0.6280944106319357,0.6413482105684959,0.038050081580877304,0.1917808219178082,0.16424135863780975,0.0547945205479452
U3,67,0.2,10.382352941176471,0.9411764705882353,0.20677482762322524,0.2711583780805115,0.017633508890867233,0.3161764705882353,0.20451782643795013,0.16176470588235295
U3,67,0.3,9.351219512195122,0.9512195121951219,0.3673922618052961,0.47692968509120875,0.02640010602772236,0.2926829268292683,0.21335546672344208,0.23902439024390243
U3,67,0.4,8.026415094339622,0.9509433962264151,0.45692852506213794,0.5368384571418472,0.04614192619919777,0.29056603773584905,0.2113548070192337,0.1660377358490566
U3,67,0.5,7.306060606060606,0.8909090909090909,0.24352504497957622,0.3254253402488227,0.030096251517534256,0.40606060606060607,0.26681944727897644,0.24545454545454545
U3,67,0.6,6.005347593582887,0.9224598930481284,0.16569726425310433,0.2777743846298844,0.0026665048208087683,0.3155080213903743,0.2910005450248718,0.2914438502673797
U3,67,0.7,5.621951219512195,0.9146341463414634,0.3040475999343318,0.46387986876652015,0.022957775741815567,0.3170731707317073,0.2993530035018921,0.3975609756097561
U3,68,0.1,10.34375,0.9375,0.0300119733196686,0.23823215258458005,0.00319448160007596,0.28125,0.22534020245075226,0.8125
U3,68,0.2,10.606896551724137,0.9448275862068966,0.47165897045447613,0.5413292176140124,0.03115948662161827,0.27586206896551724,0.19390590488910675,0.1103448275862069
U3,68,0.3,10.775401069518717,0.9518716577540107,0.417683580014061,0.5426351271846759,0.0549440011382103,0.24598930481283424,0.1902123987674713,0.28342245989304815
U3,68,0.4,8.072289156626505,0.927710843373494,0.42711780352293494,0.515862353036963,0.039068810641765594,0.30120481927710846,0.237188458442688,0.17670682730923695
U3,68,0.5,7.919093851132686,0.9158576051779935,0.5619575588027215,0.5757425893087774,0.13757486641407013,0.45307443365695793,0.24294668436050415,0.1941747572815534
U3,68,0.6,6.430167597765363,0.8938547486033519,0.06730551465474385,0.19267220420448708,0.007006387691944838,0.30726256983240224,0.30006346106529236,0.24860335195530725
U3,68,0.7,5.556064073226545,0.8878718535469108,0.4855452572773845,0.48883488752615206,0.05928220972418785,0.494279176201373,0.31243038177490234,0.1853546910755149
U3,69,0.1,11.337837837837839,0.9324324324324325,0.07788438168464855,0.15560067834861815,0.006770169362425804,0.2702702702702703,0.19129648804664612,0.08108108108108109
U3,69,0.2,10.82857142857143,0.95,0.0733493195146306,0.10385787751710311,0.0004701126890722662,0.3142857142857143,0.17723843455314636,0.06428571428571428
U3,69,0.3,8.278947368421052,0.9631578947368421,0.06947117268534021,0.22105660999929508,0.00411523412913084,0.2736842105263158,0.21805420517921448,0.5947368421052631
U3,69,0.4,8.125925925925927,0.9481481481481482,0.048520990808947,0.14091733796267902,0.0006346609443426132,0.34444444444444444,0.21156512200832367,0.11481481481481481
U3,69,0.5,7.326153846153846,0.9230769230769231,0.2776876619237243,0.4118242251727597,0.016654452309012413,0.23384615384615384,0.2500101923942566,0.15076923076923077
U3,69,0.6,7.46,0.9285714285714286,0.12235762415924545,0.22946999034781848,0.0010784517508000135,0.33714285714285713,0.2526969611644745,0.2714285714285714
U3,69,0.7,6.440318302387268,0.9257294429708223,0.1049418567410321,0.318838590335563,0.013920092955231667,0.3660477453580902,0.2753358781337738,0.30238726790450926
U3,70,0.1,12.685714285714285,0.9571428571428572,0.19453672291595214,0.2836739285951716,0.018590813502669334,0.2571428571428571,0.1719750612974167,0.15714285714285714
