variant,seed,rate,epoch,weighted_f1,mask_sha256
full,69,0.7,56,0.764749957953486,f43ecf9a5a2cc4e17b3a820830d002dcf67a1734de875afdffabae8a7e5b9d0b
local-only,69,0.0,42,0.8704579785185191,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-only,69,0.1,41,0.834724503980791,28cece4ea0be0867695e89603fcbea08a094799411c6104e45b88b3534830426
local-only,69,0.2,41,0.7947191782508679,062dca8a99c7c2648dd293bba5e17b9529a933adb81b864eda13beaf7750beff
local-only,69,0.3,41,0.7994637224925797,535634836d79923d29eaee712d800cade0a657585a3afaee1bc278560a6540ac
local-only,69,0.4,41,0.753380166645422,1ae1944a68e2a0b8bbfd8e8acdcf4b76a7f18e028b10b4d31075abdc6025a949
local-only,69,0.5,77,0.7199002185075518,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
local-only,69,0.6,68,0.7221563228876345,c6bdc8d6f5ea9809281252f88a49e37f545a0b3d62ab8eb8f0fdd4e10b151ee2
local-only,69,0.7,34,0.7195121951219512,f43ecf9a5a2cc4e17b3a820830d002dcf67a1734de875afdffabae8a7e5b9d0b
local-base,69,0.0,45,0.8675392634546161,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-base,69,0.1,43,0.8343989373431183,28cece4ea0be0867695e89603fcbea08a094799411c6104e45b88b3534830426
local-base,69,0.2,40,0.8107760029043383,062dca8a99c7c2648dd293bba5e17b9529a933adb81b864eda13beaf7750beff
local-base,69,0.3,35,0.80678670782693,535634836d79923d29eaee712d800cade0a657585a3afaee1bc278560a6540ac
local-base,69,0.4,38,0.7740280043121199,1ae1944a68e2a0b8bbfd8e8acdcf4b76a7f18e028b10b4d31075abdc6025a949
local-base,69,0.5,40,0.7688474969189276,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
local-base,69,0.6,71,0.761238355826356,c6bdc8d6f5ea9809281252f88a49e37f545a0b3d62ab8eb8f0fdd4e10b151ee2
local-base,69,0.7,38,0.7502329273741954,f43ecf9a5a2cc4e17b3a820830d002dcf67a1734de875afdffabae8a7e5b9d0b
local-gap,69,0.0,50,0.8764316313678575,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-gap,69,0.1,54,0.840052066371901,28cece4ea0be0867695e89603fcbea08a094799411c6104e45b88b3534830426
local-gap,69,0.2,33,0.8164841148170938,062dca8a99c7c2648dd293bba5e17b9529a933adb81b864eda13beaf7750beff
local-gap,69,0.3,33,0.8223689929040726,535634836d79923d29eaee712d800cade0a657585a3afaee1bc278560a6540ac
local-gap,69,0.4,47,0.7782340352462304,1ae1944a68e2a0b8bbfd8e8acdcf4b76a7f18e028b10b4d31075abdc6025a949
local-gap,69,0.5,32,0.7706743197106994,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
local-gap,69,0.6,26,0.7473534568022476,c6bdc8d6f5ea9809281252f88a49e37f545a0b3d62ab8eb8f0fdd4e10b151ee2
local-gap,69,0.7,57,0.7529174667310529,f43ecf9a5a2cc4e17b3a820830d002dcf67a1734de875afdffabae8a7e5b9d0b
full,70,0.0,46,0.8712862485410514,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
full,70,0.1,53,0.8514153799043848,dac58c9ff3ce1a5622ef4c7fe21a2b27c3ed4a1b64561d2f6bcdd13025b6dfe0
full,70,0.2,51,0.8076295478292804,1340598620214f07752f8fcad3f9b1e30655f98aeb6f237ded9ff5aaf0a14e7e
full,70,0.3,56,0.7994355621298547,83035a1a160717009588ab381b931f3cf34e9dcb3d483de92c9ba8086cbd8f7f
full,70,0.4,78,0.7765739661899046,9028025d2113933269ce7a03c26fcd0e982266489fe63f06d29371fc52c972b1
full,70,0.5,46,0.7502329273741954,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
full,70,0.6,65,0.7409143725585736,1e59cf2470faf2a77b9ef7ef119656e1073ac1f16c40a798dd07dac641e6aedc
full,70,0.7,53,0.7392653003197722,5312f65267a8b650e0e98b48c048e0442d1ef9ff0096db19cd8d63ee964e2489
local-only,70,0.0,38,0.8735060260827893,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-only,70,0.1,48,0.8436999714436562,dac58c9ff3ce1a5622ef4c7fe21a2b27c3ed4a1b64561d2f6bcdd13025b6dfe0
local-only,70,0.2,66,0.7965294273601267,1340598620214f07752f8fcad3f9b1e30655f98aeb6f237ded9ff5aaf0a14e7e
local-only,70,0.3,62,0.7835709025344774,83035a1a160717009588ab381b931f3cf34e9dcb3d483de92c9ba8086cbd8f7f
local-only,70,0.4,55,0.7650840349426284,9028025d2113933269ce7a03c26fcd0e982266489fe63f06d29371fc52c972b1
local-only,70,0.5,43,0.7268067259428844,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
local-only,70,0.6,49,0.7275535756359567,1e59cf2470faf2a77b9ef7ef119656e1073ac1f16c40a798dd07dac641e6aedc
local-only,70,0.7,43,0.7147248773554248,5312f65267a8b650e0e98b48c048e0442d1ef9ff0096db19cd8d63ee964e2489
local-base,70,0.0,46,0.87078173181327,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-base,70,0.1,42,0.8466656827251094,dac58c9ff3ce1a5622ef4c7fe21a2b27c3ed4a1b64561d2f6bcdd13025b6dfe0
local-base,70,0.2,44,0.806929372811577,1340598620214f07752f8fcad3f9b1e30655f98aeb6f237ded9ff5aaf0a14e7e
local-base,70,0.3,46,0.8071785879775897,83035a1a160717009588ab381b931f3cf34e9dcb3d483de92c9ba8086cbd8f7f
local-base,70,0.4,42,0.7787973647943134,9028025d2113933269ce7a03c26fcd0e982266489fe63f06d29371fc52c972b1
local-base,70,0.5,29,0.7543899482714526,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
local-base,70,0.6,33,0.7503165662310796,1e59cf2470faf2a77b9ef7ef119656e1073ac1f16c40a798dd07dac641e6aedc
local-base,70,0.7,65,0.7362157716685416,5312f65267a8b650e0e98b48c048e0442d1ef9ff0096db19cd8d63ee964e2489
local-gap,70,0.0,58,0.8732449084626344,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-gap,70,0.1,52,0.8478329427422389,dac58c9ff3ce1a5622ef4c7fe21a2b27c3ed4a1b64561d2f6bcdd13025b6dfe0
local-gap,70,0.2,58,0.8098654465791358,1340598620214f07752f8fcad3f9b1e30655f98aeb6f237ded9ff5aaf0a14e7e
local-gap,70,0.3,52,0.8171602091149379,83035a1a160717009588ab381b931f3cf34e9dcb3d483de92c9ba8086cbd8f7f
local-gap,70,0.4,77,0.7831403324349612,9028025d2113933269ce7a03c26fcd0e982266489fe63f06d29371fc52c972b1
local-gap,70,0.5,51,0.746538037701257,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
local-gap,70,0.6,51,0.7529384490993444,1e59cf2470faf2a77b9ef7ef119656e1073ac1f16c40a798dd07dac641e6aedc
local-gap,70,0.7,51,0.7419083075925931,5312f65267a8b650e0e98b48c048e0442d1ef9ff0096db19cd8d63ee964e2489
