group,seed,rate,pattern,count,weighted_f1
PAM-E,69,0.6,T,166,83.13253012048193
PAM-E,69,0.6,TV,56,82.73809523809524
PAM-E,69,0.6,A,148,61.57213900747197
PAM-E,69,0.6,AV,51,55.442920870867326
PAM-E,69,0.6,AT,65,83.10945963433348
PAM-E,69,0.6,ATV,49,91.68467386954782
PAM-E,69,0.7,V,173,68.40329557092562
PAM-E,69,0.7,T,194,87.12890276772337
PAM-E,69,0.7,TV,53,92.55465708295895
PAM-E,69,0.7,A,156,61.015907508955394
PAM-E,69,0.7,AV,48,59.21155347384857
PAM-E,69,0.7,AT,47,89.10023858548224
PAM-E,69,0.7,ATV,15,93.39366515837104
PAM-E,70,0.0,V,0,None
PAM-E,70,0.0,T,0,None
PAM-E,70,0.0,TV,0,None
PAM-E,70,0.0,A,0,None
PAM-E,70,0.0,AV,0,None
PAM-E,70,0.0,AT,0,None
PAM-E,70,0.0,ATV,686,86.73079840736777
PAM-E,70,0.1,V,6,53.333333333333336
PAM-E,70,0.1,T,5,100.0
PAM-E,70,0.1,TV,64,87.5
PAM-E,70,0.1,A,8,64.28571428571429
PAM-E,70,0.1,AV,56,67.24489795918367
PAM-E,70,0.1,AT,55,83.5553841704425
PAM-E,70,0.1,ATV,492,86.40861762257536
PAM-E,70,0.2,V,30,53.95833333333333
PAM-E,70,0.2,T,26,88.6360698125404
PAM-E,70,0.2,TV,74,88.90568890568889
PAM-E,70,0.2,A,25,71.08045977011494
PAM-E,70,0.2,AV,93,65.2237845786233
PAM-E,70,0.2,AT,85,81.13974686864711
PAM-E,70,0.2,ATV,353,84.20676584982533
PAM-E,70,0.3,V,63,67.68707482993199
PAM-E,70,0.3,T,45,88.92240656946541
PAM-E,70,0.3,TV,115,80.07619047619049
PAM-E,70,0.3,A,44,72.26107226107224
PAM-E,70,0.3,AV,98,66.50191326530613
PAM-E,70,0.3,AT,86,85.86886304909561
PAM-E,70,0.3,ATV,235,86.35883506865852
PAM-E,70,0.4,V,70,65.47803617571059
PAM-E,70,0.4,T,82,82.78003613369465
PAM-E,70,0.4,TV,95,88.16864295125164
PAM-E,70,0.4,A,83,63.16262766221015
PAM-E,70,0.4,AV,107,55.25589675122385
PAM-E,70,0.4,AT,109,83.43780272380194
PAM-E,70,0.4,ATV,140,90.74481966699723
PAM-E,70,0.5,V,113,64.52968704948212
PAM-E,70,0.5,T,118,83.8153624233682
PAM-E,70,0.5,TV,84,88.34988540870894
PAM-E,70,0.5,A,128,54.79166666666667
PAM-E,70,0.5,AV,84,65.41102283805928
