dataset,seed,rate,sample_id,modality,anchor_time,start_time,end_time,gap_length,distance_bucket,boundary,cumulative_write,cumulative_decay,error_start,error_end,error_change,write_per_step,decay_per_step,overlap_mean,overlap_max,overlap_sum,overlap_steps,closure_error,continuity_error,head_count
IEMOCAPFour,69,0.5,seed69:Ses05F_script02_1,text,23,24,24,1,1,observed_or_end_unresolved,0.12079712748527527,0.019430491840466857,0.00259656211710535,0.1428241829853505,0.14022762086824514,0.12079712748527527,0.019430491840466857,0.24352473532781005,0.6409058570861816,0.24352473532781005,1,7.683411240577698e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro05,text,23,24,24,1,1,observed_or_end_unresolved,0.08089929004199803,0.019308811519294977,0.0030830223113298416,0.10329112503677607,0.10020810272544622,0.08089929004199803,0.019308811519294977,0.17151218326762319,0.39772486686706543,0.17151218326762319,1,4.6566128730773926e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script02_2,visual,23,24,24,1,1,observed_or_end_unresolved,0.2258654311299324,0.019316292135044932,0.0021568556257989258,0.24733858206309378,0.24518172643729486,0.2258654311299324,0.019316292135044932,0.2108760355040431,0.5521762371063232,0.2108760355040431,1,1.0011717677116394e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script01_3,visual,23,24,24,1,1,observed_or_end_unresolved,0.14487658045254648,0.019367646658793092,0.002576415237854235,0.16682064207270741,0.16424422683485318,0.14487658045254648,0.019367646658793092,0.23221993539482355,0.4599460959434509,0.23221993539482355,1,7.101334631443024e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script01_3,text,23,24,25,2,2-3,observed_or_end_unresolved,0.12527996534481645,0.025441336911171675,0.002775236120214686,0.15349653782323003,0.15072130170301534,0.06263998267240822,0.012720668455585837,0.1726897202897817,0.7271273732185364,0.3453794405795634,2,3.259629011154175e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro02,audio,23,24,24,1,1,observed_or_end_unresolved,0.45862996485084295,0.019094131886959076,0.0012587356031872332,0.4789828369393945,0.47772410133620724,0.45862996485084295,0.019094131886959076,0.2888817684724927,0.54752516746521,0.2888817684724927,1,2.1886080503463745e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro08,audio,23,24,24,1,1,observed_or_end_unresolved,0.10921044484712183,0.019124540267512202,0.0013610442911158316,0.12969602970406413,0.1283349854129483,0.10921044484712183,0.019124540267512202,0.26817712001502514,0.4903374910354614,0.26817712001502514,1,5.471520125865936e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script01_1,text,23,24,26,3,2-3,observed_or_end_unresolved,0.3929040504153818,0.030735120410099626,0.0030134650296531618,0.426652641966939,0.4236391769372858,0.13096801680512726,0.010245040136699876,0.23656005878001451,0.5427351593971252,0.7096801763400435,3,2.9336661100387573e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script01_1,visual,23,24,24,1,1,observed_or_end_unresolved,0.05864028865471482,0.019323652610182762,0.0021615929435938597,0.0801255339756608,0.07796394103206694,0.05864028865471482,0.019323652610182762,0.09478226816281676,0.24953459203243256,0.09478226816281676,1,8.149072527885437e-09,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script02_2,audio,23,24,25,2,2-3,observed_or_end_unresolved,0.2910504089668393,0.02830322179943323,0.0031103430956136435,0.3224639743566513,0.31935363126103766,0.14552520448341966,0.014151610899716616,0.26207801327109337,0.6646316647529602,0.5241560265421867,2,1.4435499906539917e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script02_2,text,23,24,24,1,1,observed_or_end_unresolved,0.13711732835508883,0.018889437895268202,0.003031978427316062,0.15903874463401735,0.1560067662067013,0.13711732835508883,0.018889437895268202,0.15541695524007082,0.4369961619377136,0.15541695524007082,1,1.1874362826347351e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro03,audio,24,25,30,6,4-7,observed_or_end_unresolved,0.36245871847495437,0.03578182985074818,0.001425105903763324,0.3996656499803066,0.3982405440765433,0.060409786412492394,0.00596363830845803,0.26069058215944096,0.7867422103881836,1.5641434929566458,6,1.4551915228366852e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro03,text,24,25,25,1,1,observed_or_end_unresolved,0.2489206837490201,0.019481857540085912,0.002436476366710849,0.27083901315927505,0.2684025367925642,0.2489206837490201,0.019481857540085912,0.3283640807494521,0.6345790028572083,0.3283640807494521,1,1.816079020500183e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro06,visual,24,25,27,3,2-3,observed_or_end_unresolved,0.44977525249123573,0.024328761035576463,0.0007909276682767086,0.4748949445784092,0.4741040169101325,0.14992508416374525,0.008109587011858821,0.2589161745272577,0.5250043272972107,0.776748523581773,3,2.1391315385699272e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_script03_2,visual,24,25,25,1,1,observed_or_end_unresolved,0.5108287781476974,0.018425617716275156,0.0029799237672705203,0.5322343297302723,0.5292544059630018,0.5108287781476974,0.018425617716275156,0.39020606130361557,0.7210012674331665,0.39020606130361557,1,4.819594323635101e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script02_1,visual,24,25,26,2,2-3,observed_or_end_unresolved,0.30136631429195404,0.01753317448310554,0.0012597604727488942,0.3201592518016696,0.3188994913289207,0.15068315714597702,0.00876658724155277,0.2583852834068239,0.5399078130722046,0.5167705668136477,2,1.4028046280145645e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script03_1,audio,24,25,25,1,1,observed_or_end_unresolved,0.3423120037186891,0.0188234846573323,0.0019270565535407513,0.3630625451914966,0.36113548863795586,0.3423120037186891,0.0188234846573323,0.2628676856402308,0.6500425338745117,0.2628676856402308,1,2.9453076422214508e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_script03_1,text,24,25,25,1,1,observed_or_end_unresolved,0.6099296326283365,0.018856813432648778,0.003977236367063597,0.6327636823989451,0.6287864460318815,0.6099296326283365,0.018856813432648778,0.34266993403434753,0.7312566041946411,0.34266993403434753,1,4.353933036327362e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05M_impro04,visual,24,25,30,6,4-7,observed_or_end_unresolved,0.3914375603199005,0.03631112212315202,0.002195903696701862,0.42994458228349686,0.427748678586795,0.06523959338665009,0.006051853687192003,0.23998141354726005,0.7788415551185608,1.4398884812835604,6,1.3504177331924438e-08,0.0,8
IEMOCAPFour,69,0.5,seed69:Ses05F_impro02,text,24,25,25,1,1,observed_or_end_unresolved,0.19883969682268798,0.019362195394933224,0.0028205701673869044,0.22102246526628733,0.21820189509890042,0.19883969682268798,0.019362195394933224,0.2861465737223625,0.55959552526474,0.2861465737223625,1,1.30385160446167e-08,0.0,8
