dataset,seed,rate,modality,head_records,conversations,mean_decay_damage,mean_write_damage,mean_paired_difference,median_paired_difference,fraction_paired_positive,conversation_mean_paired,positive_conversation_count
CMUMOSI,67,0.5,audio,2344,31,0.015556400026744644,0.07598760691566755,0.06043120688892291,0.015103347599506378,0.6062286689419796,0.0628990187929667,31
CMUMOSI,67,0.5,visual,2256,31,0.014769281705689504,0.10356990979069593,0.08880062808500643,0.013375816866755486,0.6134751773049646,0.0923338172546264,31
CMUMOSI,67,0.5,text,2352,31,0.01800304835861815,0.03551487069930184,0.017511822340683696,-0.008701546117663383,0.3737244897959184,0.018754868065166644,29
CMUMOSI,67,0.7,visual,2720,31,0.012916287701741299,0.08802522300906918,0.07510893530732787,0.007155913859605789,0.5661764705882353,0.07654895398051118,31
CMUMOSI,67,0.7,audio,2776,31,0.013734069813891,0.06251787485069024,0.04878380503679924,0.005539299920201302,0.5518731988472623,0.04864154447337763,31
CMUMOSI,67,0.7,text,3000,31,0.01645974246660868,0.03525596406559149,0.01879622159898281,-0.009482620283961296,0.3586666666666667,0.020497333894421186,30
CMUMOSI,68,0.1,audio,616,29,0.01842656317046033,0.09744935573302452,0.07902279256256418,0.029013117775321007,0.6996753246753247,0.08612662360531106,29
CMUMOSI,68,0.1,text,480,25,0.019282435552061845,0.05696625162187653,0.037683816069814684,0.02033338975161314,0.6979166666666666,0.03537638653574201,24
CMUMOSI,68,0.1,visual,464,25,0.018997644923290175,0.19656469609492042,0.17756705117163024,0.07368209958076477,0.7887931034482759,0.19008611333634085,25
CMUMOSI,68,0.3,text,1424,30,0.017829508113209158,0.05042031032407363,0.032590802210864474,0.0055045876652002335,0.5610955056179775,0.03326939271377688,29
CMUMOSI,68,0.3,audio,1520,31,0.016461465990562973,0.08119683816269237,0.0647353721721294,0.01236388273537159,0.6046052631578948,0.07321072572052457,31
CMUMOSI,68,0.3,visual,1568,31,0.01603799392540502,0.1571264590590489,0.14108846513364387,0.04444918315857649,0.7136479591836735,0.15308383500641232,30
CMUMOSI,68,0.5,text,2264,31,0.017240253961217252,0.061397703670544465,0.044157449709327216,0.00027345120906829834,0.5017667844522968,0.046743887814169445,31
CMUMOSI,68,0.5,audio,2240,31,0.01614174762840516,0.0678844669181022,0.051742719289697044,0.005216388963162899,0.540625,0.05215151948856053,30
CMUMOSI,68,0.5,visual,2440,31,0.013390428308763953,0.13435559680257908,0.12096516849381514,0.020067538134753704,0.6344262295081967,0.11981362741227512,31
CMUMOSI,68,0.7,text,3104,31,0.01576615710167896,0.046256143049776224,0.030489985948097268,-0.006791470572352409,0.4252577319587629,0.03771282752050794,30
CMUMOSI,68,0.7,visual,2736,31,0.01209823493518981,0.1135323357575012,0.1014341008223114,0.011751212179660797,0.5968567251461988,0.10942034967354486,31
CMUMOSI,68,0.7,audio,2768,31,0.014946834439266409,0.04966504721110956,0.03471821277184315,-0.0036931848153471947,0.47109826589595377,0.04207064257374018,29
CMUMOSI,69,0.1,text,552,29,0.019471758298332923,0.07825814737884355,0.05878638908051062,0.02050882764160633,0.6847826086956522,0.05895875085281722,29
CMUMOSI,69,0.1,audio,512,23,0.01830985917331418,0.14510360040003434,0.12679374122672016,0.07728830445557833,0.884765625,0.11663974432816283,23
CMUMOSI,69,0.1,visual,480,24,0.019505338062299416,0.15918254914383093,0.13967721108153153,0.0535863172262907,0.7604166666666666,0.1667612899616841,23
CMUMOSI,69,0.3,visual,1528,31,0.016449311445223373,0.11272359329412315,0.09627428184889979,0.012381003238260746,0.6092931937172775,0.1064224088781467,30
CMUMOSI,69,0.3,audio,1408,31,0.016103104532124813,0.11157209710456134,0.09546899257243653,0.04784302320331335,0.7471590909090909,0.09747790490583261,31
CMUMOSI,69,0.3,text,1464,30,0.01763808479547867,0.07046271802837162,0.052824633232892944,0.012323285453021526,0.5922131147540983,0.051871708896454996,30
CMUMOSI,69,0.5,audio,2512,31,0.012931083548505595,0.09634442901080119,0.08341334546229559,0.03163245692849159,0.6799363057324841,0.08334804048208871,31
CMUMOSI,69,0.5,text,2400,31,0.016253173425017545,0.07340401210201283,0.05715083867699529,0.0058341482654213905,0.5529166666666666,0.05872241660022554,30
CMUMOSI,69,0.5,visual,2488,31,0.01461781382896126,0.09585432603452175,0.0812365122055605,0.010169713757932186,0.5763665594855305,0.08415828805577916,31
CMUMOSI,69,0.7,text,2792,31,0.015118472515618733,0.07873991582700102,0.0636214433113823,0.0054492829367518425,0.5494269340974212,0.06844859283121203,31
CMUMOSI,69,0.7,visual,2856,31,0.012933271807939316,0.08678399534284265,0.07385072353490334,0.004758698865771294,0.5458683473389355,0.0787364034096579,31
CMUMOSI,69,0.7,audio,2968,31,0.011409915753984146,0.095093322772849,0.08368340701886486,0.025355839170515537,0.6526280323450134,0.08595968215420359,31
