run,dataset,seed,rate,modality,head,distance_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
mosi_seed66_rate0.5,CMUMOSI,66,0.5,visual,7,4-7,27,0.20008969313844485,-0.02137428715273186,-0.001170039176940918,0.37037037037037035,-0.2726881296733903,-0.2686202686202686
mosi_seed66_rate0.5,CMUMOSI,66,0.5,visual,7,8+,3,0.2153226559360822,0.10328974823156993,0.15026140213012695,1,0.9959682068183715,0.5
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,0,1,151,0.08238316739952525,0.06944032880594793,0.03368986397981644,0.9867549668874173,0.6940717142142946,0.795803415824329
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,0,2-3,151,0.07363428833542873,0.022918172994788908,0.002088584005832672,0.5894039735099338,0.26526450766183185,0.23772046009062392
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,0,4-7,54,0.08655597881793424,0.0024711137844456565,8.447468280792236e-05,0.5185185185185185,0.09989984084173499,0.14038498189441587
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,0,8+,6,0.11114052310585976,0.008466899394989014,0.002800196409225464,0.6666666666666666,0.05572950085268521,-0.2571428571428571
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,1,1,151,0.07334242711176737,0.03373076379397847,0.0199672132730484,0.9403973509933775,0.5835744564001539,0.7408992680376438
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,1,2-3,151,0.07621854602279055,0.008921143284301884,0.0015704482793807983,0.5761589403973509,0.19609404810939318,0.19017776228651098
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,1,4-7,54,0.08451865873885928,-0.0008812589501893079,-6.800144910812378e-05,0.5,0.05505612678226088,0.07345149609300552
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,1,8+,6,0.07358943298459053,-0.005433914562066396,-0.0035558566451072693,0.3333333333333333,-0.666045443743552,-0.42857142857142855
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,2,1,151,0.31427567072262036,0.18698399032879348,0.14303837716579437,1,0.35661755791287064,0.18326594632276055
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,2,2-3,151,0.31127846063367576,0.03231396861621086,0.008646570146083832,0.5496688741721855,0.2962368504304931,0.12440920181247822
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,2,4-7,54,0.3208611160516739,-0.0019305278029706744,0.00929136574268341,0.5370370370370371,0.1373859937672907,0.1293310463121784
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,2,8+,6,0.343289390206337,-0.011156581342220306,-0.03145941346883774,0.16666666666666666,0.5679443107932262,0.5428571428571428
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,3,1,151,0.23024058767551223,0.1309893973023686,0.0837438777089119,0.9867549668874173,0.6961190892143061,0.7731056117113977
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,3,2-3,151,0.23216547581385696,0.04370257749364076,0.009333550930023193,0.609271523178808,0.2837365325277443,0.361439525967236
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,3,4-7,54,0.25508561523424256,-0.008619019278773555,-0.002478860318660736,0.48148148148148145,-0.08213496995740037,-0.0988374309129026
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,3,8+,6,0.2608507076899211,-0.012410372495651245,-0.0008459985256195068,0.3333333333333333,-0.43424846540624573,-0.7142857142857143
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,4,1,151,0.14852268004555577,0.1206906395810132,0.08089211583137512,0.9470198675496688,0.6953917765246809,0.8348274660160334
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,4,2-3,151,0.14296736432523127,0.05073357634986473,0.008984960615634918,0.6821192052980133,0.3186878528543219,0.3305925409550366
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,4,4-7,54,0.15787460523898955,-0.0054418083142351225,-0.0009717941284179688,0.48148148148148145,-0.05144246865948152,-0.053706880121974464
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,4,8+,6,0.12584214471280575,0.0006391008694966634,-0.004711568355560303,0.3333333333333333,0.048224941865751304,-0.08571428571428572
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,5,1,151,0.15576297275425977,0.05813737612044969,0.036520738154649734,0.9602649006622517,0.13354929414538935,0.26606134541652143
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,5,2-3,151,0.15695426927645081,0.022780750686956557,0.008603662252426147,0.6423841059602649,0.2092353747667358,0.2822168002788428
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,5,4-7,54,0.1384109022371747,0.0177370703054799,0.0025958195328712463,0.5370370370370371,0.17528074618107672,0.19832285115303983
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,5,8+,6,0.15064290538430214,0.016794947286446888,-0.0037312954664230347,0.3333333333333333,-0.018063024906913194,0.2571428571428571
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,6,1,151,0.23984216304113534,0.18982828901895624,0.1171230599284172,0.9933774834437086,0.5605290873057612,0.5023527361449982
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,6,2-3,151,0.23364480303612767,0.06750505903600068,0.009728331118822098,0.5894039735099338,0.4219967662872649,0.39507145346810735
mosi_seed66_rate0.7,CMUMOSI,66,0.7,audio,6,4-7,54,0.24019672873395462,0.07705126909746064,0.01912432163953781,0.5925925925925926,0.4236546446909525,0.36840099104250046
