dataset,seed,rate,modality,bucket,gaps,mean_gap_length,cumulative_write_mean,cumulative_write_median,cumulative_decay_mean,cumulative_decay_median,error_change_mean,error_change_median,write_per_step_mean,write_per_step_median,overlap_mean_mean,overlap_mean_median,overlap_max_mean,overlap_max_median,overlap_sum_mean,overlap_sum_median
IEMOCAPFour,66,0.5,text,4-7,18,4.888888888888889,0.49673439605006325,0.3904003497445956,0.025902146331241563,0.030587091692723334,0.5226365405600922,0.4279572428786196,0.10563492309496117,0.0821039731381461,0.2884940425048443,0.28541598374431487,0.6536208954122331,0.6569027900695801,1.416857261734549,1.3964106943458319
IEMOCAPFour,66,0.5,visual,4-7,26,4.384615384615385,0.45714152615535286,0.42523663316387683,0.022910337008607503,0.022784311091527343,0.4800518639184212,0.4574213216146745,0.10514632893856077,0.10410449649013268,0.23329151500171671,0.21360702282981947,0.5958694070577621,0.608586847782135,1.0208791475563954,1.0213530456530862
IEMOCAPFour,66,0.5,audio,4-7,18,4.611111111111111,0.5455970700455105,0.4991352637298405,0.023779615255383153,0.021553178201429546,0.5693766858453778,0.5319409764888405,0.12023450378881381,0.11774362996220589,0.23840178545239804,0.2422072222456336,0.6175016330348121,0.5948916077613831,1.0872729332639008,1.0945631032809615
IEMOCAPFour,66,0.5,audio,8+,1,8,0.43584831594489515,0.43584831594489515,0.06244875746779144,0.06244875746779144,0.49829707309254445,0.49829707309254445,0.054481039493111894,0.054481039493111894,0.1756721707060933,0.1756721707060933,0.5229377746582031,0.5229377746582031,1.4053773656487465,1.4053773656487465
IEMOCAPFour,66,0.5,text,8+,3,8,0.4710612278431654,0.5065816710703075,0.03548631312636038,0.039945805445313454,0.5065475381027985,0.5574118157237535,0.058882653480395675,0.06332270888378844,0.254658455310467,0.22226540255360305,0.6150775154431661,0.6136025190353394,2.037267642483736,1.7781232204288244
IEMOCAPFour,66,0.5,visual,8+,3,8.666666666666666,0.6012791589989016,0.5760124502703547,0.010916077454263965,0.018477733246982098,0.6121952398449745,0.5944901836774079,0.0694755197511296,0.07200155628379434,0.2640962707971792,0.2842594201986988,0.5929784576098124,0.6329677700996399,2.2716259551622593,2.525771568296477
IEMOCAPFour,66,0.7,visual,4-7,60,5.083333333333333,0.4874429224214206,0.46864148566965014,0.025782783764104047,0.027773956768214703,0.5132257061887079,0.4985755551351758,0.09913329769525536,0.09392231109086424,0.23550532910352415,0.20672587475356913,0.6052938496073087,0.6029893159866333,1.197396307529804,1.1666157774161547
IEMOCAPFour,66,0.7,text,1,136,1,0.2475615241273772,0.23156459629535675,0.01923996347057469,0.01926775649189949,0.26680148774802853,0.2505458506020659,0.2475615241273772,0.23156459629535675,0.27986405307156553,0.2783846505917609,0.5486884965177845,0.5594375431537628,0.27986405307156553,0.2783846505917609
IEMOCAPFour,66,0.7,audio,2-3,110,2.4727272727272727,0.4023709725736725,0.3948513231007382,0.022814486001152545,0.022658946458250284,0.425185458557462,0.4139048053548322,0.16460965667061056,0.16024945804383606,0.2516786032795525,0.25524786819005385,0.5703474681485783,0.5927330851554871,0.6247127070948905,0.6212542860303074
IEMOCAPFour,66,0.7,visual,2-3,93,2.3655913978494625,0.3521029839357261,0.3315920033492148,0.024298564923967245,0.02327062375843525,0.3764015485430034,0.36157598358840914,0.15044997906851446,0.14085543248802423,0.2358665297047392,0.22141948412172496,0.5558220023109067,0.567894458770752,0.5662441150953753,0.5152466674335301
IEMOCAPFour,66,0.7,visual,1,125,1,0.2172282120892778,0.20659058168530464,0.01927071608323604,0.01926909456960857,0.23649892840786196,0.22585310153954197,0.2172282120892778,0.20659058168530464,0.25035618722299113,0.2409620862454176,0.5113966472148895,0.5027870535850525,0.25035618722299113,0.2409620862454176
