run,dataset,seed,rate,conversation,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro01,24,0.3380635005111496,0.2858894979581237,0.2237846776843071,1,0.7435774224465606,0.6313043478260869
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro02,48,0.2591789087358241,0.18130681943148375,0.1370248943567276,0.8958333333333334,0.5994581812305486,0.6581632653061225
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro03,80,0.34915274772793053,0.32573565230704843,0.2671753019094467,0.9375,0.5936430168803636,0.6203703703703703
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro04,96,0.27330819292304415,0.2292875460892295,0.1950225532054901,1,0.7942239255970763,0.7709576776994032
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro05,80,0.27333344747312366,0.2243308888282627,0.13855533301830292,0.9625,0.6549692799088178,0.699648382559775
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro06,72,0.25661679572011864,0.22281188096126747,0.1521620824933052,0.9583333333333334,0.6312862241267141,0.7387613351340923
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro07,192,0.3174024241549584,0.3115710629014454,0.22915324568748474,0.9479166666666666,0.6760432643152176,0.7757151479803597
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_impro08,88,0.38759094874628564,0.42593985743058677,0.3719085454940796,1,0.5297217090293659,0.608097636574971
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script01_1,80,0.30640517519786953,0.2720918278908357,0.20072543621063232,0.9375,0.6736664791647436,0.7030473511486169
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script01_1b,80,0.35404267443809656,0.32539538422133774,0.2757855951786041,0.9625,0.5298180325051208,0.6258087201125175
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script01_2,32,0.34595673880539834,0.36778036411851645,0.3024405390024185,0.84375,0.6838558096502981,0.8057184750733137
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script01_3,56,0.330647662148944,0.2567740603616195,0.2591997981071472,0.9464285714285714,0.6273013584745502,0.6797676008202324
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script02_1,32,0.29802431003190577,0.21950951765757054,0.20706263184547424,0.875,0.5254567379617103,0.5652492668621701
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script02_2,104,0.2935348753459178,0.2027326797744116,0.1333884596824646,0.9711538461538461,0.6990247820678773,0.7816067427717913
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script03_1,72,0.2946624578390684,0.28980039921589196,0.2304036095738411,0.9583333333333334,0.718852602877159,0.8001800758891247
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,seed69:Ses05M_script03_2,168,0.291935416509486,0.2107521491568713,0.13746315985918045,0.9107142857142857,0.5296598335881926,0.5863809152616154
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro01,40,0.2175632390193641,0.22159203565679492,0.12172465771436691,0.975,0.8464465843186885,0.7932457786116323
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro02,328,0.24606220702436277,0.16328421056770334,0.10035574808716774,0.8810975609756098,0.6796775220388039,0.6982461414363453
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro03,496,0.32474541650228805,0.2662632820673377,0.20670601725578308,0.9354838709677419,0.634596363836395,0.6911691065257626
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro04,376,0.2568575334982907,0.16708983720200968,0.106532521545887,0.8962765957446809,0.6382854418394625,0.6317212032281732
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro05,288,0.3030331642868178,0.22632735766496304,0.14668820053339005,0.9131944444444444,0.6347334500593496,0.668430428125339
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro06,328,0.26235567910096996,0.16447136871425844,0.09613730385899544,0.9115853658536586,0.620747234103233,0.6801134597609605
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro07,576,0.29631827133481337,0.22554466774130966,0.1365451216697693,0.8888888888888888,0.6288969184141289,0.7039381609022178
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_impro08,296,0.27937208150664494,0.18917302515458417,0.11171769350767136,0.8614864864864865,0.6818668924085871,0.6916013085504611
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script01_1,280,0.2580647912342101,0.19840601407922803,0.11699604988098145,0.8928571428571429,0.6416217788150474,0.7063433753710415
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script01_2,88,0.25412129305980424,0.1953159082596275,0.10311440378427505,0.75,0.6225844195143753,0.5730513190799902
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script01_3,384,0.27088854246054933,0.18023408409984162,0.11420129984617233,0.8619791666666666,0.5676510489158829,0.58723508867112
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script02_1,160,0.27406768100336193,0.18470687428489327,0.12438298761844635,0.89375,0.39636748251769655,0.5077083089183171
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script02_2,264,0.2835653563396949,0.21681259271942757,0.15181567519903183,0.9318181818181818,0.688296869910215,0.7260120394706807
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script03_1,200,0.29795738476328554,0.2740563967265189,0.18386396765708923,0.955,0.6912406479912132,0.7601830045751143
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05F_script03_2,344,0.28744544387188586,0.2276541002820311,0.14870496094226837,0.8953488372093024,0.6481413098403217,0.6853791119221052
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,seed69:Ses05M_impro01,104,0.27413630256286037,0.247374767348027,0.17316940426826477,0.9038461538461539,0.5774122868745296,0.6779472954230236
