run,dataset,seed,rate,overlap_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,conversation_count,conversation_equal_damage_mean
iemocap4_seed68_rate0.3,IEMOCAPFour,68,0.3,"[.4,.6)",1524,0.4843380601582878,0.38798009571949327,0.3697488158941269,0.9232283464566929,0.22060435142362736,0.23536130521708318,31,0.3913468793189501
iemocap4_seed68_rate0.3,IEMOCAPFour,68,0.3,"[.6,1]",441,0.6631881959584295,0.6013612274815436,0.597912609577179,0.9546485260770975,0.1799665999328879,0.18317173023055375,31,0.582814840415393
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,"[0,.1)",2950,0.05149456923322405,0.020278954861085798,0.009771516546607018,0.7688135593220339,0.4055708904098542,0.44530181456294377,31,0.02085539331807404
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,"[.1,.2)",3003,0.14898805209608265,0.07587195737451771,0.06647960841655731,0.8434898434898435,0.21227227633304188,0.215102346275981,31,0.07683205350501982
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,"[.2,.4)",4546,0.29137509543034035,0.1773499988041592,0.16011492162942886,0.8699956005279367,0.2179438054657359,0.22100370686044915,31,0.17981837710320853
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,"[.4,.6)",2172,0.4850619850100514,0.34079712736000123,0.3293845057487488,0.8927255985267035,0.18027413555683186,0.18517960600673825,31,0.33953848842962564
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,"[.6,1]",641,0.6604570688769895,0.5540200159674316,0.5316365957260132,0.9297971918876755,0.20674302444265866,0.18919438085934653,31,0.567702700225156
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,"[0,.1)",4022,0.0498448307174992,0.016392110143929408,0.007944859564304352,0.7337145698657385,0.3619626956069442,0.4081798498125366,31,0.017781322114961272
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,"[.1,.2)",3859,0.14914959103610423,0.06614262026781229,0.0572105310857296,0.7981342316662348,0.19535611215458656,0.18483826673575515,31,0.07055792013355945
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,"[.2,.4)",5405,0.290895418394064,0.15454416886819777,0.1380714476108551,0.8362627197039778,0.2043784747023159,0.18132656629294355,31,0.16132001886596883
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,"[.4,.6)",2333,0.4827145890800216,0.309782535478032,0.29302430152893066,0.8761251607372482,0.18252803326827385,0.18576702618035057,31,0.3204307014075725
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,"[.6,1]",629,0.6604830871894364,0.4937080057465215,0.4867834746837616,0.8998410174880763,0.18955467227825074,0.15865543325266068,31,0.50256796404388
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,"[0,.1)",343,0.05327766957223068,0.03131015208595957,0.017319271340966225,0.8629737609329446,0.5276911224156302,0.6015792923219296,31,0.03226217302094483
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,"[.1,.2)",628,0.15129539646967582,0.12082905624844846,0.09862426295876503,0.945859872611465,0.24070531431204267,0.25407152551164697,31,0.13079248330831666
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,"[.2,.4)",1046,0.2888085880881286,0.23514691032433657,0.2070399895310402,0.9665391969407265,0.2564214963649389,0.26641570993377056,31,0.230601031381698
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,"[.4,.6)",661,0.4905103825134156,0.4172755387018515,0.37790897488594055,0.9667170953101362,0.2145145532636142,0.22098449288050323,31,0.4301735827350038
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,"[.6,1]",234,0.6765055508695097,0.6477171569171115,0.604756236076355,0.9829059829059829,0.2447109920194804,0.27331399310214033,31,0.6744137041410531
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,"[0,.1)",1415,0.052710106892860084,0.024029364557311517,0.01342911459505558,0.8063604240282686,0.4108081440845335,0.5064668073270017,31,0.025297216061299175
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,"[.1,.2)",1861,0.15010504207580336,0.09535298747006025,0.07822410017251968,0.9022031166039763,0.23752398741125236,0.2402556484441789,31,0.09732168695732027
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,"[.2,.4)",2794,0.28965567861955,0.21673496334454206,0.18887873739004135,0.9219756621331424,0.24383607918649955,0.24007563374225344,31,0.22017309724588616
