group,rate,mode,n_seeds,mean,sd
AT,0.7,no_base,5,91.18769920682308,2.7598632899332944
AT,0.7,base_to_gap,5,92.12357693951401,2.3790679851916385
AT,0.7,gap_to_base,5,91.18769920682308,2.7598632899332944
AT,0.7,move_base_to_gap,5,92.24245442779888,0.9263088344382544
AT,0.7,move_gap_to_base,5,89.84320596437291,2.7947918684412247
AT,0.7,swap,5,92.24245442779888,0.9263088344382544
AV,0.0,normal,0,,
AV,0.0,no_gap,0,,
AV,0.0,no_base,0,,
AV,0.0,base_to_gap,0,,
AV,0.0,gap_to_base,0,,
AV,0.0,move_base_to_gap,0,,
AV,0.0,move_gap_to_base,0,,
AV,0.0,swap,0,,
AV,0.1,normal,5,66.86434883675891,8.05995247943951
AV,0.1,no_gap,5,63.48069066460327,6.18637247207448
AV,0.1,no_base,5,63.9376310048727,6.331672511119044
AV,0.1,base_to_gap,5,66.02639365004072,6.535987864088572
AV,0.1,gap_to_base,5,66.3111416655756,7.527797178236279
AV,0.1,move_base_to_gap,5,65.91185159819076,6.2834863245769785
AV,0.1,move_gap_to_base,5,63.06489085129741,7.573479035991212
AV,0.1,swap,5,67.74247616683468,6.112342871751189
AV,0.2,normal,5,66.76005097021752,2.7156049093093224
AV,0.2,no_gap,5,62.05981242725103,1.8984674743217378
AV,0.2,no_base,5,61.64083358789191,2.2178919065187643
AV,0.2,base_to_gap,5,66.49961588565803,1.0602355595280897
AV,0.2,gap_to_base,5,64.09096285264896,1.5864746794461926
AV,0.2,move_base_to_gap,5,62.88886825455303,1.1354658498280745
AV,0.2,move_gap_to_base,5,59.62037703724454,2.3040088819279765
AV,0.2,swap,5,66.07416956071707,1.6362026374497816
AV,0.3,normal,5,65.59101475317729,4.894686380134609
AV,0.3,no_gap,5,62.76519719935076,8.271420620779203
AV,0.3,no_base,5,62.780487615736995,4.532848978927329
AV,0.3,base_to_gap,5,66.76698973084032,5.7451884652788605
AV,0.3,gap_to_base,5,64.65259621317028,3.9113391907448585
AV,0.3,move_base_to_gap,5,66.36701224022283,4.590722534164657
AV,0.3,move_gap_to_base,5,60.882346859678904,6.67423488301366
AV,0.3,swap,5,66.49838057259896,4.668812260845601
AV,0.4,normal,5,62.09390204230292,6.445437256219076
AV,0.4,no_gap,5,60.065394764211575,4.048454206464172
AV,0.4,no_base,5,59.92013066333135,6.954572837414376
AV,0.4,base_to_gap,5,60.53368418531527,7.041021623060487
AV,0.4,gap_to_base,5,62.612341017047775,7.360435307818098
AV,0.4,move_base_to_gap,5,61.81034256828179,3.921876326893486
AV,0.4,move_gap_to_base,5,56.47433058720844,4.547118775536718
AV,0.4,swap,5,61.92342275408631,7.325270533941457
AV,0.5,normal,5,65.76075455673879,3.8717322312006153
AV,0.5,no_gap,5,60.23107592416397,4.511523442662674
AV,0.5,no_base,5,61.450811438454906,4.089813758329529
AV,0.5,base_to_gap,5,65.29179357489707,5.633913647386105
AV,0.5,gap_to_base,5,65.42110168607091,3.150332634726971
AV,0.5,move_base_to_gap,5,63.38880722527249,1.3976778775205296
AV,0.5,move_gap_to_base,5,60.71047627007599,5.169631763895861
AV,0.5,swap,5,66.08884997049906,5.5672730416753415
AV,0.6,normal,5,57.193091027846116,11.808665388940382
AV,0.6,no_gap,5,55.40616700186655,8.43257910227208
AV,0.6,no_base,5,54.27620127069186,9.126648102487811
AV,0.6,base_to_gap,5,57.777777061240755,8.251387651696838
AV,0.6,gap_to_base,5,56.32044834284745,11.43966668924102
AV,0.6,move_base_to_gap,5,56.745863685330825,7.076913297767345
AV,0.6,move_gap_to_base,5,49.79592357228747,11.440723851287133
AV,0.6,swap,5,58.035701288023226,11.758500492038422
AV,0.7,normal,5,56.4508443909575,3.6237136680587314
AV,0.7,no_gap,5,55.00952973841862,6.181788181987152
AV,0.7,no_base,5,54.87271920608855,7.308031895432522
AV,0.7,base_to_gap,5,59.33560622962849,2.9764356223613895
AV,0.7,gap_to_base,5,55.77337874287027,6.847595932456668
AV,0.7,move_base_to_gap,5,57.764421597470744,4.582350762673068
AV,0.7,move_gap_to_base,5,55.924529873551535,6.118113502950802
AV,0.7,swap,5,56.492874168139394,2.845992370229716
TV,0.0,normal,0,,
TV,0.0,no_gap,0,,
TV,0.0,no_base,0,,
TV,0.0,base_to_gap,0,,
TV,0.0,gap_to_base,0,,
TV,0.0,move_base_to_gap,0,,
TV,0.0,move_gap_to_base,0,,
TV,0.0,swap,0,,
TV,0.1,normal,5,88.54678786209209,2.9242795737436746
TV,0.1,no_gap,5,88.54678786209209,2.9242795737436746
TV,0.1,no_base,5,87.53964886962798,4.130476263545362
TV,0.1,base_to_gap,5,88.54678786209209,2.9242795737436746
TV,0.1,gap_to_base,5,87.53964886962798,4.130476263545362
TV,0.1,move_base_to_gap,5,87.81876239262587,4.041860888856611
TV,0.1,move_gap_to_base,5,87.53964886962798,4.130476263545362
TV,0.1,swap,5,87.81876239262587,4.041860888856611
TV,0.2,normal,5,87.03952454715018,2.531751068429521
TV,0.2,no_gap,5,86.76945730851288,2.621703501390636
TV,0.2,no_base,5,87.26021086287815,2.4002532249086186
TV,0.2,base_to_gap,5,86.73654953638302,2.1939928254727685
TV,0.2,gap_to_base,5,87.00411212577289,2.5073945406328098
TV,0.2,move_base_to_gap,5,87.09993496367812,2.7418143680453424
TV,0.2,move_gap_to_base,5,87.26021086287815,2.4002532249086186
TV,0.2,swap,5,87.30730589445332,2.582682807458174
TV,0.3,normal,5,85.64016188950825,3.002694960253468
TV,0.3,no_gap,5,85.86115815786822,3.2179150823886555
TV,0.3,no_base,5,85.89629089989737,3.514680444079573
TV,0.3,base_to_gap,5,84.55081723979755,4.332876196710383
TV,0.3,gap_to_base,5,85.89629089989737,3.514680444079573
TV,0.3,move_base_to_gap,5,85.87599591347437,2.989717517791312
TV,0.3,move_gap_to_base,5,86.4297904807791,4.309558619248868
TV,0.3,swap,5,85.87599591347437,2.989717517791312
TV,0.4,normal,5,89.19842862065619,2.4681909144563257
TV,0.4,no_gap,5,88.96159377886066,2.8485730018978197
TV,0.4,no_base,5,87.84994502024384,3.2751494308655604
TV,0.4,base_to_gap,5,88.5210032711956,2.665544150209114
