section,rate,mode,modality,metric,n_seeds,mean,sample_std,positive,zero,negative,sign_flip_p_two_sided
retention,0.5,global-minus-fixed0.9,audio,err_decay,5,-0.027956114583395236,0.0027852720831224856,0,0,5,
retention,0.5,global-minus-fixed0.9,audio,err_post,5,-0.01818905050034959,0.002772146578446306,0,0,5,
retention,0.5,global-minus-fixed0.9,audio,write_damage,5,0.009767064091557453,0.004388237708679616,5,0,0,
retention,0.5,global-minus-fixed0.9,text,decay_damage,5,0.0014178497118931689,0.00011921409626422906,5,0,0,
retention,0.5,global-minus-fixed0.9,text,err_decay,5,-0.039360630790863944,0.006528824324073012,0,0,5,
retention,0.5,global-minus-fixed0.9,text,err_post,5,-0.028785387081946057,0.004875180635846683,0,0,5,
retention,0.5,global-minus-fixed0.9,text,write_damage,5,0.010575243733140885,0.002691344747554617,5,0,0,
retention,0.5,global-minus-fixed0.9,visual,decay_damage,5,0.0016710755381142378,0.0001234594319107467,5,0,0,
retention,0.5,global-minus-fixed0.9,visual,err_decay,5,-0.025820896212289147,0.0034288854305329994,0,0,5,
retention,0.5,global-minus-fixed0.9,visual,err_post,5,-0.017915416727638345,0.0025331260343892845,0,0,5,
retention,0.5,global-minus-fixed0.9,visual,write_damage,5,0.007905479409073138,0.0033613150233901957,5,0,0,
retention,0.5,protected,audio,decay_damage,5,0.012951738076304054,0.00046617893476864203,,,,
retention,0.5,protected,audio,err_decay,5,0.09560012972457158,0.008104600722817113,,,,
retention,0.5,protected,audio,err_post,5,0.09563081205842505,0.008102654648613114,,,,
retention,0.5,protected,audio,write_damage,5,3.068233385347217e-05,3.873521479065418e-06,,,,
retention,0.5,protected,text,decay_damage,5,0.013674027487059866,0.0003492341093071956,,,,
retention,0.5,protected,text,err_decay,5,0.13581972583550486,0.01029414432388408,,,,
retention,0.5,protected,text,err_post,5,0.13585716189982522,0.010293208881011835,,,,
retention,0.5,protected,text,write_damage,5,3.743606432035511e-05,3.2424996844428297e-06,,,,
retention,0.5,protected,visual,decay_damage,5,0.01340416233541171,0.0002949320109346232,,,,
retention,0.5,protected,visual,err_decay,5,0.10041768920142952,0.006065147113703034,,,,
retention,0.5,protected,visual,err_post,5,0.10044325558449634,0.006063441399824154,,,,
retention,0.5,protected,visual,write_damage,5,2.5566383066810747e-05,3.241973765272055e-06,,,,
retention,0.5,reference,audio,decay_damage,5,0.01162862406946197,0.000551802725333539,,,,
retention,0.5,reference,audio,err_decay,5,0.15568881082092637,0.014281038200243831,,,,
retention,0.5,reference,audio,err_post,5,0.3322348693774201,0.014141420269612688,,,,
retention,0.5,reference,audio,write_damage,5,0.17654605852394697,0.0054428404962395946,,,,
retention,0.5,reference,text,decay_damage,5,0.01209686633175878,0.0001108317249666065,,,,
retention,0.5,reference,text,err_decay,5,0.16048352810614447,0.005724095127818922,,,,
retention,0.5,reference,text,err_post,5,0.33159825640175056,0.016509423427118503,,,,
retention,0.5,reference,text,write_damage,5,0.17111472833236197,0.012580211918035352,,,,
retention,0.5,reference,visual,decay_damage,5,0.011580657767265464,0.0002641313427462415,,,,
retention,0.5,reference,visual,err_decay,5,0.15496580082512468,0.008021244477664672,,,,
retention,0.5,reference,visual,err_post,5,0.3227946095233476,0.015312700227729641,,,,
retention,0.5,reference,visual,write_damage,5,0.16782880871716943,0.010465160012950989,,,,
retention,0.7,fixed0.9,audio,decay_damage,5,0.0069751595133204945,0.0003348086544279636,,,,
retention,0.7,fixed0.9,audio,err_decay,5,0.23954815987943628,0.009046690292313815,,,,
retention,0.7,fixed0.9,audio,err_post,5,0.35227178054851194,0.009724384347514131,,,,
