seed,section,rate,mode,modality,metric,value
66,write_fit,0.3,fixed0.9,audio,err_before,0.7136906180212063
66,write_fit,0.3,fixed0.9,audio,err_original_after,0.001625999866170941
66,write_fit,0.3,fixed0.9,audio,fit_gain,0.6409504923466707
66,write_fit,0.3,fixed0.9,text,err_after,0.10361740920604368
66,write_fit,0.3,fixed0.9,text,err_before,1.0159202113073191
66,write_fit,0.3,fixed0.9,text,err_original_after,0.002331826143504834
66,write_fit,0.3,fixed0.9,text,fit_gain,0.9123028021012755
66,write_fit,0.3,fixed0.9,visual,err_after,0.07103611557685262
66,write_fit,0.3,fixed0.9,visual,err_before,0.6967892951073505
66,write_fit,0.3,fixed0.9,visual,err_original_after,0.0016467081871861463
66,write_fit,0.3,fixed0.9,visual,fit_gain,0.6257531795304979
66,retention,0.3,global,audio,decay_damage,0.012158204451493262
66,retention,0.3,global,audio,err_decay,0.11783066691096986
66,retention,0.3,global,audio,err_post,0.3183314514438783
66,retention,0.3,global,audio,write_damage,0.2005007845822968
66,retention,0.3,global,text,decay_damage,0.01277380296474058
66,retention,0.3,global,text,err_decay,0.11696442615300479
66,retention,0.3,global,text,err_post,0.29917112717951044
66,retention,0.3,global,text,write_damage,0.18220670082221135
66,retention,0.3,global,visual,decay_damage,0.012653982806868873
66,retention,0.3,global,visual,err_decay,0.10632454893412478
66,retention,0.3,global,visual,err_post,0.2993253689099518
66,retention,0.3,global,visual,write_damage,0.19300082013833056
66,task,0.3,global,,accuracy,0.8186946011281225
66,task,0.3,global,,macro_f1,0.8062681679157502
66,task,0.3,global,,weighted_f1,0.8182034180511135
66,write_audit,0.3,global,,applied_norm,7.642991423654902
66,write_audit,0.3,global,,global_norm,7.642991423354718
66,write_audit,0.3,global,,global_scale,0.9563877814082394
66,write_audit,0.3,global,,norm_mismatch,1.9449557535692533e-07
66,write_audit,0.3,global,,original_norm,7.940978189184361
66,write_audit,0.3,global,,protected_norm,7.642991422406134
66,write_fit,0.3,global,audio,err_after,0.023094818435296254
66,write_fit,0.3,global,audio,err_before,0.730128622893136
66,write_fit,0.3,global,audio,err_original_after,0.001661349658780719
66,write_fit,0.3,global,audio,fit_gain,0.7070338044578397
66,write_fit,0.3,global,text,err_after,0.036403670130052836
66,write_fit,0.3,global,text,err_before,1.0428052229797413
66,write_fit,0.3,global,text,err_original_after,0.0023900139236858018
66,write_fit,0.3,global,text,fit_gain,1.0064015528496886
66,write_fit,0.3,global,visual,err_after,0.025891722900563127
66,write_fit,0.3,global,visual,err_before,0.7116055313859617
66,write_fit,0.3,global,visual,err_original_after,0.0016795601165490893
66,write_fit,0.3,global,visual,fit_gain,0.6857138084853985
66,retention,0.3,protected,audio,decay_damage,0.014177666495672168
66,retention,0.3,protected,audio,err_decay,0.0717677349242646
66,retention,0.3,protected,audio,err_post,0.07182078139366423
66,retention,0.3,protected,audio,write_damage,5.304646939962856e-05
66,retention,0.3,protected,text,decay_damage,0.014878663450380927
66,retention,0.3,protected,text,err_decay,0.085290222902183
66,retention,0.3,protected,text,err_post,0.08533198024343419
66,retention,0.3,protected,text,write_damage,4.1757341251192316e-05
66,retention,0.3,protected,visual,decay_damage,0.014249983236645662
66,retention,0.3,protected,visual,err_decay,0.07020091451363109
66,retention,0.3,protected,visual,err_post,0.07023658826428293
66,retention,0.3,protected,visual,write_damage,3.5673750651852826e-05
66,task,0.3,protected,,accuracy,0.821917808219178
66,task,0.3,protected,,macro_f1,0.8112392404319125
66,task,0.3,protected,,weighted_f1,0.8217134161914609
66,write_audit,0.3,protected,,applied_norm,7.602207452569856
66,write_audit,0.3,protected,,global_norm,7.6022074506411705
66,write_audit,0.3,protected,,global_scale,0.9568079076016939
66,write_audit,0.3,protected,,norm_mismatch,1.9318752116872648e-07
66,write_audit,0.3,protected,,original_norm,7.891606944926101
66,write_audit,0.3,protected,,protected_norm,7.602207452455036
66,write_fit,0.3,protected,audio,err_after,0.04980153147697252
66,write_fit,0.3,protected,audio,err_before,0.7180539240818601
66,write_fit,0.3,protected,audio,err_original_after,0.001646210946159268
66,write_fit,0.3,protected,audio,fit_gain,0.6682523926048876
66,write_fit,0.3,protected,text,err_after,0.07215847851835316
66,write_fit,0.3,protected,text,err_before,1.0395683985511268
66,write_fit,0.3,protected,text,err_original_after,0.002394115720479063
66,write_fit,0.3,protected,text,fit_gain,0.9674099200327737
66,write_fit,0.3,protected,visual,err_after,0.05215315762077589
66,write_fit,0.3,protected,visual,err_before,0.7007468740327062
66,write_fit,0.3,protected,visual,err_original_after,0.0016664960310910845
66,write_fit,0.3,protected,visual,fit_gain,0.6485937164119303
66,retention,0.5,reference,audio,decay_damage,0.012212667335523729
66,retention,0.5,reference,audio,err_decay,0.14541174902704737
66,retention,0.5,reference,audio,err_post,0.33037459069673375
66,retention,0.5,reference,audio,write_damage,0.18496284150238032
66,retention,0.5,reference,text,decay_damage,0.012014761238551662
66,retention,0.5,reference,text,err_decay,0.1620689082593101
66,retention,0.5,reference,text,err_post,0.3438082085830678
66,retention,0.5,reference,text,write_damage,0.18173930049603532
66,retention,0.5,reference,visual,decay_damage,0.011348937309140883
66,retention,0.5,reference,visual,err_decay,0.16112056812068648
66,retention,0.5,reference,visual,err_post,0.3276714824696584
66,retention,0.5,reference,visual,write_damage,0.16655091435404262
66,task,0.5,reference,,accuracy,0.8033843674456084
66,task,0.5,reference,,macro_f1,0.7943652480052412
66,task,0.5,reference,,weighted_f1,0.8032392403302838
66,write_audit,0.5,reference,,applied_norm,6.969131126109808
66,write_audit,0.5,reference,,global_norm,6.555094374418048
66,write_audit,0.5,reference,,global_scale,0.9359392971280696
66,write_audit,0.5,reference,,norm_mismatch,2.3378973329960579e-07
66,write_audit,0.5,reference,,original_norm,6.969131126109808
66,write_audit,0.5,reference,,protected_norm,6.555094379341075
66,write_fit,0.5,reference,audio,err_after,0.0016740719236601027
66,write_fit,0.5,reference,audio,err_before,0.7640395974116733
66,write_fit,0.5,reference,audio,err_original_after,0.0016740719236601027
66,write_fit,0.5,reference,audio,fit_gain,0.7623655254880132
66,write_fit,0.5,reference,text,err_after,0.0023144999787350086
66,write_fit,0.5,reference,text,err_before,1.0521871944836367
66,write_fit,0.5,reference,text,err_original_after,0.0023144999787350086
66,write_fit,0.5,reference,text,fit_gain,1.0498726945049017
66,write_fit,0.5,reference,visual,err_after,0.001673088588978112
66,write_fit,0.5,reference,visual,err_before,0.7488443645573708
66,write_fit,0.5,reference,visual,err_original_after,0.001673088588978112
66,write_fit,0.5,reference,visual,fit_gain,0.7471712759683927
66,retention,0.5,fixed0.9,audio,decay_damage,0.007690875006247291
66,retention,0.5,fixed0.9,audio,err_decay,0.18000150336180665
66,retention,0.5,fixed0.9,audio,err_post,0.3230900924109398
66,retention,0.5,fixed0.9,audio,write_damage,0.14308858879708194
66,retention,0.5,fixed0.9,text,decay_damage,0.008853867919109215
66,retention,0.5,fixed0.9,text,err_decay,0.22150051138822616
66,retention,0.5,fixed0.9,text,err_post,0.3564068289348282
66,retention,0.5,fixed0.9,text,write_damage,0.13490631757048213
66,retention,0.5,fixed0.9,visual,decay_damage,0.008011544002862326
66,retention,0.5,fixed0.9,visual,err_decay,0.19484905932206803
66,retention,0.5,fixed0.9,visual,err_post,0.32212846348114554
66,retention,0.5,fixed0.9,visual,write_damage,0.12727940409738375
66,task,0.5,fixed0.9,,accuracy,0.8025785656728445
66,task,0.5,fixed0.9,,macro_f1,0.7929104435092051
66,task,0.5,fixed0.9,,weighted_f1,0.802334256776101
66,write_audit,0.5,fixed0.9,,applied_norm,6.080991707798499
66,write_audit,0.5,fixed0.9,,global_norm,6.355040303270102
66,write_audit,0.5,fixed0.9,,global_scale,0.9358836572878453
66,write_audit,0.5,fixed0.9,,norm_mismatch,2.265898068041498e-07
66,write_audit,0.5,fixed0.9,,original_norm,6.756657621130575
66,write_audit,0.5,fixed0.9,,protected_norm,6.355040305958255
66,write_fit,0.5,fixed0.9,audio,err_after,0.0749507921814906
66,write_fit,0.5,fixed0.9,audio,err_before,0.7356071429565505
66,write_fit,0.5,fixed0.9,audio,err_original_after,0.0016180689659623091
66,write_fit,0.5,fixed0.9,audio,fit_gain,0.6606563507750598
66,write_fit,0.5,fixed0.9,text,err_after,0.10364374619799721
66,write_fit,0.5,fixed0.9,text,err_before,1.0167546861496444
66,write_fit,0.5,fixed0.9,text,err_original_after,0.0022440083880849097
66,write_fit,0.5,fixed0.9,text,fit_gain,0.913110939951647
66,write_fit,0.5,fixed0.9,visual,err_after,0.07389429276226152
66,write_fit,0.5,fixed0.9,visual,err_before,0.7251554955308493
66,write_fit,0.5,fixed0.9,visual,err_original_after,0.0016265405222048819
66,write_fit,0.5,fixed0.9,visual,fit_gain,0.6512612027685878
66,retention,0.5,global,audio,decay_damage,0.010117107706789214
66,retention,0.5,global,audio,err_decay,0.1512040456878825
66,retention,0.5,global,audio,err_post,0.30207823888192525
66,retention,0.5,global,audio,write_damage,0.1508741930920428
66,retention,0.5,global,text,decay_damage,0.01025869863213555
66,retention,0.5,global,text,err_decay,0.1901295009596212
66,retention,0.5,global,text,err_post,0.3352245632789333
66,retention,0.5,global,text,write_damage,0.14509506245704892
66,retention,0.5,global,visual,decay_damage,0.009871096322363658
66,retention,0.5,global,visual,err_decay,0.16464122001820342
66,retention,0.5,global,visual,err_post,0.30014245750800034
66,retention,0.5,global,visual,write_damage,0.13550123735922584
66,task,0.5,global,,accuracy,0.8041901692183723
66,task,0.5,global,,macro_f1,0.794964997183977
66,task,0.5,global,,weighted_f1,0.8039512277031977
66,write_audit,0.5,global,,applied_norm,6.455786662153738
66,write_audit,0.5,global,,global_norm,6.455786665092544
66,write_audit,0.5,global,,global_scale,0.9359202828711555
66,write_audit,0.5,global,,norm_mismatch,2.292764585504217e-07
66,write_audit,0.5,global,,original_norm,6.861563856978386
66,write_audit,0.5,global,,protected_norm,6.455786662998757
66,write_fit,0.5,global,audio,err_after,0.03838610794742808
66,write_fit,0.5,global,audio,err_before,0.7470875904594626
66,write_fit,0.5,global,audio,err_original_after,0.0016425554273518
66,write_fit,0.5,global,audio,fit_gain,0.7087014825120345
66,write_fit,0.5,global,text,err_after,0.05791667974400629
66,write_fit,0.5,global,text,err_before,1.0359936084534074
66,write_fit,0.5,global,text,err_original_after,0.0022846886727268105
66,write_fit,0.5,global,text,fit_gain,0.9780769287094011
66,write_fit,0.5,global,visual,err_after,0.03991731500991726
66,write_fit,0.5,global,visual,err_before,0.735285807249654
66,write_fit,0.5,global,visual,err_original_after,0.0016489187197252068
66,write_fit,0.5,global,visual,fit_gain,0.6953684922397367
66,retention,0.5,protected,audio,decay_damage,0.012820862398542267
66,retention,0.5,protected,audio,err_decay,0.08943679039764059
66,retention,0.5,protected,audio,err_post,0.08946926812628218
66,retention,0.5,protected,audio,write_damage,3.2477728641586724e-05
66,retention,0.5,protected,text,decay_damage,0.013393023487132711
66,retention,0.5,protected,text,err_decay,0.14170263874648997
66,retention,0.5,protected,text,err_post,0.14173432616576648
66,retention,0.5,protected,text,write_damage,3.1687419276493485e-05
66,retention,0.5,protected,visual,decay_damage,0.013512877656566063
66,retention,0.5,protected,visual,err_decay,0.09467242899715914
66,retention,0.5,protected,visual,err_post,0.0947000949838775
66,retention,0.5,protected,visual,write_damage,2.7665986718369914e-05
66,task,0.5,protected,,accuracy,0.8041901692183723
66,task,0.5,protected,,macro_f1,0.7950568656520708
66,task,0.5,protected,,weighted_f1,0.8039444279873997
66,write_audit,0.5,protected,,applied_norm,6.381264707775251
66,write_audit,0.5,protected,,global_norm,6.3812647076559275
66,write_audit,0.5,protected,,global_scale,0.9363040369061046
66,write_audit,0.5,protected,,norm_mismatch,2.2768923272825266e-07
66,write_audit,0.5,protected,,original_norm,6.771878441352935
66,write_audit,0.5,protected,,protected_norm,6.381264708888936
66,write_fit,0.5,protected,audio,err_after,0.07495995257276956
66,write_fit,0.5,protected,audio,err_before,0.7292777492520621
66,write_fit,0.5,protected,audio,err_original_after,0.0016130767241948195
66,write_fit,0.5,protected,audio,fit_gain,0.6543177966792926
66,write_fit,0.5,protected,text,err_after,0.1107946596783132
66,write_fit,0.5,protected,text,err_before,1.030741388402667
66,write_fit,0.5,protected,text,err_original_after,0.002282470816521334
66,write_fit,0.5,protected,text,fit_gain,0.9199467287243538
