model,seed,rate,selected_epoch,weighted_f1,macro_f1,accuracy,mae,correlation
p0,69,0.1,92,0.8445121951219512,0.8406599163674119,0.8445121951219512,0.8168525099754333,0.756233052482679
p0,69,0.2,46,0.8113335637404957,0.8056680161943319,0.8125,0.9170747399330139,0.6893732508095028
p0,69,0.3,36,0.8198435447925007,0.8151106355333053,0.8201219512195121,1.0294623374938965,0.6680939119124056
p0,69,0.4,37,0.7815094651794455,0.7775014132278124,0.7804878048780488,1.0487197637557983,0.6383573060182526
p0,69,0.5,58,0.769131872046005,0.7627781888894476,0.7698170731707317,1.0439598560333252,0.6015812333361946
p0,69,0.6,91,0.7627137164249103,0.7574240527932643,0.7621951219512195,1.0130279064178467,0.6002894755881045
p0,69,0.7,56,0.764749957953486,0.7584521657628707,0.7652439024390244,1.033024787902832,0.5788201502333521
b2,69,0.0,7,0.8723122621224397,0.8682204876868156,0.8734756097560976,1.0979137420654297,0.796124669642629
b2,69,0.1,7,0.8468698214690281,0.8424637138218879,0.8475609756097561,1.1031420230865479,0.7062555468556976
b2,69,0.2,7,0.8170702892050494,0.8113005958495993,0.8185975609756098,1.0977064371109009,0.6623994296827705
b2,69,0.3,7,0.8240667980933425,0.8191368724392307,0.8246951219512195,1.0814744234085083,0.6598074476091339
b2,69,0.4,12,0.7758596441345411,0.7702506629309049,0.7759146341463414,1.0388139486312866,0.6334736857277488
b2,69,0.5,27,0.7662797571070852,0.7618773747678267,0.7652439024390244,1.0231074094772339,0.6040117874058842
b2,69,0.6,27,0.7540048440554091,0.7491289198606271,0.7530487804878049,1.009004831314087,0.6168831527219092
b2,69,0.7,27,0.7468636578777624,0.7429026709003053,0.7454268292682927,1.0578892230987549,0.5731819918044179
p0,70,0.0,46,0.8712862485410514,0.8675180797045701,0.8719512195121951,0.7693704962730408,0.791724623056974
p0,70,0.1,53,0.8514153799043848,0.8471027812819127,0.8521341463414634,0.814893901348114,0.754711776903459
p0,70,0.2,51,0.8076295478292804,0.8025757633660717,0.8079268292682927,0.9754448533058167,0.6478646253512389
p0,70,0.3,56,0.7994355621298547,0.7926533946685079,0.801829268292683,0.8981010317802429,0.6952621168067533
p0,70,0.4,78,0.7765739661899046,0.7691883982713394,0.7789634146341463,0.9854488968849182,0.6294883590416889
p0,70,0.5,46,0.7502329273741954,0.7442932793322115,0.75,1.0463652610778809,0.6061657577723271
p0,70,0.6,65,0.7409143725585736,0.7377441640267923,0.739329268292683,1.0465749502182007,0.6071691349417546
p0,70,0.7,53,0.7392653003197722,0.7327405670828895,0.739329268292683,1.0851093530654907,0.5679416871981925
b2,70,0.0,10,0.8709469259314149,0.8684207421391068,0.8704268292682927,0.8688475489616394,0.8053984317465086
b2,70,0.1,9,0.8490483317640788,0.8452708546269361,0.8490853658536586,0.8262571096420288,0.7485950797608711
b2,70,0.2,10,0.8163854033464311,0.8129719820832361,0.8155487804878049,0.9669746160507202,0.6942922096750526
b2,70,0.3,44,0.7918031898098513,0.7874195478833494,0.7911585365853658,0.9174982905387878,0.677077129170492
b2,70,0.4,26,0.778524432151538,0.7745704467353951,0.7774390243902439,0.9745542407035828,0.6531712458272153
b2,70,0.5,26,0.7511635575654797,0.7465988317316752,0.75,1.009967565536499,0.6143338558250406
b2,70,0.6,26,0.7469732263950011,0.7437541956414448,0.7454268292682927,1.0190272331237793,0.6094616987004405
b2,70,0.7,44,0.7465175269921978,0.7416805196948797,0.7454268292682927,1.0731971263885498,0.5497694695098974
