dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.3,reference,current_observed_write_fit,text,err_after,5,0.0024575856518830844,4.277813277505906e-05
iemocap4,0.3,reference,current_observed_write_fit,visual,err_after,5,0.0016622209957236143,8.918293307541987e-05
iemocap4,0.3,reference,retention,audio,err_decay,5,0.10561232533158643,0.009886671862499146
iemocap4,0.3,reference,retention,text,err_decay,5,0.10226713775622015,0.015079960724263403
iemocap4,0.3,reference,retention,visual,err_decay,5,0.10828461388977945,0.00864943972472781
iemocap4,0.3,reference,task,,accuracy,5,0.8201450443190975,0.006678925313489781
iemocap4,0.3,reference,task,,macro_f1,5,0.8120208908150497,0.008110205210784796
iemocap4,0.3,reference,task,,weighted_f1,5,0.8199327737698938,0.005976467383895326
iemocap4,0.5,fixed0.8,current_observed_write_fit,audio,err_after,5,0.14530837465044144,0.006761852214715524
iemocap4,0.5,fixed0.8,current_observed_write_fit,text,err_after,5,0.206304828227848,0.004746643874712524
iemocap4,0.5,fixed0.8,current_observed_write_fit,visual,err_after,5,0.1413720547093362,0.00711320751604717
iemocap4,0.5,fixed0.8,retention,audio,err_decay,5,0.2347419086310257,0.010584105325134837
iemocap4,0.5,fixed0.8,retention,text,err_decay,5,0.2970265770257651,0.00706200136702891
iemocap4,0.5,fixed0.8,retention,visual,err_decay,5,0.23250269521437772,0.008357428811277863
iemocap4,0.5,fixed0.8,task,,accuracy,5,0.805157131345689,0.011696622842328289
iemocap4,0.5,fixed0.8,task,,macro_f1,5,0.7960652994771763,0.013332098023347132
iemocap4,0.5,fixed0.8,task,,weighted_f1,5,0.8053251089702531,0.011080983805172147
iemocap4,0.5,fixed0.9,current_observed_write_fit,audio,err_after,5,0.07567931397295881,0.003587586814169637
iemocap4,0.5,fixed0.9,current_observed_write_fit,text,err_after,5,0.10750124428581181,0.002505649490832591
iemocap4,0.5,fixed0.9,current_observed_write_fit,visual,err_after,5,0.07324900193492814,0.003877143700512829
iemocap4,0.5,fixed0.9,retention,audio,err_decay,5,0.19105941272305396,0.012305577575335262
iemocap4,0.5,fixed0.9,retention,text,err_decay,5,0.2251347887532941,0.005585007881874211
iemocap4,0.5,fixed0.9,retention,visual,err_decay,5,0.18953381273184414,0.007624497539115657
iemocap4,0.5,fixed0.9,task,,accuracy,5,0.8032232070910557,0.011779598270172218
iemocap4,0.5,fixed0.9,task,,macro_f1,5,0.7930922764353932,0.013105083601375057
iemocap4,0.5,fixed0.9,task,,weighted_f1,5,0.8033852632097809,0.011134525154106708
iemocap4,0.5,fixed0.95,current_observed_write_fit,audio,err_after,5,0.03930382894372304,0.0018731452693969087
iemocap4,0.5,fixed0.95,current_observed_write_fit,text,err_after,5,0.05580890265445539,0.0013090495638457787
iemocap4,0.5,fixed0.95,current_observed_write_fit,visual,err_after,5,0.03796478131984318,0.0020560691639764394
iemocap4,0.5,fixed0.95,retention,audio,err_decay,5,0.17115941236396676,0.01331527921971715
iemocap4,0.5,fixed0.95,retention,text,err_decay,5,0.19068398947113913,0.005428446439437968
iemocap4,0.5,fixed0.95,retention,visual,err_decay,5,0.1702177490652975,0.007649078120374691
iemocap4,0.5,fixed0.95,task,,accuracy,5,0.8017727639000806,0.013191543548545457
iemocap4,0.5,fixed0.95,task,,macro_f1,5,0.7915512057092725,0.015058762396436982
iemocap4,0.5,fixed0.95,task,,weighted_f1,5,0.8019734351143294,0.012424339227909777
iemocap4,0.5,reference,current_observed_write_fit,audio,err_after,5,0.0016840815652178584,6.900548146722604e-05
iemocap4,0.5,reference,current_observed_write_fit,text,err_after,5,0.0023917888550858317,6.468258056214468e-05
iemocap4,0.5,reference,current_observed_write_fit,visual,err_after,5,0.0016469563109268858,0.00010144302309427366
iemocap4,0.5,reference,retention,audio,err_decay,5,0.15568881082092637,0.014281038200243831
iemocap4,0.5,reference,retention,text,err_decay,5,0.16048352810614447,0.005724095127818922
iemocap4,0.5,reference,retention,visual,err_decay,5,0.15496580082512468,0.008021244477664672
iemocap4,0.5,reference,task,,accuracy,5,0.8009669621273167,0.013639251313304408
iemocap4,0.5,reference,task,,macro_f1,5,0.7904721366469749,0.015558600917154244
iemocap4,0.5,reference,task,,weighted_f1,5,0.8011808613274906,0.012850627693409002
iemocap4,0.7,fixed0.8,current_observed_write_fit,audio,err_after,5,0.14960373540892405,0.006423718759751198
iemocap4,0.7,fixed0.8,current_observed_write_fit,text,err_after,5,0.2070802540835674,0.0031437363143400655
iemocap4,0.7,fixed0.8,current_observed_write_fit,visual,err_after,5,0.14367681224355394,0.0051623953070216114
iemocap4,0.7,fixed0.8,retention,audio,err_decay,5,0.2769944079288603,0.005816327351488554
iemocap4,0.7,fixed0.8,retention,text,err_decay,5,0.3228613344897209,0.006911401699352171
iemocap4,0.7,fixed0.8,retention,visual,err_decay,5,0.2727110941079992,0.01517552052162551
iemocap4,0.7,fixed0.8,task,,accuracy,5,0.783883964544722,0.01622045142960336
