seed,rate,pattern,t,n,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent
66,0.7,AT,-0.5,37,91.81246552675123,-0.0031438539358409675,0.0047747952913915785,0.0140700101852417,0.0
66,0.7,AT,0.0,37,91.81246552675123,-0.0019291595027253435,0.003487356208466195,0.008368253707885737,0.0
66,0.7,AT,0.5,37,91.81246552675123,-0.0009276972630539456,0.0020369427228296125,0.004931497573852537,0.0
66,0.7,AT,1.0,37,91.81246552675123,0.0,0.0,0.0,0.0
66,0.7,AV,-1.0,37,55.99445599445598,-0.00601937178824399,0.008281661046517862,0.015470866858959197,2.7027027027027026
66,0.7,AV,-0.5,37,55.99445599445598,-0.004353076219558716,0.007341987780622534,0.012622505426406859,2.7027027027027026
66,0.7,AV,0.0,37,59.139991054884675,-0.002745530190500053,0.005651420133339392,0.010018271207809447,0.0
66,0.7,AV,0.5,37,59.139991054884675,-0.001269340917870805,0.0031842265177417445,0.005624163150787353,0.0
66,0.7,AV,1.0,37,59.139991054884675,0.0,0.0,0.0,0.0
66,0.7,TV,-1.0,46,84.62800530068782,0.038948264782843384,0.04322379665530246,0.08748239278793335,0.0
66,0.7,TV,-0.5,46,84.62800530068782,0.02916151204186937,0.03162985278860382,0.06200885772705078,0.0
66,0.7,TV,0.0,46,84.62800530068782,0.019130493149809216,0.020283316950435223,0.03939366340637207,0.0
66,0.7,TV,0.5,46,84.62800530068782,0.009320831979098528,0.009671715128680935,0.017174959182739258,0.0
66,0.7,TV,1.0,46,84.62800530068782,0.0,0.0,0.0,0.0
67,0.0,ALL,-1.0,0,,,,,
67,0.0,ALL,-0.5,0,,,,,
67,0.0,ALL,0.0,0,,,,,
67,0.0,ALL,0.5,0,,,,,
67,0.0,ALL,1.0,0,,,,,
67,0.0,AT,-1.0,0,,,,,
67,0.0,AT,-0.5,0,,,,,
67,0.0,AT,0.0,0,,,,,
67,0.0,AT,0.5,0,,,,,
67,0.0,AT,1.0,0,,,,,
67,0.0,AV,-1.0,0,,,,,
67,0.0,AV,-0.5,0,,,,,
67,0.0,AV,0.0,0,,,,,
67,0.0,AV,0.5,0,,,,,
67,0.0,AV,1.0,0,,,,,
67,0.0,TV,-1.0,0,,,,,
67,0.0,TV,-0.5,0,,,,,
67,0.0,TV,0.0,0,,,,,
67,0.0,TV,0.5,0,,,,,
67,0.0,TV,1.0,0,,,,,
67,0.1,ALL,-1.0,172,80.29233597059059,0.03800434711237633,0.05695185342500376,0.16331482240930204,1.744186046511628
67,0.1,ALL,-0.5,172,80.29233597059059,0.024541491046981063,0.03939456938830919,0.10767369866371157,1.744186046511628
67,0.1,ALL,0.0,172,80.29233597059059,0.013116275767124323,0.024064081271590536,0.06174510717391968,1.744186046511628
67,0.1,ALL,0.5,172,80.29233597059059,0.004817356880710915,0.011014992008418885,0.027354121208190932,1.744186046511628
67,0.1,ALL,1.0,172,82.01954592933211,0.0,0.0,0.0,0.0
67,0.1,AT,-1.0,55,81.73264907135875,0.028493675860491667,0.04130798551169309,0.09018244743347167,0.0
67,0.1,AT,-0.5,55,81.73264907135875,0.016501435231078755,0.025279157947410237,0.059135746955871586,0.0
67,0.1,AT,0.0,55,81.73264907135875,0.0071265692060643974,0.014383604038845409,0.0337172269821167,0.0
67,0.1,AT,0.5,55,81.73264907135875,0.0015586011789061806,0.006337724355134097,0.01423788070678711,0.0
67,0.1,AT,1.0,55,81.73264907135875,0.0,0.0,0.0,0.0
67,0.1,AV,-1.0,59,74.95225061284646,-0.003046163294653771,0.018051206418392012,0.02724430561065674,1.694915254237288
