seed,rate,pattern,component,n,mean,mean_abs,p90_abs
67,0.0,TV,even1,0,,,
67,0.0,TV,oddhalf,0,,,
67,0.0,TV,evenhalf,0,,,
67,0.1,ALL,odd1,172,-0.019002173556188166,0.02847592671250188,0.08165741120465102
67,0.1,ALL,even1,172,0.005885897789063842,0.009257920584533104,0.023558741807937624
67,0.1,ALL,oddhalf,172,-0.009862067083135074,0.014605551792936789,0.04208760857582093
67,0.1,ALL,evenhalf,172,0.0015631481967216662,0.002416006454569829,0.0062513470649719245
67,0.1,AT,odd1,55,-0.014246837930245834,0.020653992755846545,0.04509122371673584
67,0.1,AT,even1,55,0.007120268724181435,0.009931052408435129,0.02352961301803589
67,0.1,AT,oddhalf,55,-0.007471417026086287,0.010666868226094679,0.023955941200256348
67,0.1,AT,evenhalf,55,0.0019034489989280701,0.0026087966832247646,0.006225991249084473
67,0.1,AV,odd1,59,0.0015230816473268856,0.009025603209196006,0.01362215280532837
67,0.1,AV,even1,59,0.0029654593869917474,0.00527522650594681,0.007951784133911136
67,0.1,AV,oddhalf,59,0.000749507153375169,0.004549597113756305,0.006894630193710327
67,0.1,AV,evenhalf,59,0.0007556883728731487,0.00133550379393717,0.002030134201049805
67,0.1,TV,odd1,58,-0.04439068246022638,0.05567895178683102,0.09574350491166116
67,0.1,TV,even1,58,0.007686164414767048,0.01267096714180862,0.03306640386581421
67,0.1,TV,oddhalf,58,-0.022923595239890033,0.02856984355583273,0.049505090713500975
67,0.1,TV,evenhalf,58,0.0020618307050959818,0.0033323201511440605,0.008789032697677612
67,0.2,ALL,odd1,248,-0.01970298207485147,0.02739443518071165,0.08347438275814058
67,0.2,ALL,even1,248,0.00613551243628946,0.009044979871701329,0.023494535684585576
67,0.2,ALL,oddhalf,248,-0.010158677927158292,0.014010757771170428,0.042648977041244505
67,0.2,ALL,evenhalf,248,0.00163089259407453,0.0023657987269783214,0.006321167945861818
67,0.2,AT,odd1,75,-0.013873539411773285,0.020840890053659678,0.040754313766956346
67,0.2,AT,even1,75,0.0058856569168468315,0.008601508581389984,0.021411585807800303
67,0.2,AT,oddhalf,75,-0.007233803148070971,0.010707832053303718,0.021027089655399327
67,0.2,AT,evenhalf,75,0.001574487661321958,0.002254638448357582,0.005617880821228029
67,0.2,AV,odd1,92,-0.0008610681195378951,0.008649135843607719,0.01389756202697754
67,0.2,AV,even1,92,0.0028546234117011013,0.004763551324646434,0.007481616735458375
67,0.2,AV,oddhalf,92,-0.0004435799226326787,0.004368057312524837,0.007010188698768616
67,0.2,AV,evenhalf,92,0.0007282291822459387,0.0012079591903349628,0.001914086937904358
67,0.2,TV,odd1,81,-0.04650130656398373,0.054753489792346954,0.09332311153411865
67,0.2,TV,even1,81,0.010093301994565092,0.014318458551977888,0.029749393463134766
67,0.2,TV,oddhalf,81,-0.023901327616638608,0.02802122531481731,0.04819341003894806
67,0.2,TV,evenhalf,81,0.0027083667156137066,0.003783801915468993,0.007907986640930176
67,0.3,ALL,odd1,283,-0.017183609262385238,0.024833080465757277,0.08196723461151124
67,0.3,ALL,even1,283,0.005993040763960605,0.008836214218367642,0.022399663925170905
67,0.3,ALL,oddhalf,283,-0.00885826426758941,0.01268456248540181,0.04208586215972901
67,0.3,ALL,evenhalf,283,0.0015848417101631948,0.002305340918616882,0.005833762884140015
67,0.3,AT,odd1,95,-0.010720667046935934,0.01736344534315561,0.03660128116607667
67,0.3,AT,even1,95,0.007356691242832887,0.009415467671657863,0.02280350923538208
67,0.3,AT,oddhalf,95,-0.00555638451325266,0.008888483047485352,0.018809628486633305
67,0.3,AT,evenhalf,95,0.0019450052788383082,0.0024623102263400427,0.006006598472595217
67,0.3,AV,odd1,99,0.0005689329759340094,0.008114087489442994,0.013416659832000733
67,0.3,AV,even1,99,0.002862538446230118,0.004905986006964336,0.008302032947540283
67,0.3,AV,oddhalf,99,0.00027467401209052165,0.0040972770210543664,0.00679195523262024
67,0.3,AV,evenhalf,99,0.0007289893445417737,0.0012430167907491476,0.0021086454391479495
67,0.3,TV,odd1,89,-0.04382946535296152,0.05140381800847944,0.09370806813240051
67,0.3,TV,even1,89,0.008019702943313993,0.012589736857315462,0.029371619224548343
67,0.3,TV,oddhalf,89,-0.022541853777143392,0.02628870639071036,0.048259830474853514
67,0.3,TV,evenhalf,89,0.0021524130042349355,0.0033194757997989655,0.0077895641326904295
67,0.4,ALL,odd1,256,-0.02279754631490505,0.028149635740192025,0.08354198187589645
67,0.4,ALL,even1,256,0.00696877022528497,0.008732664418857894,0.022613048553466797
67,0.4,ALL,oddhalf,256,-0.011707720641425112,0.01438521986710839,0.04245326668024063
67,0.4,ALL,evenhalf,256,0.00184003554386436,0.002284471320308512,0.005983918905258179
67,0.4,AT,odd1,86,-0.016589162373092284,0.019005002388947232,0.0365121103823185
67,0.4,AT,even1,86,0.007736817933619022,0.008600129702583302,0.021281123161315918
67,0.4,AT,oddhalf,86,-0.008531145881428275,0.009736490934047588,0.018746264278888702
